module,config,stock_sites,sites,removed
memcached-assoc,EA,149,149,0
memcached-assoc,LO,149,149,0
memcached-assoc,STC,149,149,0
memcached-assoc,SWMR,149,149,0
memcached-assoc,DE,149,149,0
memcached-assoc,DE+peel,149,157,-8
memcached-assoc,sound,149,149,0
memcached-assoc,AllOpt-peel,149,149,0
memcached-assoc,AllOpt+peel,149,157,-8
memcached-assoc,AllOpt-peel+DynSTC,149,149,0
memcached-assoc,AllOpt+peel+DynSTC,149,157,-8
memcached-authfile,EA,52,52,0
memcached-authfile,LO,52,52,0
memcached-authfile,STC,52,52,0
memcached-authfile,SWMR,52,52,0
memcached-authfile,DE,52,52,0
memcached-authfile,DE+peel,52,59,-7
memcached-authfile,sound,52,52,0
memcached-authfile,AllOpt-peel,52,52,0
memcached-authfile,AllOpt+peel,52,59,-7
memcached-authfile,AllOpt-peel+DynSTC,52,52,0
memcached-authfile,AllOpt+peel+DynSTC,52,59,-7
memcached-base64,EA,69,69,0
memcached-base64,LO,69,69,0
memcached-base64,STC,69,69,0
memcached-base64,SWMR,69,69,0
memcached-base64,DE,69,64,5
memcached-base64,DE+peel,69,68,1
memcached-base64,sound,69,69,0
memcached-base64,AllOpt-peel,69,64,5
memcached-base64,AllOpt+peel,69,68,1
memcached-base64,AllOpt-peel+DynSTC,69,64,5
memcached-base64,AllOpt+peel+DynSTC,69,68,1
memcached-bipbuffer,EA,103,103,0
memcached-bipbuffer,LO,103,103,0
memcached-bipbuffer,STC,103,103,0
memcached-bipbuffer,SWMR,103,103,0
memcached-bipbuffer,DE,103,100,3
memcached-bipbuffer,DE+peel,103,100,3
memcached-bipbuffer,sound,103,103,0
memcached-bipbuffer,AllOpt-peel,103,100,3
memcached-bipbuffer,AllOpt+peel,103,100,3
memcached-bipbuffer,AllOpt-peel+DynSTC,103,100,3
memcached-bipbuffer,AllOpt+peel+DynSTC,103,100,3
memcached-cache,EA,85,85,0
memcached-cache,LO,85,85,0
memcached-cache,STC,85,85,0
memcached-cache,SWMR,85,85,0
memcached-cache,DE,85,83,2
memcached-cache,DE+peel,85,87,-2
memcached-cache,sound,85,85,0
memcached-cache,AllOpt-peel,85,83,2
memcached-cache,AllOpt+peel,85,87,-2
memcached-cache,AllOpt-peel+DynSTC,85,83,2
memcached-cache,AllOpt+peel+DynSTC,85,87,-2
memcached-crawler,EA,316,311,5
memcached-crawler,LO,316,316,0
memcached-crawler,STC,316,316,0
memcached-crawler,SWMR,316,316,0
memcached-crawler,DE,316,309,7
memcached-crawler,DE+peel,316,389,-73
memcached-crawler,sound,316,311,5
memcached-crawler,AllOpt-peel,316,305,11
memcached-crawler,AllOpt+peel,316,381,-65
memcached-crawler,AllOpt-peel+DynSTC,316,305,11
