# Reference __tsan_* histograms, one row per (module, configuration).
# Produced by the frozen campaign compiler:
#   clang version 19.0.0git (https://github.com/focs-lab/llvm-project f3deebfbab602f4e05289e0acbde0efd06b8058c)
#   stamp f3deebfbab602f4e05289e0acbde0efd06b8058c
# hash = md5 of 'uniq -c' over the sorted @__tsan_* symbol occurrences, first 12 hex.
# d41d8cd98f00 is the md5 of the empty string: it means opt produced NOTHING.
memcached-assoc	stock	99b1bf6c6039
memcached-authfile	stock	0f54dbb52a05
memcached-base64	stock	50b79770bcc4
memcached-bipbuffer	stock	897b6bac7a21
memcached-cache	stock	a2ebb965d08b
memcached-crawler	stock	3dc7a88918fe
memcached-crc32c	stock	bc9bc4df9dc0
memcached-daemon	stock	209861381d8c
memcached-extstore	stock	fbeea9328e5b
memcached-hash	stock	7307dae1be12
memcached-items	stock	278b418e872d
memcached-itoa_ljust	stock	2e8382ac23a3
memcached-jenkins_hash	stock	617032e859fe
memcached-logger	stock	668cbc4fcae9
memcached-memcached	stock	ff242c9020c4
memcached-murmur3_hash	stock	0f895ec8a8bf
memcached-proto_bin	stock	05168698f50a
memcached-proto_text	stock	f9d5fc067de3
memcached-restart	stock	020d26c25bbb
memcached-slab_automove	stock	f4080bbcf631
memcached-slab_automove_extstore	stock	e8d862173790
memcached-slabs	stock	a43bcc6316cb
memcached-stats_prefix	stock	1d3ef3401dfe
memcached-storage	stock	be952c938496
memcached-thread	stock	99893f0aac1a
memcached-util	stock	cd8ef9c92e19
shell	stock	283e291909b4
sqlite3	stock	aa3e660f04ea
memcached-assoc	EA	99b1bf6c6039
memcached-authfile	EA	0f54dbb52a05
memcached-base64	EA	50b79770bcc4
memcached-bipbuffer	EA	897b6bac7a21
memcached-cache	EA	a2ebb965d08b
memcached-crawler	EA	c3fc6a1d8ba0
memcached-crc32c	EA	cbdeb7886c0f
memcached-daemon	EA	209861381d8c
memcached-extstore	EA	0124979a0a5d
memcached-hash	EA	8500bf4691a0
memcached-items	EA	954c98fed82d
memcached-itoa_ljust	EA	2e8382ac23a3
memcached-jenkins_hash	EA	617032e859fe
memcached-logger	EA	3ebd149769f9
memcached-memcached	EA	1cf7e7129c6c
memcached-murmur3_hash	EA	0f895ec8a8bf
memcached-proto_bin	EA	9f33c9620dd7
memcached-proto_text	EA	c7bf9431d090
memcached-restart	EA	73c0a2ae7d5e
memcached-slab_automove	EA	f4080bbcf631
memcached-slab_automove_extstore	EA	e8d862173790
memcached-slabs	EA	a43bcc6316cb
memcached-stats_prefix	EA	1d3ef3401dfe
memcached-storage	EA	6149416e3685
memcached-thread	EA	99893f0aac1a
memcached-util	EA	cd8ef9c92e19
shell	EA	30a82e00c8b6
sqlite3	EA	3b9c9e208926
memcached-assoc	sound	99b1bf6c6039
memcached-authfile	sound	0f54dbb52a05
memcached-base64	sound	50b79770bcc4
memcached-bipbuffer	sound	897b6bac7a21
memcached-cache	sound	a2ebb965d08b
memcached-crawler	sound	c3fc6a1d8ba0
memcached-crc32c	sound	cbdeb7886c0f
memcached-daemon	sound	209861381d8c
memcached-extstore	sound	0124979a0a5d
memcached-hash	sound	8500bf4691a0
memcached-items	sound	461d026a7606
memcached-itoa_ljust	sound	2e8382ac23a3
memcached-jenkins_hash	sound	617032e859fe
memcached-logger	sound	57155faf9c6f
memcached-memcached	sound	e55a388df8e7
memcached-murmur3_hash	sound	0f895ec8a8bf
memcached-proto_bin	sound	9f33c9620dd7
memcached-proto_text	sound	c7bf9431d090
memcached-restart	sound	73c0a2ae7d5e
memcached-slab_automove	sound	f4080bbcf631
memcached-slab_automove_extstore	sound	e8d862173790
memcached-slabs	sound	a43bcc6316cb
memcached-stats_prefix	sound	1d3ef3401dfe
memcached-storage	sound	6149416e3685
memcached-thread	sound	99893f0aac1a
memcached-util	sound	cd8ef9c92e19
shell	sound	fffe2bff7579
sqlite3	sound	3b9c9e208926
memcached-assoc	AllOpt+peel	63d58e66caa3
memcached-authfile	AllOpt+peel	e8784ec53479
memcached-base64	AllOpt+peel	c578a1e71679
memcached-bipbuffer	AllOpt+peel	7e567079b0f7
memcached-cache	AllOpt+peel	5a1505211486
memcached-crawler	AllOpt+peel	03b961f50287
memcached-crc32c	AllOpt+peel	cbdeb7886c0f
memcached-daemon	AllOpt+peel	209861381d8c
memcached-extstore	AllOpt+peel	16127cf071d1
memcached-hash	AllOpt+peel	8500bf4691a0
memcached-items	AllOpt+peel	75e80c2f05c9
memcached-itoa_ljust	AllOpt+peel	2e8382ac23a3
memcached-jenkins_hash	AllOpt+peel	617032e859fe
memcached-logger	AllOpt+peel	f163221893eb
memcached-memcached	AllOpt+peel	91ecf448adc0
memcached-murmur3_hash	AllOpt+peel	0f895ec8a8bf
memcached-proto_bin	AllOpt+peel	fd3a45723530
memcached-proto_text	AllOpt+peel	92ef5a421c16
memcached-restart	AllOpt+peel	91f22b2bb11d
memcached-slab_automove	AllOpt+peel	6ce6568ee21d
memcached-slab_automove_extstore	AllOpt+peel	3ce4617448a7
memcached-slabs	AllOpt+peel	37d58206cc41
memcached-stats_prefix	AllOpt+peel	ccdbb95d28d7
memcached-storage	AllOpt+peel	ade6816daff1
memcached-thread	AllOpt+peel	ca3e06cce5af
memcached-util	AllOpt+peel	85240aeaa1c4
shell	AllOpt+peel	03039a110760
sqlite3	AllOpt+peel	3ae59fcf7bd9
