burst,order,arm,reps,reported
0,asc,off,20,20
0,asc,on,20,20
0,desc,off,20,20
0,desc,on,20,20
1,asc,off,20,20
1,asc,on,20,20
1,desc,off,20,20
1,desc,on,20,20
2,asc,off,20,20
2,asc,on,20,20
2,desc,off,20,20
2,desc,on,20,20
3,asc,off,20,20
3,asc,on,20,20
3,desc,off,20,20
3,desc,on,20,20
4,asc,off,20,20
4,asc,on,20,20
4,desc,off,20,20
4,desc,on,20,20
5,asc,off,20,20
5,asc,on,20,20
5,desc,off,20,20
5,desc,on,20,20
6,asc,off,20,20
6,asc,on,20,20
6,desc,off,20,20
6,desc,on,20,20
7,asc,off,20,20
7,asc,on,20,20
7,desc,off,20,20
7,desc,on,20,20
8,asc,off,20,20
8,asc,on,20,20
8,desc,off,20,20
8,desc,on,20,20
9,asc,off,20,20
9,asc,on,20,20
9,desc,off,20,20
9,desc,on,20,20
10,asc,off,20,20
10,asc,on,20,20
10,desc,off,20,20
10,desc,on,20,20
11,asc,off,20,20
11,asc,on,20,20
11,desc,off,20,20
11,desc,on,20,20
12,asc,off,20,20
12,asc,on,20,20
12,desc,off,20,20
12,desc,on,20,20
13,asc,off,20,20
13,asc,on,20,20
13,desc,off,20,20
13,desc,on,20,20
14,asc,off,20,20
14,asc,on,20,20
14,desc,off,20,20
14,desc,on,20,20
15,asc,off,20,20
15,asc,on,20,20
15,desc,off,20,20
15,desc,on,20,20
