config,test,n,median,mean,sd
orig,h264_libx264,5,12.34,12.37,0.11467344941179737
orig,copy_passthrough,5,0.13,0.132,0.004472135954999583
orig,mjpeg,5,3.41,3.404,0.068044103344816
orig,h265_libx265,5,24.94,25.048000000000002,0.23868389137099302
tsan,h264_libx264,5,17.7,17.676,0.09813256340277657
tsan,copy_passthrough,5,0.82,0.818,0.01643167672515495
tsan,mjpeg,5,18.16,18.228,0.13442470011125116
tsan,h265_libx265,5,35.77,35.778,0.1448102206337653
tsan-dom_peeling-ea-lo-st-swmr,h264_libx264,5,17.57,17.604,0.15436968614336116
tsan-dom_peeling-ea-lo-st-swmr,copy_passthrough,5,0.81,0.808,0.014832396974191298
tsan-dom_peeling-ea-lo-st-swmr,mjpeg,5,14.37,14.4,0.13928388277184106
tsan-dom_peeling-ea-lo-st-swmr,h265_libx265,5,35.63,35.668,0.2888252066562055
tsan-dom_peeling-ea-lo-st-swmr-stmt,h264_libx264,5,17.71,17.676000000000002,0.1835211159512717
tsan-dom_peeling-ea-lo-st-swmr-stmt,copy_passthrough,5,0.51,0.51,0.007071067811865481
tsan-dom_peeling-ea-lo-st-swmr-stmt,mjpeg,5,14.72,14.732000000000001,0.11344602240713458
tsan-dom_peeling-ea-lo-st-swmr-stmt,h265_libx265,5,35.76,35.776,0.21007141642784063
tsan-dom_peeling-ea-lo-st-swmr-stmt-nofe,h264_libx264,5,17.62,17.624,0.13464768843169952
tsan-dom_peeling-ea-lo-st-swmr-stmt-nofe,copy_passthrough,5,0.5,0.492,0.010954451150103331
tsan-dom_peeling-ea-lo-st-swmr-stmt-nofe,mjpeg,5,14.54,14.554,0.15109599597606813
tsan-dom_peeling-ea-lo-st-swmr-stmt-nofe,h265_libx265,5,35.53,35.64,0.2416609194718918
tsan-nofe,h264_libx264,5,17.5,17.468,0.15106290080625326
tsan-nofe,copy_passthrough,5,0.79,0.786,0.01140175425099139
tsan-nofe,mjpeg,5,17.92,18.02,0.2094039159137201
tsan-nofe,h265_libx265,5,35.66,35.644,0.1487615541731127
tsan-stmt,h264_libx264,5,17.74,17.694,0.16056151469141083
tsan-stmt,copy_passthrough,5,0.49,0.492,0.008366600265340763
tsan-stmt,mjpeg,5,18.44,18.508,0.1693221781102513
tsan-stmt,h265_libx265,5,35.71,35.71,0.18013883534651728
