config,test,n,median,mean,sd
orig,ops_sec,5,6637214.67,6635660.33,31992.698442269677
orig,_latency_ms,5,1.20425,1.208086,0.008073294247084032
tsan,ops_sec,5,1803736.04,1806185.932,36469.40400354754
tsan,_latency_ms,5,4.54262,4.535942,0.10117534418028921
tsan-dom_peeling-ea-lo-st-swmr,ops_sec,5,1864127.33,1838290.348,53096.131119675025
tsan-dom_peeling-ea-lo-st-swmr,_latency_ms,5,4.40297,4.44981,0.1261343361262111
tsan-dom_peeling-ea-lo-st-swmr-nofe,ops_sec,5,1838356.0,1804772.986,64933.116030952806
tsan-dom_peeling-ea-lo-st-swmr-nofe,_latency_ms,5,4.46506,4.52069,0.1602220404626031
tsan-nofe,ops_sec,5,1802880.44,1778783.384,53924.76343383465
tsan-nofe,_latency_ms,5,4.53389,4.590568,0.13691736712338556
