config,test,n,median,mean,sd
orig,oltp_read_only,5,1377008.0,1326230.4,126623.15824840257
orig,oltp_read_write,5,1185036.0,1175767.2,57225.96150961555
orig,oltp_write_only,5,1577372.0,1538181.8,88877.9531334965
orig,select_random_points,5,477791.0,472664.8,10359.757101399628
orig,select_random_ranges,5,888784.0,910689.4,43171.67864816007
tsan,oltp_read_only,5,134400.0,128409.6,9416.612384504313
tsan,oltp_read_write,5,117803.0,117677.8,3148.8384683879863
tsan,oltp_write_only,5,131470.0,130420.2,3156.050807575822
tsan,select_random_points,5,53932.0,53602.2,1343.602694251541
tsan,select_random_ranges,5,102498.0,102612.0,519.549323933734
tsan-dom_peeling-ea-lo-st-swmr-nofe,oltp_read_only,5,123344.0,127798.4,8053.585338220487
tsan-dom_peeling-ea-lo-st-swmr-nofe,oltp_read_write,5,132244.0,126979.4,7626.126362708659
tsan-dom_peeling-ea-lo-st-swmr-nofe,oltp_write_only,5,153453.0,153379.6,734.8566526881281
tsan-dom_peeling-ea-lo-st-swmr-nofe,select_random_points,5,63607.0,63451.0,1463.4693368841042
tsan-dom_peeling-ea-lo-st-swmr-nofe,select_random_ranges,5,111171.0,112605.0,4903.690090126006
tsan-nofe,oltp_read_only,5,132240.0,130764.8,5876.057453769491
tsan-nofe,oltp_read_write,5,130432.0,129332.2,4647.518875701313
tsan-nofe,oltp_write_only,5,152344.0,151661.4,3029.7662121028416
tsan-nofe,select_random_points,5,61410.0,62106.6,1315.496598247217
tsan-nofe,select_random_ranges,5,111904.0,114198.0,4544.850327568555
