config,test,n,median,mean,sd
orig,PING_INLINE,5,4050396.75,4052635.65,107331.75620252726
orig,PING_MBULK,5,6669653.0,6531183.8,269664.7211718656
orig,SET,5,3040875.5,3039287.85,40777.26431695731
orig,GET,5,3705362.75,3512985.95,380796.4568076937
orig,INCR,5,3651270.25,3694594.45,117616.75490209718
orig,RPUSH,5,2959905.25,2954780.95,34358.68929097485
orig,LPOP,5,2653708.25,2647084.65,106708.06430083553
orig,RPOP,5,4368768.5,4396345.9,268996.6760868989
orig,SADD,5,3368512.0,3356055.5,76492.17036750396
orig,HSET,5,2591834.25,2565997.5,48394.16043736579
orig,SPOP,5,4880234.0,4863791.6,123599.89040923539
orig,ZADD,5,2434180.0,2421476.1,27794.571845056365
orig,ZPOPMIN,5,4977353.0,4995732.8,147686.7390833551
orig,LPUSH,5,2733464.5,2728138.9,46302.75891503388
orig,LRANGE_100,5,147143.7,147666.1,715.325660101747
orig,LRANGE_300,5,41229.84,41107.496,772.7159308762837
orig,LRANGE_500,5,25014.85,24713.51,711.9779907764005
orig,LRANGE_600,5,19993.42,19893.255999999998,332.94162540902
orig,MSET,5,490568.62,495390.842,34287.15882462079
tsan,PING_INLINE,5,464029.72,473516.868,22629.72641458289
tsan,PING_MBULK,5,698636.88,723238.724,57181.049755140746
tsan,SET,5,318107.47,322699.082,8131.626972108348
tsan,GET,5,404901.22,403067.918,7436.490986515064
tsan,INCR,5,417898.06,417966.47599999997,7349.769610622487
tsan,RPUSH,5,246658.77,246908.266,7106.061114621093
tsan,LPOP,5,222977.47,222605.738,1134.9050256607397
tsan,RPOP,5,464460.53,465636.67,17286.927618417332
tsan,SADD,5,367136.91,358502.114,28709.30134592498
tsan,HSET,5,270683.97,270360.616,12003.016017390368
tsan,SPOP,5,501477.69,507972.888,14804.453888491464
tsan,ZADD,5,272973.53,277751.324,13135.643639183814
tsan,ZPOPMIN,5,484243.97,482915.724,18667.000316278187
tsan,LPUSH,5,211600.67,210125.96,6993.722610670222
tsan,LRANGE_100,5,24400.29,24053.43,539.0729316613842
tsan,LRANGE_300,5,8806.04,8775.068000000001,140.83383247643275
tsan,LRANGE_500,5,5392.07,5348.264,115.36666299239141
tsan,LRANGE_600,5,4454.59,4447.728,87.68036165527612
tsan,MSET,5,66178.22,64647.576,3917.249618658481
tsan-dom_peeling-ea-lo-st-swmr,PING_INLINE,5,470577.62,464542.668,12975.475704519284
tsan-dom_peeling-ea-lo-st-swmr,PING_MBULK,5,716140.31,711844.512,35182.77946698314
tsan-dom_peeling-ea-lo-st-swmr,SET,5,319224.0,320062.712,8042.81532990594
tsan-dom_peeling-ea-lo-st-swmr,GET,5,404548.31,406612.144,5465.222675223764
tsan-dom_peeling-ea-lo-st-swmr,INCR,5,424182.78,418277.5,14949.359576135694
tsan-dom_peeling-ea-lo-st-swmr,RPUSH,5,247881.08,249427.784,4013.351557773129
tsan-dom_peeling-ea-lo-st-swmr,LPOP,5,233858.81,235372.25,5282.631558764053
tsan-dom_peeling-ea-lo-st-swmr,RPOP,5,477768.84,473902.31200000003,14079.15113683245
tsan-dom_peeling-ea-lo-st-swmr,SADD,5,354391.78,351902.914,6847.040587909503
tsan-dom_peeling-ea-lo-st-swmr,HSET,5,266643.91,271803.952,9989.343990756852
tsan-dom_peeling-ea-lo-st-swmr,SPOP,5,507069.44,509186.408,18300.005247143235
tsan-dom_peeling-ea-lo-st-swmr,ZADD,5,286415.12,286354.448,6495.781920702078
tsan-dom_peeling-ea-lo-st-swmr,ZPOPMIN,5,479141.75,487781.406,24720.488590505858
tsan-dom_peeling-ea-lo-st-swmr,LPUSH,5,212770.73,214517.684,7501.930929219487
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_100,5,24347.85,24286.104,724.1303497161271
