config,test,n,median,mean,sd
orig,walthread1,5,5099.0,5078.2,104.04181851544118
orig,walthread2,5,16527.0,16597.0,290.62776880401503
orig,dynamic_triggers,5,673400.0,661520.0,89382.95139454727
orig,checkpoint_starvation_1,5,883318,902441.6,57944.430131808185
orig,checkpoint_starvation_2,5,782,785.2,7.155417527999327
orig,stress1,5,368389.0,392891.0,75032.11148901515
orig,stress2,5,166592.0,166857.4,5652.415704811528
tsan,walthread1,5,2694.0,2680.4,29.00517195260183
tsan,walthread2,5,6273.0,6321.2,98.14886652427526
tsan,dynamic_triggers,5,104000.0,120800.0,33785.49984830771
tsan,checkpoint_starvation_1,5,154608,157363,5314.604877128684
tsan,checkpoint_starvation_2,5,766,772.4,8.763560920082657
tsan,stress1,5,88620.0,87915.4,10044.052235029445
tsan,stress2,5,28050.0,28238.4,2198.0621692754735
tsan-dom_peeling-ea-lo-st-swmr,walthread1,5,2714.0,2708.2,25.68462575160479
tsan-dom_peeling-ea-lo-st-swmr,walthread2,5,6293.0,6347.4,121.36020764649342
tsan-dom_peeling-ea-lo-st-swmr,dynamic_triggers,5,107400.0,108480.0,3038.4206423732708
tsan-dom_peeling-ea-lo-st-swmr,checkpoint_starvation_1,5,156194,158941.4,5175.079931749847
tsan-dom_peeling-ea-lo-st-swmr,checkpoint_starvation_2,5,766,769.2,7.155417527999327
tsan-dom_peeling-ea-lo-st-swmr,stress1,5,123458.0,116096.2,23597.04728774344
tsan-dom_peeling-ea-lo-st-swmr,stress2,5,28324.0,28927.2,1605.8446998386862
tsan-dom_peeling-ea-lo-st-swmr-nofe,walthread1,5,2782.0,2763.2,47.02871463265821
tsan-dom_peeling-ea-lo-st-swmr-nofe,walthread2,5,6417.0,6451.0,93.00806416650117
tsan-dom_peeling-ea-lo-st-swmr-nofe,dynamic_triggers,5,114200.0,114400.0,12138.36891843381
tsan-dom_peeling-ea-lo-st-swmr-nofe,checkpoint_starvation_1,5,157072,159942.4,7486.358948113562
tsan-dom_peeling-ea-lo-st-swmr-nofe,checkpoint_starvation_2,5,782,778.8,7.155417527999327
tsan-dom_peeling-ea-lo-st-swmr-nofe,stress1,5,79770.0,83169.8,11338.649178804326
tsan-dom_peeling-ea-lo-st-swmr-nofe,stress2,5,29780.0,29543.8,924.8722614501961
tsan-nofe,walthread1,5,2751.0,2749.2,14.53272169966796
tsan-nofe,walthread2,5,6400.0,6467.6,100.49278581072375
tsan-nofe,dynamic_triggers,5,111200.0,119720.0,24235.75870485593
tsan-nofe,checkpoint_starvation_1,5,158273,160303.2,4420.499768125772
tsan-nofe,checkpoint_starvation_2,5,782,775.6,8.763560920082657
tsan-nofe,stress1,5,85382.0,94907.4,22562.85900102201
tsan-nofe,stress2,5,29067.0,29225.8,1381.853718741604
