claude samples=1539 peak_pcpu=5.4
cc1plus samples=99 peak_pcpu=140.0
Variane_testhar samples=99 peak_pcpu=110.0
MainThread samples=92 peak_pcpu=104.0
sshd samples=60 peak_pcpu=1.0
code-645f29cc31 samples=52 peak_pcpu=13.4
Rider.Backend samples=40 peak_pcpu=5.3
python3 samples=28 peak_pcpu=6.2
ccache samples=21 peak_pcpu=13.1
codex samples=8 peak_pcpu=19.1
verilator_bin samples=7 peak_pcpu=102.0
mysqladmin samples=6 peak_pcpu=8.6
git samples=2 peak_pcpu=80.0
docker samples=2 peak_pcpu=2.1
make samples=1 peak_pcpu=0.9
