config,test,n,median,mean,sd
orig,h264_libx264,4,36.125,36.125,0.19941581348194767
orig,copy_passthrough,4,0.14,0.14250000000000002,0.0049999999999999906
orig,mjpeg,4,3.51,3.5075,0.05560275772537417
orig,h265_libx265,4,31.735,31.72,0.048304589153965724
tsan,h264_libx264,4,45.31,45.41,0.2994439290863419
tsan,copy_passthrough,4,0.805,0.8075,0.017078251276599298
tsan,mjpeg,4,21.05,20.97,0.23579652245103191
tsan,h265_libx265,4,43.045,43.045,0.17597348285087341
tsan-dom,h264_libx264,4,45.065,45.08,0.13089435944047928
tsan-dom,copy_passthrough,4,0.805,0.805,0.005773502691896263
tsan-dom,mjpeg,4,20.435000000000002,20.52,0.1951068083554915
tsan-dom,h265_libx265,4,43.025,42.9925,0.07632168761236698
tsan-dom-ea-lo-st-swmr,h264_libx264,4,45.010000000000005,45.095,0.4060788100849364
tsan-dom-ea-lo-st-swmr,copy_passthrough,4,0.795,0.795,0.023804761428476148
tsan-dom-ea-lo-st-swmr,mjpeg,4,20.295,20.345,0.11733143937865353
tsan-dom-ea-lo-st-swmr,h265_libx265,4,42.92,42.92,0.06582805886043819
tsan-dom_peeling,h264_libx264,4,45.120000000000005,45.15,0.40356742518031374
tsan-dom_peeling,copy_passthrough,4,0.79,0.7925,0.0050000000000000044
tsan-dom_peeling,mjpeg,4,20.494999999999997,20.5625,0.25486924752377205
tsan-dom_peeling,h265_libx265,4,42.935,42.9525,0.16378339354159185
tsan-dom_peeling-ea-lo-st-swmr,h264_libx264,4,45.16,45.2825,0.4149999999999999
tsan-dom_peeling-ea-lo-st-swmr,copy_passthrough,4,0.805,0.805,0.020816659994661302
tsan-dom_peeling-ea-lo-st-swmr,mjpeg,4,20.475,20.4575,0.1808083700127482
tsan-dom_peeling-ea-lo-st-swmr,h265_libx265,4,42.985,42.95,0.24993332444207228
tsan-dom_peeling-ea-lo-st-swmr-stmt,h264_libx264,4,45.31999999999999,45.2975,0.16276260831857745
tsan-dom_peeling-ea-lo-st-swmr-stmt,copy_passthrough,4,0.51,0.51,0.008164965809277268
tsan-dom_peeling-ea-lo-st-swmr-stmt,mjpeg,4,20.810000000000002,20.8875,0.17727097901235722
tsan-dom_peeling-ea-lo-st-swmr-stmt,h265_libx265,4,42.870000000000005,42.8775,0.13744695946679458
tsan-ea,h264_libx264,4,45.614999999999995,45.635,0.4989655966764308
tsan-ea,copy_passthrough,4,0.815,0.8175,0.01707825127659929
tsan-ea,mjpeg,4,20.875,20.975,0.2826658805020512
tsan-ea,h265_libx265,4,43.019999999999996,43.03,0.09201449161228119
tsan-lo,h264_libx264,4,45.35,45.5075,0.5026844603393538
tsan-lo,copy_passthrough,4,0.81,0.81,0.008164965809277223
tsan-lo,mjpeg,4,20.78,20.89,0.2836664708185759
tsan-lo,h265_libx265,4,42.815,42.865,0.16176114078068032
tsan-st,h264_libx264,4,45.349999999999994,45.46,0.45284287193977985
tsan-st,copy_passthrough,4,0.81,0.8125,0.004999999999999949
tsan-st,mjpeg,4,20.85,20.8625,0.11146748404804105
tsan-st,h265_libx265,4,42.94,42.91,0.13366625103842492
tsan-stmt,h264_libx264,4,45.25,45.275,0.17464249196572795
tsan-stmt,copy_passthrough,4,0.52,0.52,0.008164965809277268
tsan-stmt,mjpeg,4,21.200000000000003,21.165,0.08426149773176404
tsan-stmt,h265_libx265,4,42.959999999999994,43.01,0.2206052281036587
tsan-swmr,h264_libx264,4,45.44,45.4675,0.2832401807653723
tsan-swmr,copy_passthrough,4,0.795,0.7975000000000001,0.00957427107756339
tsan-swmr,mjpeg,4,20.72,20.78,0.17473789896108263
tsan-swmr,h265_libx265,4,42.84,42.89,0.16573070526208203
