config,test,n,median,mean,sd
orig,ops_sec,5,5276211.58,5220971.13,108153.6534870036
orig,_latency_ms,5,1.53716,1.547532,0.039556148321089134
tsan,ops_sec,5,1647429.16,1640218.33,51600.9311576385
tsan,_latency_ms,5,4.9721,4.9979320000000005,0.14488484347922675
tsan-dom,ops_sec,5,1624754.99,1637818.024,42830.5443120786
tsan-dom,_latency_ms,5,5.00729,5.003768,0.12428745278587056
tsan-dom-ea-lo-st-swmr,ops_sec,5,1624571.58,1630280.5960000001,34893.966536464875
tsan-dom-ea-lo-st-swmr,_latency_ms,5,5.01362,5.004596,0.10627779227101015
tsan-dom_peeling,ops_sec,5,1630786.46,1627117.374,35736.561796018184
tsan-dom_peeling,_latency_ms,5,5.00641,5.005974,0.102972979368376
tsan-dom_peeling-ea-lo-st-swmr,ops_sec,5,1678465.48,1665273.354,29272.7326197381
tsan-dom_peeling-ea-lo-st-swmr,_latency_ms,5,4.85572,4.90696,0.09848621604062158
tsan-dom_peeling-ea-lo-st-swmr-stmt,ops_sec,5,1651799.32,1666101.252,37954.838074353116
tsan-dom_peeling-ea-lo-st-swmr-stmt,_latency_ms,5,4.99854,4.928026,0.10841242677848335
tsan-dom_peeling-ea-lo-st-swmr-wp,ops_sec,5,1686100.58,1678698.452,40101.18489101757
tsan-dom_peeling-ea-lo-st-swmr-wp,_latency_ms,5,4.86901,4.848046,0.09577331376745815
tsan-ea,ops_sec,5,1629494.42,1619301.082,35035.249940226924
tsan-ea,_latency_ms,5,4.97936,5.021846,0.10875947420799713
tsan-lo,ops_sec,5,1652716.47,1647431.75,39483.18761674143
tsan-lo,_latency_ms,5,4.93878,4.940296,0.11743444141307083
tsan-sound-wp,ops_sec,5,1655763.3,1662079.388,37077.57639283036
tsan-sound-wp,_latency_ms,5,4.93914,4.923,0.09416997000105728
tsan-st,ops_sec,5,1673704.98,1660955.616,33493.798753383155
tsan-st,_latency_ms,5,4.85755,4.913306,0.10754651658701013
tsan-stmt,ops_sec,5,1624423.47,1625393.344,22106.389994429923
tsan-stmt,_latency_ms,5,5.03078,5.011516,0.05283671763082945
tsan-swmr,ops_sec,5,1680886.55,1650482.4,56468.49837591841
tsan-swmr,_latency_ms,5,4.88092,4.967964,0.14485178176329097
