config,test,n,median,mean,sd
orig,ops_sec,4,5236295.6,5198851.405,111060.35351530692
orig,_latency_ms,4,1.5531000000000001,1.5567475,0.038988231878350196
tsan,ops_sec,4,1635781.6400000001,1626091.8,47114.92116277459
tsan,_latency_ms,4,5.021825,5.0442,0.11712089907441788
tsan-dom,ops_sec,4,1645846.835,1650698.8900000001,36603.67889560009
tsan-dom,_latency_ms,4,4.97142,4.965285,0.10355458769814757
tsan-dom-ea-lo-st-swmr,ops_sec,4,1634259.33,1639280.235,32916.4880669516
tsan-dom-ea-lo-st-swmr,_latency_ms,4,4.97523,4.974247500000001,0.09444442364869057
tsan-dom_peeling,ops_sec,4,1619327.895,1613611.6125,22062.75535908777
tsan-dom_peeling,_latency_ms,4,5.03444,5.046995,0.054034831667484025
tsan-dom_peeling-ea-lo-st-swmr,ops_sec,4,1674488.25,1661975.3225,32711.013765024527
tsan-dom_peeling-ea-lo-st-swmr,_latency_ms,4,4.90083,4.92501,0.1037337762415566
tsan-dom_peeling-ea-lo-st-swmr-stmt,ops_sec,4,1673711.995,1673441.0725,39517.16771884111
tsan-dom_peeling-ea-lo-st-swmr-stmt,_latency_ms,4,4.914385,4.9073775,0.11326341874144544
tsan-dom_peeling-ea-lo-st-swmr-wp,ops_sec,4,1669910.8900000001,1676425.6425,45931.49557833745
tsan-dom_peeling-ea-lo-st-swmr-wp,_latency_ms,4,4.85657,4.842805,0.10975844523315725
tsan-ea,ops_sec,4,1606391.5299999998,1608680.435,29742.854041066195
tsan-ea,_latency_ms,4,5.05602,5.0557549999999996,0.09003348876945737
tsan-lo,ops_sec,4,1633132.44,1643628.595,44521.18843290503
tsan-lo,_latency_ms,4,4.991580000000001,4.9530075,0.13156968682666464
tsan-sound-wp,ops_sec,4,1673708.5350000001,1663658.41,42618.9334886699
tsan-sound-wp,_latency_ms,4,4.897815,4.918965,0.10823786845031041
tsan-st,ops_sec,4,1679308.3399999999,1664232.1475,37738.68504297537
tsan-st,_latency_ms,4,4.85253,4.9013349999999996,0.12027595506445468
tsan-stmt,ops_sec,4,1617732.225,1624324.125,25376.533312912714
tsan-stmt,_latency_ms,4,5.0342400000000005,5.0152275,0.060253271764555145
tsan-swmr,ops_sec,4,1638952.81,1640197.9875,59552.16879879711
tsan-swmr,_latency_ms,4,4.97783,4.989725,0.15754082254027604
