config,test,n,median,mean,sd
orig,oltp_read_only,5,1220688.0,1229817.6,83816.45593080156
orig,oltp_read_write,5,1189619.0,1184280.6,40476.99243767995
orig,oltp_write_only,5,1563049.0,1542875.2,52151.216143058446
orig,select_random_points,5,458786.0,464809.2,16680.634481337933
orig,select_random_ranges,5,881045.0,890239.8,20830.305115384173
tsan,oltp_read_only,5,121248.0,123494.4,6217.195251880063
tsan,oltp_read_write,5,114570.0,115507.4,5545.327249135077
tsan,oltp_write_only,5,134558.0,134576.2,1272.867117966365
tsan,select_random_points,5,54859.0,54512.2,946.8174058391618
tsan,select_random_ranges,5,104262.0,104603.0,2015.8305980414127
tsan-dom_peeling-ea-lo-st-swmr,oltp_read_only,5,133904.0,128633.6,8690.722225453992
tsan-dom_peeling-ea-lo-st-swmr,oltp_read_write,5,121303.0,119455.8,4051.9077852290766
tsan-dom_peeling-ea-lo-st-swmr,oltp_write_only,5,136315.0,135772.2,1222.9483635869506
tsan-dom_peeling-ea-lo-st-swmr,select_random_points,5,55723.0,55780.8,837.3304007379644
tsan-dom_peeling-ea-lo-st-swmr,select_random_ranges,5,106542.0,106773.6,1761.5414556575158
tsan-dom_peeling-ea-lo-st-swmr-stmt,oltp_read_only,5,132688.0,129212.8,7265.9239742788395
tsan-dom_peeling-ea-lo-st-swmr-stmt,oltp_read_write,5,120338.0,118365.0,3946.4758329426013
tsan-dom_peeling-ea-lo-st-swmr-stmt,oltp_write_only,5,134363.0,134445.2,572.9255623551807
tsan-dom_peeling-ea-lo-st-swmr-stmt,select_random_points,5,52759.0,52605.8,1019.1838401387652
tsan-dom_peeling-ea-lo-st-swmr-stmt,select_random_ranges,5,103488.0,102831.4,1307.4818545586015
