config,test,n,median,mean,sd
orig,oltp_read_only,4,1190352.0,1198504.0,53197.62601219469
orig,oltp_read_write,4,1191445.0,1193025.0,40923.738180506756
orig,oltp_write_only,4,1573642.0,1553651.75,53405.10831605906
orig,select_random_points,4,455710.5,460079.75,14895.416753149271
orig,select_random_ranges,4,879290.5,885718.75,21030.205124613818
tsan,oltp_read_only,4,121008.0,123748.0,7149.074718684463
tsan,oltp_read_write,4,117677.5,116419.0,5954.895073242965
tsan,oltp_write_only,4,135061.5,134837.5,1305.783162192968
tsan,select_random_points,4,54299.0,54296.5,940.8016085587155
tsan,select_random_ranges,4,103580.0,103843.0,1251.9707131824875
tsan-dom_peeling-ea-lo-st-swmr,oltp_read_only,4,127736.0,126852.0,8918.756266057131
tsan-dom_peeling-ea-lo-st-swmr,oltp_read_write,4,118424.0,118424.75,3847.5336147546086
tsan-dom_peeling-ea-lo-st-swmr,oltp_write_only,4,136463.0,136105.75,1119.1214932556102
tsan-dom_peeling-ea-lo-st-swmr,select_random_points,4,55403.0,55470.0,539.3069626845179
tsan-dom_peeling-ea-lo-st-swmr,select_random_ranges,4,106937.5,106832.75,2028.3111817470217
tsan-dom_peeling-ea-lo-st-swmr-stmt,oltp_read_only,4,133544.0,131420.0,6157.379529204503
tsan-dom_peeling-ea-lo-st-swmr-stmt,oltp_read_write,4,117715.5,117338.5,3706.959266029234
tsan-dom_peeling-ea-lo-st-swmr-stmt,oltp_write_only,4,134149.5,134267.0,475.3489945994066
tsan-dom_peeling-ea-lo-st-swmr-stmt,select_random_points,4,52394.5,52567.5,1172.6899277586836
tsan-dom_peeling-ea-lo-st-swmr-stmt,select_random_ranges,4,102489.0,102490.5,1226.6185226059486
