config,test,n,median,mean,sd
orig,PING_INLINE,5,4239186.5,4343572.35,221502.22523738333
orig,PING_MBULK,5,6331949.0,6310067.2,280711.00190111005
orig,SET,5,3106981.5,3109146.65,30257.909970266453
orig,GET,5,3732164.0,3758513.95,73094.41368304934
orig,INCR,5,3803984.75,3876037.45,196552.4480351396
orig,RPUSH,5,2968688.25,2946470.7,53463.02017235839
orig,LPOP,5,2652663.0,2660809.45,142539.459536364
orig,RPOP,5,4330943.5,4277062.0,250935.75017521915
orig,SADD,5,3356147.5,3349080.6,89800.17311693363
orig,HSET,5,2605333.25,2601426.9,22600.662805269672
orig,SPOP,5,5052767.5,5034410.6,110651.71568959064
orig,ZADD,5,2422392.25,2423366.25,24600.160559054286
orig,ZPOPMIN,5,4928315.5,4946823.9,233360.87140906893
orig,LPUSH,5,2682166.25,2657193.7,83986.96725560311
orig,LRANGE_100,5,136347.83,135690.744,7866.297977926469
orig,LRANGE_300,5,38577.36,38665.828,1211.0119864270532
orig,LRANGE_500,5,23285.71,23152.854,693.031289430715
orig,LRANGE_600,5,18993.75,18861.086,451.1215265092097
orig,MSET,5,537795.69,521559.95,47236.220682793835
tsan,PING_INLINE,5,527384.31,513657.75800000003,25991.747910716214
tsan,PING_MBULK,5,752782.56,743515.0380000001,39543.140934271025
tsan,SET,5,334486.12,341599.536,15646.804378774284
tsan,GET,5,434450.91,437150.75,18500.453489980995
tsan,INCR,5,433748.06,434134.136,4917.751611568033
tsan,RPUSH,5,263731.62,267417.894,5878.312852007796
tsan,LPOP,5,248311.75,244037.89,7370.877360413069
tsan,RPOP,5,495026.25,492173.744,14685.71609286655
tsan,SADD,5,367531.78,367017.132,11359.919491383731
tsan,HSET,5,286169.34,283230.25,18442.05668246223
tsan,SPOP,5,516493.53,515151.988,15039.751784739336
tsan,ZADD,5,300164.41,292453.118,16746.19867613153
tsan,ZPOPMIN,5,496993.53,514468.244,28176.804636457266
tsan,LPUSH,5,227996.34,226488.692,3361.6536795407646
tsan,LRANGE_100,5,25445.78,24802.158,1224.5351239429601
tsan,LRANGE_300,5,8678.19,8655.272,89.50981298159424
tsan,LRANGE_500,5,5310.26,5290.344,35.761071432494894
tsan,LRANGE_600,5,4399.39,4403.544,39.314720271165626
tsan,MSET,5,63070.77,62302.087999999996,2924.181270145542
tsan-dom,PING_INLINE,5,472355.03,470388.56200000003,21139.12640867452
tsan-dom,PING_MBULK,5,708532.62,714577.986,20941.505058203882
tsan-dom,SET,5,329854.28,328972.65,14665.476964831376
tsan-dom,GET,5,421774.03,422296.168,12333.50272337384
tsan-dom,INCR,5,424278.19,421488.1,10908.612771892675
tsan-dom,RPUSH,5,271282.88,269600.496,4718.631306653441
tsan-dom,LPOP,5,241362.61,238284.728,10100.660780702416
tsan-dom,RPOP,5,502485.16,496368.782,21888.297227584186
tsan-dom,SADD,5,376249.72,375942.094,17556.61843551827
tsan-dom,HSET,5,282932.12,288010.544,14254.429425039414
tsan-dom,SPOP,5,549093.31,540341.962,24973.564814424673
tsan-dom,ZADD,5,287072.59,287069.88,13935.154485074796
tsan-dom,ZPOPMIN,5,530460.25,520030.442,30983.301875279052
tsan-dom,LPUSH,5,227840.59,224827.558,4968.78521959543
tsan-dom,LRANGE_100,5,24538.31,24691.870000000003,909.9179758362837
tsan-dom,LRANGE_300,5,8809.9,8831.32,110.80785689652173
tsan-dom,LRANGE_500,5,5393.36,5399.982,72.82216709217049
tsan-dom,LRANGE_600,5,4480.2,4487.802,55.02633705781248
tsan-dom,MSET,5,60309.2,59918.96,3650.0124676636365
tsan-dom-ea-lo-st-swmr,PING_INLINE,5,489935.34,489936.306,5479.668172232686
tsan-dom-ea-lo-st-swmr,PING_MBULK,5,718196.69,732643.576,28811.962873694112
tsan-dom-ea-lo-st-swmr,SET,5,332595.75,331945.918,10223.50462497426
tsan-dom-ea-lo-st-swmr,GET,5,416332.91,414539.652,9375.163880731368
tsan-dom-ea-lo-st-swmr,INCR,5,415986.69,416671.196,6448.3973761571115
tsan-dom-ea-lo-st-swmr,RPUSH,5,264389.0,261899.774,10206.81463278236
tsan-dom-ea-lo-st-swmr,LPOP,5,235732.33,238650.716,9666.402765102437
tsan-dom-ea-lo-st-swmr,RPOP,5,506812.56,499490.90400000004,19843.36597183375
tsan-dom-ea-lo-st-swmr,SADD,5,366196.19,367111.13800000004,13606.148844640782
tsan-dom-ea-lo-st-swmr,HSET,5,286169.34,288865.332,15762.383945110278
tsan-dom-ea-lo-st-swmr,SPOP,5,526551.56,527970.368,17739.830394723922
tsan-dom-ea-lo-st-swmr,ZADD,5,286251.22,288200.62,14800.145467658407
tsan-dom-ea-lo-st-swmr,ZPOPMIN,5,518366.84,526447.068,13709.46880075847
tsan-dom-ea-lo-st-swmr,LPUSH,5,225529.31,224884.916,1122.9779698551474
tsan-dom-ea-lo-st-swmr,LRANGE_100,5,24131.28,24247.83,223.28085150769235
tsan-dom-ea-lo-st-swmr,LRANGE_300,5,8738.33,8737.278,58.13654891718294
tsan-dom-ea-lo-st-swmr,LRANGE_500,5,5372.26,5352.296,41.030704722195594
tsan-dom-ea-lo-st-swmr,LRANGE_600,5,4452.08,4448.298,13.20206877727891
tsan-dom-ea-lo-st-swmr,MSET,5,66077.28,65299.496,2220.822185752385
tsan-dom_peeling,PING_INLINE,5,497240.53,485377.642,19109.937882807746
tsan-dom_peeling,PING_MBULK,5,768983.88,767329.416,40094.87598199588
tsan-dom_peeling,SET,5,333816.5,336433.176,9026.218335689086
tsan-dom_peeling,GET,5,429930.41,433186.05799999996,18786.040832202252
tsan-dom_peeling,INCR,5,420179.75,425066.464,14249.960710417065
tsan-dom_peeling,RPUSH,5,262791.72,265828.132,6629.978285806827
tsan-dom_peeling,LPOP,5,238656.5,241623.472,7043.444103357392
tsan-dom_peeling,RPOP,5,474859.47,474605.124,17238.257362588305
tsan-dom_peeling,SADD,5,362087.59,364260.412,18548.100736683788
tsan-dom_peeling,HSET,5,298641.19,298133.83,16136.074926674399
tsan-dom_peeling,SPOP,5,539907.19,526289.9199999999,44290.19245403264
tsan-dom_peeling,ZADD,5,286990.25,288529.81,6934.250751570059
tsan-dom_peeling,ZPOPMIN,5,544609.69,538749.788,27844.81484528439
tsan-dom_peeling,LPUSH,5,222295.17,220782.508,10918.604923758347
tsan-dom_peeling,LRANGE_100,5,24789.19,25485.471999999998,2265.2337386393483
tsan-dom_peeling,LRANGE_300,5,8809.96,8804.056,107.78615810947154
tsan-dom_peeling,LRANGE_500,5,5371.39,5391.938,88.8006039956937
tsan-dom_peeling,LRANGE_600,5,4493.74,4455.924,90.56343483989572
tsan-dom_peeling,MSET,5,61539.72,61183.352,1280.7292575794468
tsan-dom_peeling-ea-lo-st-swmr,PING_INLINE,5,472801.53,478240.268,16898.80063712719
tsan-dom_peeling-ea-lo-st-swmr,PING_MBULK,5,759065.25,754687.888,34011.00463694607
tsan-dom_peeling-ea-lo-st-swmr,SET,5,333927.91,332816.994,5154.4620516092655
tsan-dom_peeling-ea-lo-st-swmr,GET,5,440338.0,436439.64400000003,16059.957476384567
tsan-dom_peeling-ea-lo-st-swmr,INCR,5,429930.41,429870.598,7575.357344632011
tsan-dom_peeling-ea-lo-st-swmr,RPUSH,5,270610.75,268875.456,4426.213240059726
tsan-dom_peeling-ea-lo-st-swmr,LPOP,5,238599.58,237434.012,9240.309893914276
tsan-dom_peeling-ea-lo-st-swmr,RPOP,5,486362.69,484611.726,21422.168328209216
tsan-dom_peeling-ea-lo-st-swmr,SADD,5,380832.88,380766.27,18796.16617012229
tsan-dom_peeling-ea-lo-st-swmr,HSET,5,284218.19,295695.05199999997,18742.813440174075
tsan-dom_peeling-ea-lo-st-swmr,SPOP,5,527940.88,526870.35,18971.6980585661
tsan-dom_peeling-ea-lo-st-swmr,ZADD,5,288896.31,285125.804,16432.354619929858
tsan-dom_peeling-ea-lo-st-swmr,ZPOPMIN,5,552733.75,543747.164,29065.58213452691
tsan-dom_peeling-ea-lo-st-swmr,LPUSH,5,225275.39,225775.396,5149.261738669922
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_100,5,24621.37,24862.886,861.288059089408
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_300,5,8927.49,8958.39,47.602677970887406
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_500,5,5452.24,5434.896,107.78569770614274
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_600,5,4522.66,4525.204,22.706114374766912
tsan-dom_peeling-ea-lo-st-swmr,MSET,5,61188.6,61104.888,3874.156936646991
tsan-dom_peeling-ea-lo-st-swmr-stmt,PING_INLINE,5,478912.41,476613.438,14165.199674002833
tsan-dom_peeling-ea-lo-st-swmr-stmt,PING_MBULK,5,700593.88,713993.714,35706.43988477962
tsan-dom_peeling-ea-lo-st-swmr-stmt,SET,5,311666.03,313621.886,13565.770300035678
tsan-dom_peeling-ea-lo-st-swmr-stmt,GET,5,408346.12,413308.566,10318.974089236292
tsan-dom_peeling-ea-lo-st-swmr-stmt,INCR,5,409516.16,404455.55,15491.023656120977
tsan-dom_peeling-ea-lo-st-swmr-stmt,RPUSH,5,254826.28,257779.182,4303.3937363283485
tsan-dom_peeling-ea-lo-st-swmr-stmt,LPOP,5,231531.58,234574.592,9567.236101720811
tsan-dom_peeling-ea-lo-st-swmr-stmt,RPOP,5,466008.41,479550.652,25817.800880040508
tsan-dom_peeling-ea-lo-st-swmr-stmt,SADD,5,359098.34,356673.502,7749.1543808418155
tsan-dom_peeling-ea-lo-st-swmr-stmt,HSET,5,269662.53,272354.55,8879.558874313532
tsan-dom_peeling-ea-lo-st-swmr-stmt,SPOP,5,512787.28,511994.026,12814.694379880051
tsan-dom_peeling-ea-lo-st-swmr-stmt,ZADD,5,271050.66,271076.05600000004,8015.187330289293
tsan-dom_peeling-ea-lo-st-swmr-stmt,ZPOPMIN,5,538164.62,531792.808,22576.197617205613
tsan-dom_peeling-ea-lo-st-swmr-stmt,LPUSH,5,222420.62,221088.888,5810.504147466033
tsan-dom_peeling-ea-lo-st-swmr-stmt,LRANGE_100,5,23859.89,23997.108,839.6668635357713
tsan-dom_peeling-ea-lo-st-swmr-stmt,LRANGE_300,5,8495.2,8518.542,89.08861582716384
tsan-dom_peeling-ea-lo-st-swmr-stmt,LRANGE_500,5,5165.62,5162.032,50.056331967094835
tsan-dom_peeling-ea-lo-st-swmr-stmt,LRANGE_600,5,4317.13,4319.82,37.38805223597527
