config,test,n,median,mean,sd
orig,PING_INLINE,4,4383050.25,4382971.6875,234667.6992626466
orig,PING_MBULK,4,6301098.5,6304596.75,323829.25021748216
orig,SET,4,3102231.375,3109687.9375,34910.86086937165
orig,GET,4,3745925.625,3765101.4375,82670.5780299575
orig,INCR,4,3918571.0,3918706.125,198426.4286743011
orig,RPUSH,4,2973106.0,2956267.1875,56313.86672643152
orig,LPOP,4,2711993.5,2702291.125,124973.86777984495
orig,RPOP,4,4388689.5,4384358.25,84902.48834741731
orig,SADD,4,3373346.75,3374555.3125,80160.39094251781
orig,HSET,4,2608734.5,2602142.0625,26031.587792026025
orig,SPOP,4,5052896.75,5029821.375,127218.95694456271
orig,ZADD,4,2427787.375,2431099.0,20205.30579554951
orig,ZPOPMIN,4,5042632.0,5003756.25,225834.257578982
orig,LPUSH,4,2707815.375,2681892.375,73063.33266434562
orig,LRANGE_100,4,138252.125,138943.505,3459.551659184573
orig,LRANGE_300,4,39024.2,39139.8375,676.3874637304158
orig,LRANGE_500,4,23285.71,23301.5575,702.1193759551624
orig,LRANGE_600,4,18878.69,18827.92,513.8232042249546
orig,MSET,4,537010.22,517501.015,53527.38585960742
tsan,PING_INLINE,4,530620.655,522857.7125,18343.94161365433
tsan,PING_MBULK,4,757659.56,760399.2025,13578.656812921223
tsan,SET,4,344942.53,344806.85,16057.736320110638
tsan,GET,4,432098.3,437028.1175,21360.136881105384
tsan,INCR,4,433792.86,434230.655,5673.059295333219
tsan,RPUSH,4,267485.935,268349.3275,6347.358522668437
tsan,LPOP,4,248589.70500000002,246623.6325,5278.827102140363
tsan,RPOP,4,488236.89,491092.125,16726.0578680682
tsan,SADD,4,371608.17000000004,371319.66500000004,6975.081339575899
tsan,HSET,4,286785.905,289675.485,13286.794629908543
tsan,SPOP,4,519051.765,521275.9375,7181.489757593813
tsan,ZADD,4,302496.57999999996,298655.75,10836.47860782274
tsan,ZPOPMIN,4,517723.89,519328.7425,30017.996628213292
tsan,LPUSH,4,228048.325,227910.69,1259.800990183243
tsan,LRANGE_100,4,24913.285,24641.2525,1351.5587890130178
tsan,LRANGE_300,4,8705.855,8681.397500000001,78.3096236635913
tsan,LRANGE_500,4,5310.33,5296.3675,38.25252006948913
