config,test,n,median,mean,sd
orig,walthread1,5,5055.0,5041.6,74.40631693613116
orig,walthread2,5,16752.0,16739.0,121.65114056185416
orig,dynamic_triggers,5,682800.0,717120.0,79176.58744856335
orig,checkpoint_starvation_1,5,928515,948489.6,34336.657034428965
orig,checkpoint_starvation_2,5,782,782,0.0
orig,stress1,5,270259.0,299535.6,80785.66676583167
orig,stress2,5,169050.0,169527.2,4153.753206438726
tsan,walthread1,5,2798.0,2794.8,27.598913022073894
tsan,walthread2,5,6696.0,6711.6,34.500724630071176
tsan,dynamic_triggers,5,134200.0,135520.0,20506.38924823188
tsan,checkpoint_starvation_1,5,166652,167036.4,670.0259696459533
tsan,checkpoint_starvation_2,5,766,766,0.0
tsan,stress1,5,94378.0,95851.2,6759.651004304882
tsan,stress2,5,31609.0,31460.4,917.418552243195
tsan-dom,walthread1,5,2806.0,2804.6,9.964938534682489
tsan-dom,walthread2,5,6696.0,6697.4,24.653600142778338
tsan-dom,dynamic_triggers,5,130200.0,130040.0,15598.974325256133
tsan-dom,checkpoint_starvation_1,5,168856,169155,926.8581336968457
tsan-dom,checkpoint_starvation_2,5,766,766,0.0
tsan-dom,stress1,5,98689.0,102431.8,14146.939216664501
tsan-dom,stress2,5,31387.0,31274.6,1092.9850410687238
tsan-dom-ea-lo-st-swmr,walthread1,5,2816.0,2804.2,22.151749366585022
tsan-dom-ea-lo-st-swmr,walthread2,5,6711.0,6707.4,22.512218904408336
tsan-dom-ea-lo-st-swmr,dynamic_triggers,5,132000.0,128640.0,20499.46340761143
tsan-dom-ea-lo-st-swmr,checkpoint_starvation_1,5,169565,169780.8,1304.9037129229114
tsan-dom-ea-lo-st-swmr,checkpoint_starvation_2,5,766,766,0.0
tsan-dom-ea-lo-st-swmr,stress1,5,108978.0,108175.4,7152.56809125226
tsan-dom-ea-lo-st-swmr,stress2,5,31078.0,31672.8,1754.4774720696757
tsan-dom_peeling,walthread1,5,2779.0,2786.6,25.50098037331114
tsan-dom_peeling,walthread2,5,6722.0,6715.2,24.993999279827147
tsan-dom_peeling,dynamic_triggers,5,127200.0,127320.0,11641.821163374741
tsan-dom_peeling,checkpoint_starvation_1,5,168414,168546.4,1054.6560102706474
tsan-dom_peeling,checkpoint_starvation_2,5,766,766,0.0
tsan-dom_peeling,stress1,5,104647.0,112578.4,19365.894797297646
tsan-dom_peeling,stress2,5,31192.0,31770.2,900.4941421242006
tsan-dom_peeling-ea-lo-st-swmr,walthread1,5,2801.0,2803.8,12.794530081249565
tsan-dom_peeling-ea-lo-st-swmr,walthread2,5,6691.0,6671.0,64.32340165134303
tsan-dom_peeling-ea-lo-st-swmr,dynamic_triggers,5,133600.0,128760.0,11400.350871793376
tsan-dom_peeling-ea-lo-st-swmr,checkpoint_starvation_1,5,167248,166299.4,4677.0853958421585
tsan-dom_peeling-ea-lo-st-swmr,checkpoint_starvation_2,5,766,766,0.0
tsan-dom_peeling-ea-lo-st-swmr,stress1,5,111718.0,106057.0,13390.318293453669
tsan-dom_peeling-ea-lo-st-swmr,stress2,5,31248.0,30862.2,940.5611091258239
tsan-dom_peeling-ea-lo-st-swmr-stmt,walthread1,5,2744.0,2749.4,28.23650119968832
tsan-dom_peeling-ea-lo-st-swmr-stmt,walthread2,5,6557.0,6566.4,48.304244119952855
tsan-dom_peeling-ea-lo-st-swmr-stmt,dynamic_triggers,5,128600.0,128600.0,10269.371937952194
tsan-dom_peeling-ea-lo-st-swmr-stmt,checkpoint_starvation_1,5,166940,166045.6,4711.637539115249
tsan-dom_peeling-ea-lo-st-swmr-stmt,checkpoint_starvation_2,5,766,766,0.0
tsan-dom_peeling-ea-lo-st-swmr-stmt,stress1,5,101170.0,113570.4,28674.871949147393
tsan-dom_peeling-ea-lo-st-swmr-stmt,stress2,5,30745.0,30724.8,904.0338489238111
tsan-dom_peeling-ea-lo-st-swmr-wp,walthread1,5,2771.0,2789.8,51.76581883830294
tsan-dom_peeling-ea-lo-st-swmr-wp,walthread2,5,6688.0,6680.0,60.757715559425044
tsan-dom_peeling-ea-lo-st-swmr-wp,dynamic_triggers,5,150000.0,151920.0,20633.27409792251
tsan-dom_peeling-ea-lo-st-swmr-wp,checkpoint_starvation_1,5,170913,171163,1581.0804849848726
tsan-dom_peeling-ea-lo-st-swmr-wp,checkpoint_starvation_2,5,766,766,0.0
tsan-dom_peeling-ea-lo-st-swmr-wp,stress1,5,119653.0,116611.4,8771.125686022291
tsan-dom_peeling-ea-lo-st-swmr-wp,stress2,5,30788.0,30857.4,793.0708039008875
tsan-ea,walthread1,5,2766.0,2775.6,30.82693627333083
