config,test,n,median,mean,sd
orig,walthread1,4,5061.0,5049.0,83.76554582086042
orig,walthread2,4,16741.0,16721.75,133.2225581498869
orig,dynamic_triggers,4,728700.0,738300.0,73266.36336000307
orig,checkpoint_starvation_1,4,953369.0,955198,35664.975601655286
orig,checkpoint_starvation_2,4,782.0,782,0.0
orig,stress1,4,262682.0,276251.25,71325.72401957562
orig,stress2,4,169153.0,169646.5,4786.43963017746
tsan,walthread1,4,2786.5,2790.25,29.62403303625847
tsan,walthread2,4,6712.5,6718.5,35.632382276051466
tsan,dynamic_triggers,4,131200.0,127700.0,12369.316876852981
tsan,checkpoint_starvation_1,4,167062.0,167132.5,732.8107986831708
tsan,checkpoint_starvation_2,4,766.0,766,0.0
tsan,stress1,4,97655.5,96219.5,7747.228084934637
tsan,stress2,4,31474.5,31423.25,1054.9920615815079
tsan-dom,walthread1,4,2801.5,2802.0,9.345230512584124
tsan-dom,walthread2,4,6693.0,6689.75,20.5
tsan-dom,dynamic_triggers,4,125000.0,128000.0,17224.788339289786
tsan-dom,checkpoint_starvation_1,4,169193.0,169416.5,830.3852519563836
tsan-dom,checkpoint_starvation_2,4,766.0,766,0.0
tsan-dom,stress1,4,99556.0,103367.5,16155.83348721652
tsan-dom,stress2,4,31191.0,31246.5,1259.9832009462136
tsan-dom-ea-lo-st-swmr,walthread1,4,2806.5,2801.25,24.41823089414956
tsan-dom-ea-lo-st-swmr,walthread2,4,6719.5,6715.25,16.276260831857748
tsan-dom-ea-lo-st-swmr,dynamic_triggers,4,131300.0,127800.0,23571.16882973774
tsan-dom-ea-lo-st-swmr,checkpoint_starvation_1,4,169657.5,170009.25,1386.5192329475035
tsan-dom-ea-lo-st-swmr,checkpoint_starvation_2,4,766.0,766,0.0
tsan-dom-ea-lo-st-swmr,stress1,4,107791.5,106720.75,7355.650634036394
tsan-dom-ea-lo-st-swmr,stress2,4,32007.5,31929.25,1914.6307520424575
tsan-dom_peeling,walthread1,4,2778.5,2776.5,13.674794331177344
tsan-dom_peeling,walthread2,4,6712.5,6713.5,28.52484297356721
tsan-dom_peeling,dynamic_triggers,4,127100.0,125950.0,12969.065759208204
tsan-dom_peeling,checkpoint_starvation_1,4,168865.0,168581.75,1214.3866421641283
tsan-dom_peeling,checkpoint_starvation_2,4,766.0,766,0.0
tsan-dom_peeling,stress1,4,109213.5,115422.75,21121.434505812653
tsan-dom_peeling,stress2,4,31145.5,31591.0,931.1831184036789
