claude samples=1870 peak_pcpu=5.3
Variane_testhar samples=134 peak_pcpu=120.0
sshd samples=57 peak_pcpu=0.8
MainThread samples=57 peak_pcpu=0.6
python3 samples=48 peak_pcpu=80.9
Rider.Backend samples=43 peak_pcpu=5.2
compile samples=25 peak_pcpu=900.0
cc1plus samples=17 peak_pcpu=150.0
go_bootstrap samples=12 peak_pcpu=1493.0
dist samples=8 peak_pcpu=67.1
mysqladmin samples=5 peak_pcpu=4.5
ccache samples=3 peak_pcpu=4.7
verilator_bin samples=2 peak_pcpu=101.0
kworker/u224:1-ext4-rsv-conversion samples=2 peak_pcpu=0.6
perl samples=1 peak_pcpu=300.0
