claude samples=1592 peak_pcpu=5.3
cc1plus samples=51 peak_pcpu=200.0
sshd samples=50 peak_pcpu=0.8
Rider.Backend samples=50 peak_pcpu=5.2
Variane_testhar samples=45 peak_pcpu=116.0
MainThread samples=44 peak_pcpu=0.8
ccache samples=23 peak_pcpu=35.2
compile samples=19 peak_pcpu=510.0
python3 samples=12 peak_pcpu=10.7
mysqladmin samples=7 peak_pcpu=100.0
anvil samples=6 peak_pcpu=100.0
verilator_bin samples=4 peak_pcpu=102.0
go samples=3 peak_pcpu=94.5
protoc-gen-gogo samples=2 peak_pcpu=140.0
goyacc samples=2 peak_pcpu=113.0
docker samples=2 peak_pcpu=1.6
pgrep samples=1 peak_pcpu=166.0
link samples=1 peak_pcpu=400.0
git samples=1 peak_pcpu=112.0
gazelle samples=1 peak_pcpu=113.0
cc1 samples=1 peak_pcpu=350.0
