config,test,n,median,mean,sd
orig,oltp_read_only,5,1011808.0,1054080.0,80395.14015162857
orig,oltp_read_write,5,705882.0,729890.8,40880.78463899635
orig,oltp_write_only,5,1348569.0,1326048.4,55885.88207946619
orig,select_random_points,5,407422.0,413759.8,15569.960250430957
orig,select_random_ranges,5,894946.0,895996.6,15972.943132059288
tsan,oltp_read_only,5,128784.0,124483.2,7179.289324160157
tsan,oltp_read_write,5,75788.0,76317.6,1808.9402422412963
tsan,oltp_write_only,5,117972.0,118057.8,962.8313455636974
tsan,select_random_points,5,52873.0,52925.6,1039.2922110744407
tsan,select_random_ranges,5,111071.0,110974.4,2291.662671511669
tsan-dom_peeling-ea-lo-st-swmr,oltp_read_only,5,130192.0,125731.2,7345.711347446209
tsan-dom_peeling-ea-lo-st-swmr,oltp_read_write,5,77462.0,77636.4,1963.4354585776432
tsan-dom_peeling-ea-lo-st-swmr,oltp_write_only,5,119280.0,120356.2,1912.54508443592
tsan-dom_peeling-ea-lo-st-swmr,select_random_points,5,53639.0,53596.4,558.6978611020451
tsan-dom_peeling-ea-lo-st-swmr,select_random_ranges,5,110445.0,111815.4,3397.6973526198594
tsan-dom_peeling-ea-lo-st-swmr-stmt,oltp_read_only,5,129632.0,127081.6,4957.83952947249
tsan-dom_peeling-ea-lo-st-swmr-stmt,oltp_read_write,5,76040.0,76057.2,1039.4170000533952
tsan-dom_peeling-ea-lo-st-swmr-stmt,oltp_write_only,5,119205.0,118862.6,1107.9545568298367
tsan-dom_peeling-ea-lo-st-swmr-stmt,select_random_points,5,51473.0,51690.8,461.06691488329545
tsan-dom_peeling-ea-lo-st-swmr-stmt,select_random_ranges,5,107609.0,108025.0,2071.0525101986186
