config,test,n,median,mean,sd
orig,oltp_read_only,4,1002464.0,1038356.0,83483.79227930013
orig,oltp_read_write,4,735893.5,735893.0,44588.586409528616
orig,oltp_write_only,4,1324489.0,1320418.25,62872.769629758375
orig,select_random_points,4,404087.0,410656.25,16094.038200008516
orig,select_random_ranges,4,899224.0,897930.5,17755.18952306621
tsan,oltp_read_only,4,123168.0,123408.0,7811.267076046839
tsan,oltp_read_write,4,76449.0,76545.5,2004.1865348980534
tsan,oltp_write_only,4,117713.0,117715.75,675.33022786387
tsan,select_random_points,4,53194.5,52938.75,1199.5908677545024
tsan,select_random_ranges,4,109906.0,110402.0,2194.997038722376
tsan-dom_peeling-ea-lo-st-swmr,oltp_read_only,4,125472.0,124616.0,7978.397499916049
tsan-dom_peeling-ea-lo-st-swmr,oltp_read_write,4,78020.0,78251.5,1617.9570451652912
tsan-dom_peeling-ea-lo-st-swmr,oltp_write_only,4,120464.5,120719.25,1999.6006893044087
tsan-dom_peeling-ea-lo-st-swmr,select_random_points,4,53575.5,53460.25,540.9364565270121
tsan-dom_peeling-ea-lo-st-swmr,select_random_ranges,4,112877.5,112793.25,3002.97501099604
tsan-dom_peeling-ea-lo-st-swmr-stmt,oltp_read_only,4,129760.0,129176.0,1878.8705827349224
tsan-dom_peeling-ea-lo-st-swmr-stmt,oltp_read_write,4,75628.5,75861.75,1088.9653728807602
tsan-dom_peeling-ea-lo-st-swmr-stmt,oltp_write_only,4,119176.5,118777.0,1260.1198355712047
tsan-dom_peeling-ea-lo-st-swmr-stmt,select_random_points,4,51687.0,51745.25,513.4961051458911
tsan-dom_peeling-ea-lo-st-swmr-stmt,select_random_ranges,4,108745.0,108672.75,1709.3305463445818
