config,test,n,median,mean,sd
orig,PING_INLINE,5,3877705.75,3846610.55,147389.23154953518
orig,PING_MBULK,5,5716846.0,5736788.4,44592.562034491806
orig,SET,5,3087802.5,3046696.45,88964.29557103231
orig,GET,5,3803984.75,3833473.15,40378.65466183835
orig,INCR,5,3970031.75,3937293.15,88705.72838228234
orig,RPUSH,5,2908279.0,2915383.35,48577.121349908644
orig,LPOP,5,2464157.75,2462758.45,56451.149036523166
orig,RPOP,5,4653246.5,4639458.9,140530.46853458506
orig,SADD,5,3323747.5,3349166.5,68169.70158935162
orig,HSET,5,2545669.25,2540234.4,56695.9691186243
orig,SPOP,5,4368768.5,4488490.3,244336.13811243724
orig,ZADD,5,2370730.0,2391397.45,64970.64218442242
orig,ZPOPMIN,5,4610359.5,4545054.8,177774.28521920712
orig,LPUSH,5,2639704.5,2593596.8,133261.81792978063
orig,LRANGE_100,5,133866.75,134001.646,2122.7833815370827
orig,LRANGE_300,5,39315.39,39330.914,854.8289256219637
orig,LRANGE_500,5,23178.9,23393.922000000002,303.5282193141181
orig,LRANGE_600,5,18759.26,18788.602,380.5246302409344
orig,MSET,5,500830.09,501189.10599999997,20422.195332907508
tsan,PING_INLINE,5,489456.0,489130.318,22289.535739140476
tsan,PING_MBULK,5,756196.56,760529.898,27103.986084360713
tsan,SET,5,333904.97,337378.55,9432.144792113839
tsan,GET,5,435438.84,436656.668,12520.409173550193
tsan,INCR,5,426795.34,424524.418,19296.819728345632
tsan,RPUSH,5,263230.91,263475.736,7353.21237063298
tsan,LPOP,5,236635.28,237264.55,4490.2554321274465
tsan,RPOP,5,494048.38,493155.914,10491.01813827331
tsan,SADD,5,355955.03,360771.496,16241.135057009711
tsan,HSET,5,269780.97,267749.41,6812.778745662447
tsan,SPOP,5,528219.62,527468.206,14232.200746549363
tsan,ZADD,5,284222.78,278246.018,9300.355382915219
tsan,ZPOPMIN,5,531023.38,522512.458,19103.544537787213
tsan,LPUSH,5,220653.23,218435.61000000002,5796.629928531753
tsan,LRANGE_100,5,20606.54,21138.868,1152.7572941734084
tsan,LRANGE_300,5,8605.53,8545.098,103.85813193968063
tsan,LRANGE_500,5,5264.47,5189.674,128.23133677069742
