config,test,n,median,mean,sd
orig,PING_INLINE,4,3900515.625,3853637.1875,169220.63469124353
orig,PING_MBULK,4,5716846.0,5741774.0,49856.0
orig,SET,4,3050600.125,3036419.9375,99241.20340958332
orig,GET,4,3803984.75,3822415.0,36860.5
orig,INCR,4,3985911.875,3948418.0,98318.49476891416
orig,RPUSH,4,2908279.0,2906687.875,51402.727440809664
orig,LPOP,4,2440349.375,2457822.75,63926.27581929828
orig,RPOP,4,4676624.5,4636012.0,162026.36406256031
orig,SADD,4,3369122.875,3358468.875,74961.65518964235
orig,HSET,4,2536026.5,2525651.4375,53555.191941497375
orig,SPOP,4,4359271.25,4468548.875,277397.0589427049
orig,ZADD,4,2365138.625,2374721.0,61434.67449623489
orig,ZPOPMIN,4,4578925.25,4512570.875,187359.43911164222
orig,LPUSH,4,2629339.125,2575030.6875,146219.96877370166
orig,LRANGE_100,4,133072.83000000002,133734.5775,2352.185187286851
orig,LRANGE_300,4,39091.155,39021.7775,580.6956907236369
orig,LRANGE_500,4,23178.9,23339.365,320.9299999999985
orig,LRANGE_600,4,18588.72,18677.2075,332.1752972327506
orig,MSET,4,491931.875,494317.96,15535.028181450678
tsan,PING_INLINE,4,492138.29500000004,489048.8975,25736.88033354261
tsan,PING_MBULK,4,764928.78,761613.2325,31171.739197907413
tsan,SET,4,338960.64,338396.36,10569.495061979089
tsan,GET,4,433285.405,433441.73250000004,11836.756004205365
tsan,INCR,4,425384.43500000006,420765.2175,20056.89605870487
tsan,RPUSH,4,265815.595,264992.9325,7533.065429121462
tsan,LPOP,4,236416.225,236601.375,4893.994747664399
tsan,RPOP,4,495028.16000000003,496774.0725,7711.991262267577
tsan,SADD,4,359774.455,365175.775,14912.460131975757
tsan,HSET,4,266229.26,267241.52,7756.648157277731
tsan,SPOP,4,529339.935,532181.2175,11044.94762893386
tsan,ZADD,4,284520.97,279526.8975,10217.197840302975
tsan,ZPOPMIN,4,524567.8,520384.7275,21363.808290473193
tsan,LPUSH,4,217303.02000000002,217188.64250000002,5868.137557813809
tsan,LRANGE_100,4,20539.79,20650.9125,429.49044128866603
tsan,LRANGE_300,4,8567.1,8528.885,112.38152116785092
tsan,LRANGE_500,4,5199.25,5168.3925,137.49552486656916
tsan,LRANGE_600,4,4399.615,4393.5975,50.916704773581024
tsan,MSET,4,65506.53,64663.0525,2288.4261777529578
tsan-dom,PING_INLINE,4,429871.015,434340.0775,24935.96016190857
tsan-dom,PING_MBULK,4,715555.28,716398.3125,45605.72506739283
tsan-dom,SET,4,334807.265,334449.2575,2903.5029748721954
tsan-dom,GET,4,438235.64,438474.0625,9162.271454606207
tsan-dom,INCR,4,430407.065,424785.2675,13742.495392446926
tsan-dom,RPUSH,4,267662.375,268881.405,5392.645969506374
tsan-dom,LPOP,4,232578.255,232363.2875,14719.511736905253
tsan-dom,RPOP,4,495023.985,490825.0375,20412.118715825614
tsan-dom,SADD,4,377121.17,371873.3275,18238.2117168458
tsan-dom,HSET,4,281803.61,280925.1625,11702.12100471926
tsan-dom,SPOP,4,500247.71499999997,497661.655,35807.309485822865
tsan-dom,ZADD,4,286288.72,287289.345,8831.108587916173
tsan-dom,ZPOPMIN,4,526690.22,525919.7275,6475.59263007064
tsan-dom,LPUSH,4,221318.32,222964.7875,5450.759889840279
tsan-dom,LRANGE_100,4,21170.08,21434.3625,680.5588804982273
tsan-dom,LRANGE_300,4,8773.89,8771.705,41.66314558455717
tsan-dom,LRANGE_500,4,5405.57,5401.015,21.460364240462663
tsan-dom,LRANGE_600,4,4544.015,4542.7625,24.141087209706836
tsan-dom,MSET,4,62012.78,62534.515,2646.2625759172147
