config,test,n,median,mean,sd
orig,ops_sec,5,6350739.15,6317066.794,60633.71343547591
orig,_latency_ms,5,1.28167,1.281896,0.005916673896709253
tsan,ops_sec,5,1133492.42,1093721.866,76623.99660978917
tsan,_latency_ms,5,6.76294,7.026592,0.5319567657902285
tsan-dom_peeling-ea-lo-st-swmr,ops_sec,5,1129048.37,1103335.258,61099.56169870263
tsan-dom_peeling-ea-lo-st-swmr,_latency_ms,5,6.86183,6.974992,0.40805769968228756
tsan-dom_peeling-ea-lo-st-swmr-stmt,ops_sec,5,1140675.67,1126473.166,60407.17123592466
tsan-dom_peeling-ea-lo-st-swmr-stmt,_latency_ms,5,6.70749,6.835474,0.3886650733343556
tsan-stmt,ops_sec,5,1019952.79,1040246.812,69616.5700666574
tsan-stmt,_latency_ms,5,7.47298,7.396896,0.44092817955989144
