config,test,n,median,mean,sd
orig,PING_INLINE,5,3522704.0,3503870.3,62738.427303965786
orig,PING_MBULK,5,5407827.0,5405592.0,155851.41208375368
orig,SET,5,3004348.25,3012274.55,50980.602351347814
orig,GET,5,3847877.0,3830763.35,51685.91018461898
orig,INCR,5,3719137.75,3696935.95,107709.75259746097
orig,RPUSH,5,2842181.75,2849556.45,121480.83873231304
orig,LPOP,5,2458103.25,2492224.4,86052.79591633703
orig,RPOP,5,4275419.0,4339739.45,165637.80375362685
orig,SADD,5,3426191.75,3408254.75,55832.237553115316
orig,HSET,5,2382019.0,2393140.4,51041.201807522615
orig,SPOP,5,4330943.5,4360461.0,130448.94953582417
orig,ZADD,5,2342489.5,2345422.75,36351.26886970385
orig,ZPOPMIN,5,4221299.5,4229464.25,154022.13333560212
orig,LPUSH,5,2674994.5,2685960.3,112386.32072056746
orig,LRANGE_100,5,132553.61,132771.024,1141.470894933372
orig,LRANGE_300,5,40896.0,40841.966,700.1572047261963
orig,LRANGE_500,5,24769.61,24489.424,485.968156137828
orig,LRANGE_600,5,19993.42,19628.92,1043.9484990410206
orig,MSET,5,495243.12,495315.338,7461.476741890325
tsan,PING_INLINE,5,455577.41,444080.276,21613.1307674115
tsan,PING_MBULK,5,688066.0,678630.96,59314.38355535992
tsan,SET,5,309888.62,309700.648,2711.797327340311
tsan,GET,5,400796.06,407351.206,16321.671456055896
tsan,INCR,5,381590.91,380669.828,3082.0588335023654
tsan,RPUSH,5,236618.05,235506.196,4555.705395246715
tsan,LPOP,5,227173.89,226200.346,3395.503203036333
tsan,RPOP,5,448570.34,446758.718,23307.965304160934
tsan,SADD,5,338990.66,338720.18,2851.724240630553
tsan,HSET,5,261036.08,260139.15,3830.518269372961
tsan,SPOP,5,459736.62,457250.344,22894.171580959875
tsan,ZADD,5,262374.25,262687.81,2380.9319300958646
tsan,ZPOPMIN,5,432797.97,444936.382,33950.212118621144
tsan,LPUSH,5,202603.2,200947.036,3524.3321112346953
tsan,LRANGE_100,5,22756.32,22647.384,393.17584256919946
tsan,LRANGE_300,5,8659.97,8634.708,113.9238871791163
tsan,LRANGE_500,5,5392.53,5356.942,62.243554445420116
tsan,LRANGE_600,5,4491.5,4481.448,40.11288408977862
