config,test,n,median,mean,sd
orig,PING_INLINE,5,4083461.25,4099376.8,257382.6691608358
orig,PING_MBULK,5,6413128.0,6387498.8,237806.90242232246
orig,SET,5,3087802.5,3074894.5,37991.06875429737
orig,GET,5,3788712.25,3742709.7,93600.94817935873
orig,INCR,5,3651270.25,3661372.25,97815.3772447423
orig,RPUSH,5,3004348.25,2973383.35,65451.6340167016
orig,LPOP,5,2802375.5,2807383.45,32028.74538812752
orig,RPOP,5,4387930.0,4421688.9,124914.42797891684
orig,SADD,5,3426191.75,3412470.0,44205.30120040751
orig,HSET,5,2558690.5,2613128.5,112983.43732130608
orig,SPOP,5,4880234.0,4835542.5,121409.87409545814
orig,ZADD,5,2416541.0,2387446.35,51103.59701766354
orig,ZPOPMIN,5,5002240.0,4999800.5,126280.52501029207
orig,LPUSH,5,2718608.75,2714423.75,35129.90967955582
orig,LRANGE_100,5,146285.72,144305.46,4655.985121695516
orig,LRANGE_300,5,41358.02,41187.087999999996,266.1028982743321
orig,LRANGE_500,5,24648.78,24507.942,281.316102045368
orig,LRANGE_600,5,20260.0,20157.924,367.2663472604043
orig,MSET,5,486475.72,508988.77,38022.646380392835
tsan,PING_INLINE,5,469693.88,468452.832,12145.420940678418
tsan,PING_MBULK,5,764868.5,756508.574,24855.54815526363
tsan,SET,5,329203.03,325913.85,8513.00529454493
tsan,GET,5,408013.06,410486.638,7545.045978085224
tsan,INCR,5,407348.53,406939.164,8835.119787616351
tsan,RPUSH,5,244190.38,245872.738,5174.987325884958
tsan,LPOP,5,229197.72,228888.028,10549.760799002506
tsan,RPOP,5,482841.69,475986.124,15127.267747426495
tsan,SADD,5,356538.84,356882.142,2371.2093974636773
tsan,HSET,5,284622.47,279639.174,10068.977080916913
tsan,SPOP,5,522427.16,513789.494,27209.264949204902
tsan,ZADD,5,278211.34,283196.218,11610.710232185178
tsan,ZPOPMIN,5,515163.75,506563.744,30005.792996651133
tsan,LPUSH,5,211332.48,212718.508,5259.928037432633
tsan,LRANGE_100,5,24355.46,25122.005999999998,1782.178519223032
tsan,LRANGE_300,5,8713.0,8756.188,107.14467961592878
tsan,LRANGE_500,5,5399.31,5393.424,28.280427507376974
tsan,LRANGE_600,5,4480.2,4473.862,14.171946584714298
tsan,MSET,5,64316.42,64574.652,1344.614257164486
tsan-dom_peeling-ea-lo-st-swmr-stmt,PING_INLINE,5,465974.84,464221.498,3366.5212561218095
tsan-dom_peeling-ea-lo-st-swmr-stmt,PING_MBULK,5,722345.12,715813.522,33455.10352711707
tsan-dom_peeling-ea-lo-st-swmr-stmt,SET,5,327157.62,325523.182,4374.140834451954
tsan-dom_peeling-ea-lo-st-swmr-stmt,GET,5,410692.91,408401.526,9759.353033712316
tsan-dom_peeling-ea-lo-st-swmr-stmt,INCR,5,418072.72,413656.538,8649.310099656494
tsan-dom_peeling-ea-lo-st-swmr-stmt,RPUSH,5,242415.33,243172.07,3909.661087875774
tsan-dom_peeling-ea-lo-st-swmr-stmt,LPOP,5,228114.52,227931.09,4332.741988210231
