config,test,n,median,mean,sd
orig,walthread1,5,4973.0,4932.6,100.76358469209003
orig,walthread2,5,16802.0,16845.6,93.43607440384041
orig,dynamic_triggers,5,649600.0,636680.0,75037.93707185719
orig,checkpoint_starvation_1,5,788164,784403.4,14450.132899042832
orig,checkpoint_starvation_2,5,782,782,0.0
orig,stress1,5,250181.0,281370.0,91522.64096386205
orig,stress2,5,182314.0,182644.4,4967.8471494199575
tsan,walthread1,5,2689.0,2673.6,27.94279871451677
tsan,walthread2,5,6438.0,6428.0,36.742346141747674
tsan,dynamic_triggers,5,119000.0,122240.0,10605.093116045706
tsan,checkpoint_starvation_1,5,163119,161276.2,4235.471721071928
tsan,checkpoint_starvation_2,5,766,766,0.0
tsan,stress1,5,108550.0,112450.2,20527.536108846576
tsan,stress2,5,27001.0,27409.2,1214.6969580928405
tsan-dom_peeling-ea-lo-st-swmr-stmt,walthread1,5,2675.0,2676.0,24.545875417267155
tsan-dom_peeling-ea-lo-st-swmr-stmt,walthread2,5,6300.0,6318.6,41.6329196670135
tsan-dom_peeling-ea-lo-st-swmr-stmt,dynamic_triggers,5,122400.0,121920.0,15635.600404205781
tsan-dom_peeling-ea-lo-st-swmr-stmt,checkpoint_starvation_1,5,163327,162888,1421.0364175488255
tsan-dom_peeling-ea-lo-st-swmr-stmt,checkpoint_starvation_2,5,766,766,0.0
tsan-dom_peeling-ea-lo-st-swmr-stmt,stress1,5,79148.0,80911.4,14381.984192036925
tsan-dom_peeling-ea-lo-st-swmr-stmt,stress2,5,26038.0,26248.4,1117.8180979032322
tsan-dom_peeling-ea-lo-st-swmr-stmt-wp,walthread1,5,2667.0,2665.4,18.06377590649308
tsan-dom_peeling-ea-lo-st-swmr-stmt-wp,walthread2,5,6348.0,6330.4,48.51082353454742
tsan-dom_peeling-ea-lo-st-swmr-stmt-wp,dynamic_triggers,5,110800.0,125760.0,27921.103130069914
tsan-dom_peeling-ea-lo-st-swmr-stmt-wp,checkpoint_starvation_1,5,163277,162998,1047.7315973091581
tsan-dom_peeling-ea-lo-st-swmr-stmt-wp,checkpoint_starvation_2,5,766,766,0.0
tsan-dom_peeling-ea-lo-st-swmr-stmt-wp,stress1,5,99030.0,98373.8,13392.789466724249
tsan-dom_peeling-ea-lo-st-swmr-stmt-wp,stress2,5,26027.0,26220.8,798.8830953274703
tsan-dom_peeling-ea-lo-st-swmr-wp,walthread1,5,2739.0,2687.8,117.54233279971943
tsan-dom_peeling-ea-lo-st-swmr-wp,walthread2,5,6438.0,6439.4,38.351010416936866
tsan-dom_peeling-ea-lo-st-swmr-wp,dynamic_triggers,5,152000.0,146520.0,25309.523899117503
tsan-dom_peeling-ea-lo-st-swmr-wp,checkpoint_starvation_1,5,164807,164047.2,2116.813218023735
tsan-dom_peeling-ea-lo-st-swmr-wp,checkpoint_starvation_2,5,766,766,0.0
tsan-dom_peeling-ea-lo-st-swmr-wp,stress1,5,97852.0,98314.2,22342.169908046086
tsan-dom_peeling-ea-lo-st-swmr-wp,stress2,5,27284.0,27399.2,357.1718073980644
