Running walthread1 for 20 seconds...
Thread 73 says: 40 checkpoints
Thread 72 says: 66 iterations
Thread 71 says: 80 iterations
Thread 70 says: 80 iterations
Thread 69 says: 83 iterations
Thread 68 says: 76 iterations
Thread 67 says: 87 iterations
Thread 66 says: 62 iterations
Thread 65 says: 52 iterations
Thread 64 says: 72 iterations
Thread 63 says: 89 iterations
Thread 62 says: 97 iterations
Thread 61 says: 74 iterations
Thread 60 says: 70 iterations
Thread 59 says: 106 iterations
Thread 58 says: 82 iterations
Thread 57 says: 99 iterations
Thread 56 says: 72 iterations
Thread 55 says: 65 iterations
Thread 54 says: 61 iterations
Thread 53 says: 85 iterations
Thread 52 says: 72 iterations
Thread 51 says: 86 iterations
Thread 50 says: 90 iterations
Thread 49 says: 69 iterations
Thread 48 says: 80 iterations
Thread 47 says: 66 iterations
Thread 46 says: 87 iterations
Thread 45 says: 76 iterations
Thread 44 says: 68 iterations
Thread 43 says: 89 iterations
Thread 42 says: 64 iterations
Thread 41 says: 70 iterations
Thread 40 says: 71 iterations
Thread 39 says: 86 iterations
Thread 38 says: 103 iterations
Thread 37 says: 79 iterations
Thread 36 says: 80 iterations
Thread 35 says: 78 iterations
Thread 34 says: 73 iterations
Thread 33 says: 59 iterations
Thread 32 says: 72 iterations
Thread 31 says: 71 iterations
Thread 30 says: 79 iterations
Thread 29 says: 56 iterations
Thread 28 says: 80 iterations
Thread 27 says: 76 iterations
Thread 26 says: 70 iterations
Thread 25 says: 56 iterations
Thread 24 says: 77 iterations
Thread 23 says: 61 iterations
Thread 22 says: 63 iterations
Thread 21 says: 122 iterations
Thread 20 says: 71 iterations
Thread 19 says: 129 iterations
Thread 18 says: 72 iterations
Thread 17 says: 72 iterations
Thread 16 says: 69 iterations
Thread 15 says: 90 iterations
Thread 14 says: 92 iterations
Thread 13 says: 84 iterations
Thread 12 says: 81 iterations
Thread 11 says: 69 iterations
Thread 10 says: 78 iterations
Thread 9 says: 88 iterations
Thread 8 says: 71 iterations
Thread 7 says: 84 iterations
Thread 6 says: 95 iterations
Thread 5 says: 65 iterations
Thread 4 says: 74 iterations
Thread 3 says: 76 iterations
Thread 2 says: 72 iterations
Thread 1 says: 89 iterations
0 errors out of 1 tests
