config,test,n,median,mean,sd
orig,h264_libx264,5,12.85,12.83,0.03391164991562627
orig,copy_passthrough,5,0.14,0.138,0.004472135954999583
orig,mjpeg,5,3.56,3.548,0.03633180424916995
orig,h265_libx265,5,28.06,28.11,0.10630145812734665
tsan,h264_libx264,5,18.09,18.14,0.12569805089976507
tsan,copy_passthrough,5,0.8,0.806,0.008944271909999123
tsan,mjpeg,5,17.53,17.552,0.031937438845342614
tsan,h265_libx265,5,37.82,37.864,0.09316651759081739
tsan-dom_peeling-ea-lo-st-swmr,h264_libx264,5,17.91,17.945999999999998,0.11781341180018502
tsan-dom_peeling-ea-lo-st-swmr,copy_passthrough,5,0.8,0.802,0.01303840481040527
tsan-dom_peeling-ea-lo-st-swmr,mjpeg,5,13.8,13.846,0.10667708282475669
tsan-dom_peeling-ea-lo-st-swmr,h265_libx265,5,37.79,37.804,0.15820872289478788
tsan-stmt,h264_libx264,5,18.07,18.096,0.10853570840972115
tsan-stmt,copy_passthrough,5,0.51,0.516,0.008944271909999166
tsan-stmt,mjpeg,5,17.85,17.828,0.08700574693662501
tsan-stmt,h265_libx265,5,37.91,37.89,0.16658331248957609
