config,test,n,median,mean,sd
orig,h264_libx264,5,20.07,20.206,0.2935643030070245
orig,copy_passthrough,5,0.13,0.132,0.004472135954999583
orig,mjpeg,5,3.49,3.484,0.07602631123499275
orig,h265_libx265,5,27.37,27.196,0.3136558623714851
tsan,h264_libx264,5,27.01,27.034,0.4745840283869658
tsan,copy_passthrough,5,0.82,0.828,0.019235384061671336
tsan,mjpeg,5,18.63,18.78,0.2772183255125826
tsan,h265_libx265,5,38.3,38.332,0.1713767778901226
tsan-dom_peeling-ea-lo-st-swmr-stmt,h264_libx264,5,26.51,26.666,0.3629462770163102
tsan-dom_peeling-ea-lo-st-swmr-stmt,copy_passthrough,5,0.51,0.516,0.008944271909999166
tsan-dom_peeling-ea-lo-st-swmr-stmt,mjpeg,5,15.32,15.386,0.1507647173578752
tsan-dom_peeling-ea-lo-st-swmr-stmt,h265_libx265,5,38.08,38.308,0.4053023562724511
tsan-stmt,h264_libx264,5,26.55,26.582,0.22664950915455337
tsan-stmt,copy_passthrough,5,0.49,0.5,0.014142135623730963
tsan-stmt,mjpeg,5,18.89,18.924,0.2947541348310485
tsan-stmt,h265_libx265,5,38.33,38.55,0.6231773423352305
