config,test,n,median,mean,sd
tsan-sound,walthread1,5,2772.0,2725.8,111.82218026849593
tsan-sound,walthread2,5,6821.0,6777.4,147.7321901279474
tsan-sound,dynamic_triggers,5,131400.0,134680.0,16162.673046250735
tsan-sound,checkpoint_starvation_1,5,182036,180342,6879.461752201258
tsan-sound,checkpoint_starvation_2,5,766,766,0.0
tsan-sound,stress1,5,114375.0,115443.8,11741.607245177298
tsan-sound,stress2,5,32565.0,32104.6,852.9556260439343
tsan-sound-nomerge,walthread1,5,2794.0,2785.8,29.48219801846531
tsan-sound-nomerge,walthread2,5,6720.0,6709.8,19.43450539633052
tsan-sound-nomerge,dynamic_triggers,5,118800.0,119120.0,12640.094936352338
tsan-sound-nomerge,checkpoint_starvation_1,5,165553,165576.4,7825.518755967556
tsan-sound-nomerge,checkpoint_starvation_2,5,766,766,0.0
tsan-sound-nomerge,stress1,5,113521.0,113909.0,18501.433633640394
tsan-sound-nomerge,stress2,5,31839.0,31235.2,1495.1241420029307
