config,test,n,median,mean,sd
orig,walthread1,5,4908.0,4947.2,82.18089802381087
orig,walthread2,5,16660.0,16629.6,114.54824311179985
orig,dynamic_triggers,5,655600.0,699120.0,106952.94292351193
orig,checkpoint_starvation_1,5,930461,935937.4,45950.53619164851
orig,checkpoint_starvation_2,5,782,782,0.0
orig,stress1,5,363484.0,311770.6,95107.75969551591
orig,stress2,5,175304.0,173500.2,5463.348808194476
tsan,walthread1,5,2696.0,2681.4,25.65735761920935
tsan,walthread2,5,6336.0,6328.2,15.674820573135758
tsan,dynamic_triggers,5,110000.0,109800.0,5649.778756730214
tsan,checkpoint_starvation_1,5,155087,154063.6,5552.2941474673335
tsan,checkpoint_starvation_2,5,766,766,0.0
tsan,stress1,5,68716.0,81710.6,23229.125452758657
tsan,stress2,5,26834.0,26948.8,1001.7088898477441
tsan-dom_peeling-ea-lo-st-swmr,walthread1,5,2694.0,2699.8,27.114571728131722
tsan-dom_peeling-ea-lo-st-swmr,walthread2,5,6311.0,6319.4,26.53865105840913
tsan-dom_peeling-ea-lo-st-swmr,dynamic_triggers,5,125400.0,122760.0,14784.721843849482
tsan-dom_peeling-ea-lo-st-swmr,checkpoint_starvation_1,5,157890,157365.2,2846.7426473076207
tsan-dom_peeling-ea-lo-st-swmr,checkpoint_starvation_2,5,766,766,0.0
tsan-dom_peeling-ea-lo-st-swmr,stress1,5,78241.0,89084.4,20383.75569663255
tsan-dom_peeling-ea-lo-st-swmr,stress2,5,26989.0,27065.4,1029.232383866734
tsan-stmt,walthread1,5,2610.0,2590.2,95.6540642105708
tsan-stmt,walthread2,5,6179.0,6150.2,58.58071354976824
tsan-stmt,dynamic_triggers,5,113800.0,114280.0,17603.181530621107
tsan-stmt,checkpoint_starvation_1,5,151421,150389,4046.6710392617783
tsan-stmt,checkpoint_starvation_2,5,766,766,0.0
tsan-stmt,stress1,5,93585.0,96853.6,22832.869756121327
tsan-stmt,stress2,5,26268.0,25918.4,1144.5712297624818
