config,test,n,median,mean,sd
tsan-sound,PING_INLINE,5,463170.34,461116.744,26553.31024670616
tsan-sound,PING_MBULK,5,723913.19,718630.4,30928.426853128178
tsan-sound,SET,5,307451.75,307501.774,9247.311802203927
tsan-sound,GET,5,392705.16,394042.306,11197.732825558052
tsan-sound,INCR,5,389582.53,388800.48,6369.610621713845
tsan-sound,RPUSH,5,243595.81,246068.93,5276.553427119833
tsan-sound,LPOP,5,223115.06,223251.746,4178.749548588669
tsan-sound,RPOP,5,471464.66,465748.544,16835.765845907623
tsan-sound,SADD,5,331164.53,334581.468,15004.59428624012
tsan-sound,HSET,5,264319.16,261490.49,6414.297468834765
tsan-sound,SPOP,5,489216.59,490463.51399999997,10882.705822086713
tsan-sound,ZADD,5,272824.66,271121.066,5765.193003484794
tsan-sound,ZPOPMIN,5,494781.38,496522.264,19526.084996938855
tsan-sound,LPUSH,5,207777.36,208009.252,2972.8955433667725
tsan-sound,LRANGE_100,5,24645.21,24100.98,1206.5224559451847
tsan-sound,LRANGE_300,5,8332.66,8226.072,193.95913878959126
tsan-sound,LRANGE_500,5,5058.79,5027.284,102.36877565937782
tsan-sound,LRANGE_600,5,4232.32,4217.908,74.65241904988721
tsan-sound,MSET,5,57684.88,56686.18,3136.0674749676537
tsan-sound-nofe,PING_INLINE,5,566505.06,557941.638,20791.287865235037
tsan-sound-nofe,PING_MBULK,5,871470.38,844514.674,49641.591999494536
tsan-sound-nofe,SET,5,394032.28,391158.93,5077.245386836249
tsan-sound-nofe,GET,5,493074.41,490610.956,19003.55069570631
tsan-sound-nofe,INCR,5,497240.53,478250.218,30863.490611696376
tsan-sound-nofe,RPUSH,5,300525.09,295701.038,12848.707567561809
tsan-sound-nofe,LPOP,5,265652.69,261994.42,14554.185969926313
tsan-sound-nofe,RPOP,5,547890.5,550328.86,4349.622526357883
tsan-sound-nofe,SADD,5,406025.97,407491.77,22039.89713156462
tsan-sound-nofe,HSET,5,327050.66,307397.02400000003,50062.38005360743
tsan-sound-nofe,SPOP,5,583011.69,575474.308,69464.54732971684
tsan-sound-nofe,ZADD,5,322101.75,319245.858,25023.69295175014
tsan-sound-nofe,ZPOPMIN,5,596214.56,603026.512,34252.6622610202
tsan-sound-nofe,LPUSH,5,253920.81,251281.014,5527.508565007379
tsan-sound-nofe,LRANGE_100,5,30526.73,30711.38,843.0703344917316
tsan-sound-nofe,LRANGE_300,5,10651.35,10490.95,285.08992590058364
tsan-sound-nofe,LRANGE_500,5,6441.75,6452.018,53.51517980909705
tsan-sound-nofe,LRANGE_600,5,5342.6,5347.126,99.97640486634846
tsan-sound-nofe,MSET,5,74611.15,73570.866,2479.798813962533
