ts pkg_count pkg_ms core_count core_ms mhz4 mhz60
1789358977.369523578 43218 95229 416 892 800 3099
1789358979.397228426 43218 95229 416 892 796 800
1789358981.423986931 43218 95229 416 892 3370 800
1789358983.451637920 43218 95229 416 892 2472 3100
1789358985.477822101 43219 95232 416 892 1489 3100
1789358987.507299358 43219 95232 416 892 799 800
1789358989.531932008 43219 95232 416 892 800 3100
1789358991.558386742 43219 95232 416 892 829 3100
1789358993.583958636 43219 95232 416 892 980 800
1789358995.610159746 43219 95232 416 892 920 3099
1789358997.632465446 43219 95232 416 892 800 800
1789358999.661887397 43219 95232 416 892 800 3100
1789359001.687573283 43219 95232 416 892 798 800
1789359003.713547984 43219 95232 416 892 993 3100
1789359005.742468921 43219 95232 416 892 759 800
1789359007.771599939 43219 95232 416 892 2485 929
1789359009.798285731 43219 95232 416 892 799 3346
1789359011.823105988 43219 95232 416 892 798 3100
1789359013.847365860 43220 95234 416 892 798 800
1789359015.876561298 43220 95234 416 892 798 800
1789359017.903022725 43220 95234 416 892 798 2900
1789359019.932959358 43220 95234 416 892 795 3100
1789359021.955189019 43220 95234 416 892 795 3100
1789359023.980791365 43220 95234 416 892 799 3099
1789359026.008935282 43220 95234 416 892 3100 3100
1789359028.036390227 43220 95234 416 892 1193 1125
1789359030.063898526 43220 95234 416 892 799 800
1789359032.094202518 43220 95234 416 892 798 800
1789359034.117282805 43220 95234 416 892 853 800
1789359036.142735015 43220 95234 416 892 776 800
1789359038.169559138 43220 95234 416 892 799 800
1789359040.193807982 43220 95234 416 892 3400 800
1789359042.218175392 43220 95234 416 892 816 800
1789359044.242399151 43220 95234 416 892 1508 800
1789359046.270505217 43220 95234 416 892 1316 3278
1789359048.296701934 43220 95234 416 892 799 3404
1789359050.325754344 43220 95234 416 892 800 3100
1789359052.349912655 43220 95234 416 892 2512 800
1789359054.376013853 43220 95234 416 892 798 3100
1789359056.404485337 43220 95234 416 892 800 3100
1789359058.426973436 43220 95234 416 892 1123 3099
1789359060.453104153 43220 95234 416 892 3400 800
1789359062.478606805 43220 95234 416 892 2744 800
1789359064.507850035 43220 95234 416 892 895 3100
1789359066.534270687 43220 95234 416 892 799 800
1789359068.562618640 43220 95234 416 892 1688 800
1789359070.592495077 43220 95234 416 892 1028 800
1789359072.617002304 43220 95234 416 892 800 800
1789359074.647629068 43220 95234 416 892 1033 3400
1789359076.674551066 43220 95234 416 892 884 800
1789359078.701577970 43220 95234 416 892 800 800
1789359080.731137247 43220 95234 416 892 800 3100
1789359082.757430954 43220 95234 416 892 2695 3100
1789359084.785426076 43220 95234 416 892 1898 3100
1789359086.810080543 43220 95234 416 892 898 800
1789359088.836347794 43220 95234 416 892 3100 3400
1789359090.858836359 43221 95237 417 894 1400 800
1789359092.883652843 43221 95237 417 894 1197 800
1789359094.909886794 43221 95237 417 894 3099 3100
1789359096.934626211 43221 95237 417 894 2777 2899
1789359098.960770024 43221 95237 417 894 799 3100
1789359100.987851965 43221 95237 417 894 2085 800
1789359103.013729664 43221 95237 417 894 1334 800
1789359105.036828245 43221 95237 417 894 1408 3100
1789359107.065814130 43221 95237 417 894 1332 3099
1789359109.093840733 43221 95237 417 894 1872 3100
1789359111.120004890 43222 95239 417 894 1394 800
1789359113.143863245 43223 95242 417 894 1241 800
1789359115.171209509 43223 95242 417 894 1068 800
1789359117.198685185 43223 95242 417 894 2800 800
1789359119.225713055 43223 95242 417 894 2164 1286
1789359121.251484331 43223 95242 417 894 1400 1551
1789359123.277566927 43223 95242 417 894 1742 800
1789359125.305558340 43223 95242 417 894 851 800
1789359127.333424736 43223 95242 417 894 1300 800
1789359129.360794197 43223 95242 417 894 2492 800
1789359131.385903986 43223 95242 417 894 1968 800
1789359133.411114801 43223 95242 417 894 1569 1119
1789359135.438486035 43223 95242 417 894 1000 800
1789359137.462763016 43223 95242 417 894 2401 800
1789359139.491598325 43223 95242 417 894 1326 805
1789359141.516691929 43223 95242 417 894 3400 800
1789359143.536239968 43223 95242 417 894 1735 3100
1789359145.565840059 43223 95242 417 894 2020 2947
1789359147.589741002 43223 95242 417 894 2311 800
1789359149.616957656 43223 95242 417 894 800 3100
1789359151.645708096 43223 95242 417 894 836 3100
1789359153.675939970 43223 95242 417 894 800 3100
1789359155.704965784 43223 95242 417 894 800 3100
1789359157.735641215 43223 95242 417 894 983 3100
1789359159.763527517 43223 95242 417 894 798 3099
1789359161.793227171 43223 95242 417 894 843 3400
1789359163.819210324 43223 95242 417 894 800 3159
1789359165.844830726 43223 95242 417 894 1646 3100
1789359167.872507213 43223 95242 417 894 1407 800
1789359169.899773612 43223 95242 417 894 1788 2880
1789359171.926566625 43223 95242 417 894 3400 797
