epoch,n_busy,busy_median_khz,busy_p90_khz,all_median_khz,loadavg
1788864148,35,2900000,2900000,2899970,26.93
1788864179,38,2900000,3023435,2900000,25.39
1788864209,23,2900000,2900029,800000,24.19
1788864239,25,2900000,3069596,1261828,27.17
1788864269,25,2900000,2958590,1000058,24.77
1788864299,28,2900000,2900029,2743450,23.37
1788864329,22,2894933,3052075,800000,21.38
1788864359,32,2897568,2900029,2867958,17.37
1788864389,37,2899122,2900000,2892632,14.83
1788864419,31,2900000,3097035,2895678,11.69
1788864449,35,2900000,3080000,2896610,11.28
1788864479,32,2898715,2900000,2889472,11.00
1788864509,42,2899892,2900000,2898715,12.35
1788864539,26,2900000,3076222,1403373,9.99
1788864570,26,2900000,2977741,2697124,9.21
1788864600,25,2900000,3095345,2674124,9.74
1788864630,40,2899971,2900029,2897692,8.69
1788864660,22,2897478,3002344,800000,10.01
1788864690,28,2887329,3092849,1322342,11.99
1788864720,12,1786891,3067646,800000,10.23
1788864750,29,2889297,3043568,2500000,9.75
1788864780,35,2839603,2970313,2651523,11.83
1788864810,30,2875630,2900959,2561634,11.21
1788864840,27,2869015,3089607,2530097,11.99
1788864870,32,2899970,3062377,2818763,11.81
1788864900,16,2845936,3216087,800000,10.63
1788864931,12,2978018,3100000,800000,8.51
1788864961,34,2866345,2900000,2793248,13.99
1788864991,25,2865214,2900000,1099191,14.31
1788865021,25,2876806,2924950,2498947,13.85
1788865051,38,2823816,2991160,2798935,12.95
1788865081,27,2821683,3090342,2538535,12.66
1788865111,31,2869755,2900041,2782626,13.47
1788865141,21,2882729,2900000,800000,12.94
1788865171,35,2900000,2900032,2889479,14.18
1788865201,27,2899145,3095555,2194770,16.32
1788865231,27,2891690,2943880,2274382,16.43
1788865262,25,2900000,2965274,1175688,19.29
1788865292,24,2882159,2900000,880065,16.63
1788865322,29,2851575,2900000,2811364,15.79
1788865352,25,2899191,3055665,1094845,12.91
1788865382,30,2882745,3091442,2801362,12.17
1788865412,45,2899962,2900029,2899436,12.78
1788865442,33,2897560,2900000,2886179,11.14
1788865472,27,2899974,2902436,2755817,12.45
1788865502,43,2900000,2920858,2899970,9.81
1788865532,9,2997619,3336287,800000,10.33
1788865562,25,2897655,3090946,2089905,8.05
1788865592,45,2898980,2900064,2898154,9.73
1788865623,36,2900000,3058598,2900000,10.08
1788865653,28,2895427,2900000,1319052,10.29
1788865683,27,2899953,2900029,2525918,10.60
1788865713,39,2900000,3072185,2900000,12.28
1788865743,9,2848582,3059488,800000,10.05
1788865773,36,2900000,3069152,2741183,10.46
1788865803,26,2883486,3100000,2159913,9.40
1788865833,30,2895553,3096600,2490692,8.45
1788865863,27,2875034,2907435,1264804,7.90
1788865893,24,2785154,2900000,898442,8.76
1788865923,22,2899970,2900032,800000,8.50
1788865953,13,2634545,3091989,800000,10.37
1788865984,26,2859909,2900000,1222322,12.00
1788866014,25,2888122,3100000,1466548,18.51
1788866044,43,2896165,3099968,2890949,17.29
1788866074,33,2900000,2900025,2895702,15.35
1788866104,24,2900000,2900032,800000,18.79
1788866134,24,2892433,2900029,800000,16.06
1788866164,6,2000000,2900000,800000,13.41
1788866194,29,2895805,2900000,2874672,14.87
1788866224,26,2900031,3095532,2881024,15.52
1788866254,28,2900000,3100000,2245520,21.14
1788866284,31,2900000,3100000,2620581,19.52
1788866314,27,2900000,3099964,2853075,17.19
1788866345,30,2886462,2900035,2796023,22.19
1788866375,11,2778477,3045698,800000,18.13
1788866405,27,2897727,2900000,2814883,16.56
1788866435,40,2897870,2900024,2893980,20.35
1788866465,38,2899631,2900040,2892827,16.89
1788866495,31,2900000,2900038,2885551,18.63
1788866525,38,2899970,2900000,2894869,16.98
1788866555,47,2897120,2900037,2896952,14.13
1788866585,36,2897725,3092902,2893389,10.48
1788866615,26,2900000,2964803,1794528,10.39
1788866645,23,2899936,3100000,800000,9.97
1788866675,45,2898091,2900051,2897481,9.26
1788866705,27,2897086,2900000,2710447,9.85
1788866735,31,2898307,2947360,2004504,9.64
1788866766,12,2271536,2619581,800000,9.02
1788866796,23,2857787,2900000,800016,9.32
1788866826,21,2900000,3086629,800000,9.75
1788866856,33,2899952,2900884,2837177,11.16
1788866886,44,2899970,2990782,2899498,11.56
1788866916,38,2899902,2906546,2888388,15.43
1788866946,27,2894797,2900000,1544621,21.98
1788866976,25,2883564,3018966,1476676,17.17
1788867006,46,2900000,2959806,2899970,17.19
1788867036,38,2899970,2900032,2898836,20.22
1788867066,45,2883814,2900000,2875230,22.92
1788867096,28,2853465,2900000,2797149,20.54
1788867126,26,2881445,2909502,1174623,17.96
1788867156,36,2898369,2900173,2891853,17.23
1788867187,13,2688802,2889895,800000,14.47
1788867217,47,2893719,2900030,2893424,13.81
1788867247,32,2891604,2900000,2840899,17.08
1788867277,32,2899968,2900000,2891188,16.66
1788867307,43,2894764,2900000,2888570,18.18
1788867337,36,2899960,2900022,2876973,19.63
1788867367,26,2899969,2900000,2159722,24.55
1788867397,12,2474924,3072874,800000,20.06
1788867427,35,2898040,2900000,2889685,16.93
1788867457,37,2899481,2900029,2894233,14.98
1788867487,26,2897351,2900035,2390800,14.42
1788867517,42,2900000,3099937,2900000,16.84
1788867547,30,2898581,2900044,2887931,15.20
1788867578,41,2900000,2900031,2897801,13.57
1788867608,34,2898036,2900000,2882549,11.68
1788867638,31,2897105,2900000,2890334,13.99
1788867668,32,2900000,3100000,2898801,21.21
1788867698,27,2898640,2990549,2885977,18.77
1788867728,48,2600026,2700054,2600026,45.01
1788867758,48,2536087,2600026,2536087,78.05
1788867788,10,2649445,3155243,800000,66.66
1788867818,33,2891191,2900000,2785940,43.50
1788867848,18,2877903,2900000,800000,29.47
1788867878,23,2897486,2900000,844152,21.58
1788867909,36,2896923,2900000,2863386,17.50
1788867939,19,2246060,3072745,800000,14.31
1788867969,27,2896964,2939978,1798741,11.87
1788867999,10,1802767,2888361,800000,9.41
1788868029,42,2818745,2900000,2808682,9.54
1788868059,30,2890592,2900095,2786906,12.17
1788868089,30,2870035,3086047,2812106,14.33
1788868119,27,2847227,2898811,2490322,14.85
1788868149,38,2897891,2900000,2879321,14.81
1788868179,36,2888476,3087698,2836252,16.50
1788868209,22,2781052,2900000,800000,20.07
1788868239,24,2900000,3099966,800000,19.58
1788868270,26,2900000,3100000,2611137,18.04
1788868300,27,2899968,2900000,2857408,16.84
1788868330,34,2872499,2914174,2830774,16.21
1788868360,32,2896135,2900769,2860586,18.12
1788868390,43,2867757,2900000,2864326,18.26
1788868420,21,2851563,3095411,800287,16.88
1788868450,39,2899941,2900000,2888493,16.03
1788868480,34,2899961,2900000,2895418,25.25
1788868510,35,2899988,2900000,2896354,25.96
1788868540,27,2899896,2900029,2866561,27.27
1788868570,33,2899944,2900000,2890397,27.25
1788868600,30,2899970,2900081,2892475,21.74
1788868630,24,2899970,3012568,800000,15.94
1788868660,42,2900000,2900029,2899101,15.66
1788868691,38,2900000,2908278,2899897,16.72
1788868721,41,2899970,2904289,2898025,15.56
1788868751,32,2897765,2900000,2892528,15.39
1788868781,22,2900000,3095784,800000,14.40
1788868811,16,2238888,2900000,800000,13.00
1788868841,23,2886563,2972919,800000,13.28
1788868871,39,2899970,3070454,2894117,12.71
1788868901,36,2899751,2900029,2778426,11.34
1788868931,35,2878794,2900000,2840886,10.29
1788868961,30,2895109,2900000,2743502,10.09
1788868991,46,2894128,2900000,2888647,14.85
1788869021,17,2821380,3042217,800032,12.38
1788869051,29,2899968,2980964,1784898,13.12
1788869082,35,2899970,2900029,2899968,14.19
1788869112,26,2900000,2900031,1113720,21.57
1788869142,25,2900000,2900029,1139756,26.92
1788869172,31,2895887,2900000,2862617,24.26
1788869202,31,2900000,2900030,2899968,23.78
1788869232,38,2833682,2900000,2769676,23.55
1788869262,36,2801075,2900000,2791786,19.98
1788869292,33,2837672,2900000,2784656,19.41
1788869322,33,2802777,2900000,2776914,20.68
1788869352,33,2900000,3068881,2826502,18.35
1788869382,17,2810280,2859640,800000,16.20
1788869412,36,2810832,2900000,2777267,15.15
1788869442,18,2864043,3095829,800000,13.99
1788869472,39,2900000,2910981,2899975,13.07
1788869503,39,2900000,2913260,2897867,12.50
1788869533,44,2897337,2900000,2897117,14.17
1788869563,32,2899970,2900046,2894822,21.46
1788869593,26,2899970,2900029,2840739,17.91
1788869623,39,2897006,2900000,2886251,15.61
1788869653,9,2688655,3026765,800000,19.40
1788869683,27,2900000,2900029,2844134,15.65
1788869713,30,2900000,3100000,2489629,14.67
1788869743,30,2898837,2900030,2477477,14.77
1788869773,32,2898403,2900000,2878025,14.00
1788869803,30,2899110,3071101,2871392,12.44
1788869833,21,2900000,2900000,800000,13.04
1788869864,28,2824807,2900029,1162537,10.61
1788869894,28,2900000,2900105,1737720,9.80
1788869924,40,2894872,2900029,2891761,9.45
1788869954,26,2886073,3091837,1063909,11.68
1788869984,23,2900000,3054871,947415,11.00
1788870014,29,3063910,3100000,2900000,10.76
1788870044,18,2830085,3362046,800000,18.41
1788870074,34,2900000,3100000,2891212,14.91
1788870104,28,2900000,2900000,2700027,15.70
1788870134,25,2900000,2951299,1471603,16.07
1788870164,32,2899968,2900000,2877664,16.75
1788870194,34,2900000,2904747,2891015,16.00
1788870224,27,2900000,3005018,2200000,16.46
1788870254,28,2899971,2900029,2189583,14.56
1788870285,29,2874334,2908734,2459027,11.97
1788870315,27,2897904,2900000,2403906,12.93
1788870345,34,2896461,2902680,2874231,16.31
1788870375,41,2900470,3099928,2900000,17.73
1788870405,45,2899877,2900000,2897660,18.28
1788870435,32,2891618,2943964,2804829,20.70
1788870465,15,2800000,3101074,800000,22.13
1788870495,35,2900000,2900078,2891218,21.24
1788870525,34,2899342,2900000,2892225,25.67
1788870555,27,2898434,2900000,2728900,21.02
1788870585,22,2895832,2900039,800000,18.53
1788870615,32,2897559,2900029,2886384,16.56
1788870645,39,2900000,3093316,2899973,14.89
1788870676,14,2618412,3097192,800000,12.21
1788870706,30,2900000,2900469,2881620,11.17
1788870736,28,2899978,2900138,2887994,11.87
1788870766,41,2899969,3086966,2897969,13.88
1788870796,29,2897000,2900043,2887239,20.15
1788870826,33,2900000,2949851,2891535,16.99
1788870856,34,2900000,2900033,2897746,14.29
1788870886,24,2864651,2900058,983210,11.67
1788870916,42,2897794,2900029,2889231,12.71
1788870946,24,2881450,2900029,800000,13.76
1788870976,41,2888874,2900000,2875137,12.80
1788871006,32,2900000,3100000,2813399,13.32
1788871036,30,2900000,2914786,2800327,12.94
1788871067,24,2703868,3066020,800298,11.63
1788871097,28,2900000,3046633,2675353,10.20
1788871127,23,2896470,2992580,800000,17.44
1788871157,27,2836542,2900000,1382167,18.09
1788871187,39,2900000,3054865,2899970,16.47
1788871217,28,2895848,2900031,2871806,21.68
1788871247,24,2874270,3063437,800000,22.46
1788871277,33,2546037,2900000,1769927,19.38
1788871307,40,2900000,3100000,2898043,14.79
1788871337,27,2900382,3100000,2298289,15.77
1788871367,45,2900000,2900031,2900000,16.41
1788871397,23,2900000,3093533,800000,14.59
1788871427,37,2892328,2900104,2835202,16.08
1788871457,29,2900000,3009249,2677111,16.96
1788871488,17,2900029,3200738,800000,17.62
1788871518,34,2899964,3065608,2895339,12.92
1788871548,36,2896540,2927600,2890523,12.49
1788871578,31,2897538,2900029,2853090,12.52
1788871608,22,2881392,2900000,862996,11.59
1788871638,28,2898961,2900000,2734011,12.99
1788871668,22,2900000,3091812,800000,10.33
1788871698,7,1700000,3108985,800000,8.88
1788871728,27,2900000,3104675,2866214,8.39
1788871758,21,2900000,3100000,800000,7.84
1788871788,20,2897439,3100032,800000,8.06
1788871819,28,2899978,2901674,1571725,8.01
1788871849,25,3071818,3095131,1171489,7.54
1788871879,19,2899950,2964465,800000,6.44
1788871909,23,2897518,3097865,800608,5.13
1788871939,24,2897886,3100000,800000,5.34
1788871969,21,2900000,3079152,800000,6.17
1788871999,14,2709301,3005969,800000,7.77
1788872029,20,2900000,3097763,800000,7.37
1788872059,21,2804880,2998586,800000,6.88
1788872090,7,2181311,3100031,800000,7.60
1788872120,22,2900000,2973905,800000,6.55
1788872150,23,2900000,2900029,800096,11.24
1788872180,25,2897985,2900030,1678424,13.48
1788872210,23,2900000,3100000,800000,14.46
1788872240,24,2900000,3100000,800000,15.21
1788872270,24,2900000,3100000,800000,14.78
1788872300,9,2750642,2957570,800000,13.13
1788872330,25,2900000,3054342,1294980,10.01
1788872361,26,2895538,2900000,1600000,11.25
1788872391,25,2900000,2900030,1195332,13.95
1788872421,21,2900000,3100000,800000,14.68
1788872451,22,2900000,2900000,800000,14.69
1788872481,18,2900000,3048166,800000,13.04
1788872511,2,2362248,2362248,800000,12.30
1788872541,30,2899933,3088981,2891486,9.99
1788872571,27,2900000,3093198,2611384,10.31
1788872601,25,2900000,3085877,2433529,10.22
1788872631,24,2894068,2901014,800000,9.69
1788872662,31,2899971,2900148,2894463,9.36
1788872692,27,2900000,3100000,2376686,9.42
1788872722,22,2900000,3095609,800000,7.18
1788872752,18,3084177,3099959,800000,7.33
1788872782,23,2900000,2914254,800000,8.74
1788872812,22,3095481,3100000,800000,8.10
1788872842,25,2900000,3099961,1042531,8.30
1788872872,24,2900000,3097024,884411,8.23
1788872902,8,1690529,3400000,800000,8.93
1788872933,23,2891125,2917512,800000,8.84
1788872963,13,2900000,2900000,800000,9.74
1788872993,28,2900000,2900029,2600000,9.70
1788873023,20,2900000,3100000,800000,8.08
1788873053,19,2847421,2900000,800000,8.53
