ffmpeg orig run1 rc=0 78.0s outside_busy=0.0402 inside_busy=0.0994 foreign_cpu_share=0.0053
ffmpeg tsan run1 rc=0 119.2s outside_busy=0.0361 inside_busy=0.1204 foreign_cpu_share=0.0042
ffmpeg tsan-sound run1 rc=0 119.3s outside_busy=0.0363 inside_busy=0.1205 foreign_cpu_share=0.0042
ffmpeg tsan-dom-ea-lo-st-swmr run1 rc=0 118.4s outside_busy=0.0362 inside_busy=0.1199 foreign_cpu_share=0.0043
ffmpeg tsan-dom_peeling-ea-lo-st-swmr run1 rc=0 118.8s outside_busy=0.0358 inside_busy=0.1212 foreign_cpu_share=0.0041
ffmpeg tsan-st run1 rc=0 119.1s outside_busy=0.0365 inside_busy=0.1216 foreign_cpu_share=0.0044
ffmpeg tsan-stmt run1 rc=0 119.5s outside_busy=0.0344 inside_busy=0.124 foreign_cpu_share=0.0045
ffmpeg tsan-swmr run1 rc=0 119.3s outside_busy=0.0356 inside_busy=0.1218 foreign_cpu_share=0.0042
ffmpeg tsan-lo run1 rc=0 119.3s outside_busy=0.0361 inside_busy=0.1217 foreign_cpu_share=0.0043
ffmpeg tsan-ea run1 rc=0 118.9s outside_busy=0.0358 inside_busy=0.1216 foreign_cpu_share=0.0044
ffmpeg tsan-dom run1 rc=0 119.0s outside_busy=0.0354 inside_busy=0.122 foreign_cpu_share=0.0043
ffmpeg tsan-dom_peeling run1 rc=0 119.4s outside_busy=0.0352 inside_busy=0.1227 foreign_cpu_share=0.0044
ffmpeg orig run2 rc=0 77.8s outside_busy=0.0406 inside_busy=0.0976 foreign_cpu_share=0.0042
ffmpeg tsan run2 rc=0 118.8s outside_busy=0.035 inside_busy=0.122 foreign_cpu_share=0.0043
ffmpeg tsan-sound run2 rc=0 118.2s outside_busy=0.0349 inside_busy=0.1222 foreign_cpu_share=0.0042
ffmpeg tsan-dom-ea-lo-st-swmr run2 rc=0 118.3s outside_busy=0.0366 inside_busy=0.1215 foreign_cpu_share=0.0049
ffmpeg tsan-dom_peeling-ea-lo-st-swmr run2 rc=0 118.2s outside_busy=0.0364 inside_busy=0.1208 foreign_cpu_share=0.0039
ffmpeg tsan-st run2 rc=0 118.8s outside_busy=0.0359 inside_busy=0.1216 foreign_cpu_share=0.0042
ffmpeg tsan-stmt run2 rc=0 118.9s outside_busy=0.0366 inside_busy=0.1223 foreign_cpu_share=0.0047
