config,test,n,median,mean,sd
orig,h264_libx264,5,34.45,34.496,0.15257784898208387
orig,copy_passthrough,5,0.12,0.124,0.005477225575051666
orig,mjpeg,5,3.53,3.556,0.057271284253105376
orig,h265_libx265,5,39.06,39.102,0.0804363102087601
tsan,h264_libx264,5,42.49,42.582,0.23435016535091036
tsan,copy_passthrough,5,0.69,0.6839999999999999,0.008944271909999111
tsan,mjpeg,5,23.53,23.526,0.20452383724153006
tsan,h265_libx265,5,51.71,51.71,0.10295630140987022
tsan-dom,h264_libx264,5,42.45,42.524,0.15192103211866403
tsan-dom,copy_passthrough,5,0.69,0.69,0.007071067811865442
tsan-dom,mjpeg,5,23.22,23.262,0.16513630733427512
tsan-dom,h265_libx265,5,51.71,51.674,0.09838699100999175
tsan-dom-ea-lo-st-swmr,h264_libx264,5,42.36,42.4,0.20506096654410044
tsan-dom-ea-lo-st-swmr,copy_passthrough,5,0.7,0.696,0.005477225575051666
tsan-dom-ea-lo-st-swmr,mjpeg,5,23.24,23.232,0.037682887362832644
tsan-dom-ea-lo-st-swmr,h265_libx265,5,51.63,51.638,0.14202112518917703
tsan-dom_peeling,h264_libx264,5,42.41,42.504,0.24551985663078157
tsan-dom_peeling,copy_passthrough,5,0.68,0.686,0.008944271909999111
tsan-dom_peeling,mjpeg,5,23.27,23.352,0.2516346558008258
tsan-dom_peeling,h265_libx265,5,51.67,51.67,0.06082762530298265
tsan-dom_peeling-ea-lo-st-swmr,h264_libx264,5,42.37,42.464,0.21524404753674523
tsan-dom_peeling-ea-lo-st-swmr,copy_passthrough,5,0.69,0.69,0.007071067811865442
tsan-dom_peeling-ea-lo-st-swmr,mjpeg,5,23.2,23.26,0.16477257053284103
tsan-dom_peeling-ea-lo-st-swmr,h265_libx265,5,51.68,51.642,0.13274034804835863
tsan-ea,h264_libx264,5,42.47,42.42,0.09669539802906717
tsan-ea,copy_passthrough,5,0.68,0.682,0.004472135954999534
tsan-ea,mjpeg,5,23.69,23.682,0.22049943310584755
tsan-ea,h265_libx265,5,51.63,51.618,0.12153188881935385
tsan-lo,h264_libx264,5,42.44,42.49,0.15953056133543983
tsan-lo,copy_passthrough,5,0.71,0.702,0.013038404810405262
tsan-lo,mjpeg,5,23.57,23.624,0.14152738250953475
tsan-lo,h265_libx265,5,51.66,51.706,0.09099450532861936
tsan-sound,h264_libx264,5,42.37,42.486000000000004,0.22567675999092163
tsan-sound,copy_passthrough,5,0.69,0.688,0.004472135954999534
tsan-sound,mjpeg,5,23.75,23.612000000000002,0.2798571063953889
tsan-sound,h265_libx265,5,51.59,51.592,0.07981227975693829
tsan-st,h264_libx264,5,42.47,42.522,0.1344247001112524
tsan-st,copy_passthrough,5,0.7,0.7,0.007071067811865481
tsan-st,mjpeg,5,23.52,23.454,0.12177848742696774
tsan-st,h265_libx265,5,51.74,51.732,0.10568822072492218
tsan-stmt,h264_libx264,5,42.45,42.494,0.2057425575810716
tsan-stmt,copy_passthrough,5,0.44,0.438,0.008366600265340763
tsan-stmt,mjpeg,5,24.02,24.112,0.29861346252304205
tsan-stmt,h265_libx265,5,51.75,51.752,0.019235384061672134
tsan-swmr,h264_libx264,5,42.5,42.518,0.17669182210843665
tsan-swmr,copy_passthrough,5,0.7,0.692,0.01095445115010327
tsan-swmr,mjpeg,5,23.68,23.668,0.19511535049810982
tsan-swmr,h265_libx265,5,51.83,51.778,0.20191582404556563
