config,test,n,median,mean,sd
orig,ops_sec,5,4700142.6,4683324.102,131466.23750157273
orig,_latency_ms,5,1.71766,1.719798,0.046601407382181034
tsan,ops_sec,5,1662254.12,1640603.198,40151.82066240922
tsan,_latency_ms,5,4.92838,4.9840539999999995,0.11722122260921891
tsan-dom,ops_sec,5,1661942.74,1625754.068,67610.51168370986
tsan-dom,_latency_ms,5,4.92301,5.044688,0.24987155314280973
tsan-dom-ea-lo-st-swmr,ops_sec,5,1659693.22,1636765.53,55812.0931814799
tsan-dom-ea-lo-st-swmr,_latency_ms,5,4.9257,4.973882,0.1399737201048824
tsan-dom_peeling,ops_sec,5,1597564.29,1600521.61,28447.497741406845
tsan-dom_peeling,_latency_ms,5,5.09481,5.0908180000000005,0.10338758445770953
tsan-dom_peeling-ea-lo-st-swmr,ops_sec,5,1616158.62,1620385.672,31409.446911805415
tsan-dom_peeling-ea-lo-st-swmr,_latency_ms,5,5.05642,5.05237,0.07687507300809564
tsan-dom_peeling-ea-lo-st-swmr-wp,ops_sec,5,1638210.68,1635482.598,60416.28759660981
tsan-dom_peeling-ea-lo-st-swmr-wp,_latency_ms,5,4.98616,5.00627,0.17760638952470165
tsan-ea,ops_sec,5,1590375.5,1615191.274,54099.36176038572
tsan-ea,_latency_ms,5,5.15319,5.058064,0.16850485016758424
tsan-lo,ops_sec,5,1607201.75,1626271.922,49974.79242720949
tsan-lo,_latency_ms,5,5.05379,5.015088,0.14241324804947048
tsan-sound,ops_sec,5,1608277.11,1603450.448,21130.677890055216
tsan-sound,_latency_ms,5,5.09294,5.091758,0.05896869440643921
tsan-sound-tfn,ops_sec,5,1616525.84,1633290.8460000001,43012.657951020374
tsan-sound-tfn,_latency_ms,5,5.07704,5.015988,0.1397104544048153
tsan-sound-tfn-wp,ops_sec,5,1596364.55,1613912.286,45096.99326579909
tsan-sound-tfn-wp,_latency_ms,5,5.11127,5.057146,0.1275758896892356
tsan-sound-wp,ops_sec,5,1610688.26,1626719.368,40971.11390555452
tsan-sound-wp,_latency_ms,5,5.04406,5.0068340000000005,0.1140920016039688
tsan-st,ops_sec,5,1649209.28,1650112.858,58698.22794929131
tsan-st,_latency_ms,5,4.9689,4.932298,0.13589371975922943
tsan-stmt,ops_sec,5,1618813.78,1629824.642,57652.766605241704
tsan-stmt,_latency_ms,5,5.05821,5.005458,0.12940153774202226
tsan-swmr,ops_sec,5,1650227.32,1657085.786,15206.488168028089
tsan-swmr,_latency_ms,5,4.93286,4.94192,0.05810376751984335
