config,test,n,median,mean,sd
orig,oltp_read_only,5,1574336.0,1613948.8,121460.01173719687
orig,oltp_read_write,5,1555076.0,1561584.6,175271.15561266776
orig,oltp_write_only,5,1591376.0,1577138.6,120625.43680667026
orig,select_random_points,5,524477.0,520764.4,24085.70165679215
orig,select_random_ranges,5,1000719.0,1005731.8,107677.31967178604
tsan,oltp_read_only,5,122848.0,126105.6,11813.508742113834
tsan,oltp_read_write,5,123170.0,126057.4,11744.1758672118
tsan,oltp_write_only,5,143300.0,143590.6,5132.999834404829
tsan,select_random_points,5,60299.0,59454.8,3546.747622822915
tsan,select_random_ranges,5,104672.0,104831.2,4129.127595509734
tsan-dom,oltp_read_only,5,123344.0,122896.0,10872.35613839061
tsan-dom,oltp_read_write,5,124216.0,127364.0,5981.58118727816
tsan-dom,oltp_write_only,5,147260.0,146091.8,3163.1217491585744
tsan-dom,select_random_points,5,58867.0,57660.4,3065.795622672849
tsan-dom,select_random_ranges,5,107594.0,107713.4,2897.2821402134796
tsan-dom-ea-lo-st-swmr,oltp_read_only,5,133584.0,131833.6,10239.247472348738
tsan-dom-ea-lo-st-swmr,oltp_read_write,5,126566.0,126251.6,6349.231630677841
tsan-dom-ea-lo-st-swmr,oltp_write_only,5,145755.0,145344.0,5073.715995205092
tsan-dom-ea-lo-st-swmr,select_random_points,5,58615.0,57686.0,2661.0852109618736
tsan-dom-ea-lo-st-swmr,select_random_ranges,5,105419.0,106355.8,8159.472574866589
tsan-dom_peeling,oltp_read_only,5,123296.0,126515.2,9729.601184015715
tsan-dom_peeling,oltp_read_write,5,125391.0,127425.6,6139.238291514673
tsan-dom_peeling,oltp_write_only,5,143867.0,143690.0,3776.0710401156384
tsan-dom_peeling,select_random_points,5,56373.0,55854.6,3338.210718334
tsan-dom_peeling,select_random_ranges,5,108606.0,106794.0,6147.484241541413
tsan-dom_peeling-ea-lo-st-swmr,oltp_read_only,5,124144.0,129171.2,11710.717962618688
tsan-dom_peeling-ea-lo-st-swmr,oltp_read_write,5,123053.0,128561.2,8572.375820039622
tsan-dom_peeling-ea-lo-st-swmr,oltp_write_only,5,146756.0,148130.6,3926.1428654596866
tsan-dom_peeling-ea-lo-st-swmr,select_random_points,5,60137.0,59975.8,1578.1233158406856
tsan-dom_peeling-ea-lo-st-swmr,select_random_ranges,5,107852.0,108197.4,5864.987195211938
tsan-ea,oltp_read_only,5,135120.0,132784.0,5366.145730410236
tsan-ea,oltp_read_write,5,133329.0,130173.2,7145.706522101226
tsan-ea,oltp_write_only,5,145623.0,144958.2,2014.2567363670403
tsan-ea,select_random_points,5,56740.0,57352.2,1946.8125744405907
tsan-ea,select_random_ranges,5,108918.0,108761.8,3522.5235556345115
tsan-lo,oltp_read_only,5,123584.0,122483.2,11674.74621565711
tsan-lo,oltp_read_write,5,124748.0,123299.2,6634.331443333232
tsan-lo,oltp_write_only,5,142913.0,138932.0,7790.039922875877
tsan-lo,select_random_points,5,55458.0,56301.0,1575.3488502550792
tsan-lo,select_random_ranges,5,104164.0,103440.0,5068.057073475002
tsan-sound,oltp_read_only,5,130064.0,132246.4,9379.184442157004
tsan-sound,oltp_read_write,5,131085.0,129097.2,5361.135579333915
tsan-sound,oltp_write_only,5,146533.0,144843.8,7118.908954327201
tsan-sound,select_random_points,5,55753.0,55952.0,2144.960605698855
tsan-sound,select_random_ranges,5,108903.0,107288.2,8405.963995878164
tsan-st,oltp_read_only,5,120096.0,124636.8,13298.408446126175
tsan-st,oltp_read_write,5,125388.0,127509.2,6875.736156950759
tsan-st,oltp_write_only,5,140542.0,142233.8,5622.515735860594
tsan-st,select_random_points,5,55537.0,53016.6,6942.780768539361
tsan-st,select_random_ranges,5,106840.0,104978.0,3896.5476386154965
tsan-stmt,oltp_read_only,5,120384.0,122227.2,9371.380431932106
tsan-stmt,oltp_read_write,5,121759.0,124334.8,10422.211099378097
tsan-stmt,oltp_write_only,5,144913.0,142868.0,4613.163177257011
tsan-stmt,select_random_points,5,57247.0,56462.2,2427.0504115077624
tsan-stmt,select_random_ranges,5,103396.0,105457.6,5762.348852681517
tsan-swmr,oltp_read_only,5,136256.0,132188.8,11810.977402399854
tsan-swmr,oltp_read_write,5,119863.0,123865.4,13260.342616237334
tsan-swmr,oltp_write_only,5,145284.0,144129.8,4396.271397445795
tsan-swmr,select_random_points,5,56400.0,57037.0,2276.147293124942
tsan-swmr,select_random_ranges,5,105179.0,103110.6,7975.00603761527
