config,test,n,median,mean,sd
orig,PING_INLINE,5,4407260.0,4444175.15,320382.79266798566
orig,PING_MBULK,5,6625483.5,6741826.1,282095.8462006752
orig,SET,5,3345980.0,3268916.0,214380.60140918184
orig,GET,5,3984940.5,3966838.15,54149.82766581533
orig,INCR,5,4275419.0,4316169.3,289486.0089950052
orig,RPUSH,5,3146063.0,3109861.6,133628.46729898162
orig,LPOP,5,2891468.25,2859025.55,93334.322316572
orig,RPOP,5,4674990.5,4783682.2,311170.86499835586
orig,SADD,5,3584702.25,3560895.6,170228.77468301664
orig,HSET,5,2802375.5,2787129.9,35483.32252604736
orig,SPOP,5,5407827.0,5400267.1,167549.39933770278
orig,ZADD,5,2646688.0,2617514.0,64022.36922138035
orig,ZPOPMIN,5,5265516.0,5383362.2,177398.81582419033
orig,LPUSH,5,2834130.5,2840925.85,46787.622238886535
orig,LRANGE_100,5,152048.48,152092.098,2863.2716348471076
orig,LRANGE_300,5,42774.06,42350.83,1381.0306167496806
orig,LRANGE_500,5,25265.0,25226.868,618.7227392944276
orig,LRANGE_600,5,20673.47,20685.184,546.8099244527294
orig,MSET,5,538010.75,538080.438,44231.844995111496
tsan,PING_INLINE,5,545798.19,543968.776,6845.834875830001
tsan,PING_MBULK,5,765453.69,786592.488,50524.7204550037
tsan,SET,5,363007.25,362416.304,11614.426788635761
tsan,GET,5,467936.38,462664.428,25354.86605113839
tsan,INCR,5,466192.0,458967.8,20823.993382594766
tsan,RPUSH,5,289816.94,287385.034,9432.522982843988
tsan,LPOP,5,256986.39,256012.07,6531.649186166534
tsan,RPOP,5,518635.56,517954.956,27143.17351739528
tsan,SADD,5,406686.19,399080.606,20828.165274017294
tsan,HSET,5,315897.69,311404.756,20134.97290275505
tsan,SPOP,5,562998.31,572283.0920000001,40188.143918688496
tsan,ZADD,5,311181.34,312439.73,9478.391743708422
tsan,ZPOPMIN,5,559221.88,571268.3,33330.15446687801
tsan,LPUSH,5,240550.14,241155.022,4441.365148180234
tsan,LRANGE_100,5,29212.28,28645.536,1013.2468953961811
tsan,LRANGE_300,5,9747.19,9746.828,74.37470887338036
tsan,LRANGE_500,5,5962.34,5960.522,27.976914054269706
tsan,LRANGE_600,5,5005.69,4986.19,48.68134550318008
tsan,MSET,5,68578.09,69083.122,1377.476691879034
tsan-dom,PING_INLINE,5,534427.38,529294.92,19063.20447275852
tsan-dom,PING_MBULK,5,836495.0,811665.488,39741.93041135862
tsan-dom,SET,5,365928.31,367955.968,6236.2262095974265
tsan-dom,GET,5,471020.69,475121.168,8471.902147485533
tsan-dom,INCR,5,471020.69,472164.106,6767.289299418922
tsan-dom,RPUSH,5,295466.03,292555.926,5972.512065591004
tsan-dom,LPOP,5,271565.69,270224.776,4201.880503206868
tsan-dom,RPOP,5,537085.94,539332.844,16350.900807370826
tsan-dom,SADD,5,405861.28,409821.95,18558.612262234205
tsan-dom,HSET,5,307924.91,310202.626,6899.162345214817
tsan-dom,SPOP,5,577959.56,577481.174,25177.06242114397
tsan-dom,ZADD,5,308304.47,316913.0,17450.207880829097
tsan-dom,ZPOPMIN,5,559847.81,570134.212,17035.363128601624
tsan-dom,LPUSH,5,250927.52,248867.628,4760.557852517924
tsan-dom,LRANGE_100,5,29706.54,29996.702,1385.4469258943116
tsan-dom,LRANGE_300,5,10001.61,10003.432,53.25963922145888
tsan-dom,LRANGE_500,5,6074.9,6097.974,45.08923463533193
tsan-dom,LRANGE_600,5,5115.94,5124.266,21.132889769267468
tsan-dom,MSET,5,72320.48,71721.152,1112.262272227195
tsan-dom-ea-lo-st-swmr,PING_INLINE,5,529898.31,522897.008,19919.763930465397
tsan-dom-ea-lo-st-swmr,PING_MBULK,5,824771.62,824526.648,42370.655228344905
tsan-dom-ea-lo-st-swmr,SET,5,356031.31,359548.75,9363.584070803216
tsan-dom-ea-lo-st-swmr,GET,5,464029.72,467926.22599999997,10788.490883676912
tsan-dom-ea-lo-st-swmr,INCR,5,465541.19,462376.4,11548.770271048365
tsan-dom-ea-lo-st-swmr,RPUSH,5,287237.44,288063.462,9462.119734122458
tsan-dom-ea-lo-st-swmr,LPOP,5,268111.0,264693.814,6126.838033331719
tsan-dom-ea-lo-st-swmr,RPOP,5,522154.5,527416.232,15688.886107909955
tsan-dom-ea-lo-st-swmr,SADD,5,410026.25,411591.182,10704.668295401301
tsan-dom-ea-lo-st-swmr,HSET,5,319325.91,315629.676,12314.743344880537
tsan-dom-ea-lo-st-swmr,SPOP,5,552733.75,561645.0380000001,28050.612246430013
tsan-dom-ea-lo-st-swmr,ZADD,5,314013.81,313454.262,8146.640494490357
