config,test,n,median,mean,sd
orig,walthread1,5,4745.0,4692.8,236.83053012650205
orig,walthread2,5,16978.0,16875.6,450.2247216668583
orig,dynamic_triggers,5,671600.0,712240.0,162618.90419013405
orig,checkpoint_starvation_1,5,1026531,1021192.2,22938.99035921154
orig,checkpoint_starvation_2,5,782,782,0.0
orig,stress1,5,538897.0,522894.8,72823.88735641623
orig,stress2,5,188347.0,187165.2,1711.6152312946972
tsan,walthread1,5,2839.0,2824.6,31.516662259826944
tsan,walthread2,5,6840.0,6850.4,26.80111937960801
tsan,dynamic_triggers,5,149200.0,147480.0,30406.775560720016
tsan,checkpoint_starvation_1,5,180810,180458.2,1565.0706693309412
tsan,checkpoint_starvation_2,5,766,766,0.0
tsan,stress1,5,102331.0,105602.2,6806.350431765911
tsan,stress2,5,32600.0,32660.2,641.6305011453243
tsan-dom,walthread1,5,2838.0,2817.8,46.28930762065901
tsan-dom,walthread2,5,6846.0,6852.6,78.24512764383479
tsan-dom,dynamic_triggers,5,138400.0,153120.0,31065.92989112027
tsan-dom,checkpoint_starvation_1,5,181489,181779.2,1256.3728347906922
tsan-dom,checkpoint_starvation_2,5,766,766,0.0
tsan-dom,stress1,5,99984.0,116140.8,35486.324241882256
tsan-dom,stress2,5,30633.0,30301.4,2548.637537979852
tsan-dom-ea-lo-st-swmr,walthread1,5,2823.0,2818.4,10.573551910309043
tsan-dom-ea-lo-st-swmr,walthread2,5,6885.0,6892.8,33.67046183229449
tsan-dom-ea-lo-st-swmr,dynamic_triggers,5,152600.0,145400.0,26888.659319497503
tsan-dom-ea-lo-st-swmr,checkpoint_starvation_1,5,182796,183026.6,1501.7319334688198
tsan-dom-ea-lo-st-swmr,checkpoint_starvation_2,5,766,766,0.0
tsan-dom-ea-lo-st-swmr,stress1,5,128553.0,116389.0,19719.595913709793
tsan-dom-ea-lo-st-swmr,stress2,5,32143.0,31599.8,2249.2289123163964
tsan-dom_peeling,walthread1,5,2793.0,2800.0,23.130067012440755
tsan-dom_peeling,walthread2,5,6884.0,6869.6,45.68150610476848
tsan-dom_peeling,dynamic_triggers,5,139200.0,132400.0,10695.79356569675
tsan-dom_peeling,checkpoint_starvation_1,5,182333,182348.8,1869.692808992964
tsan-dom_peeling,checkpoint_starvation_2,5,766,766,0.0
tsan-dom_peeling,stress1,5,97090.0,101217.0,13013.754934683533
tsan-dom_peeling,stress2,5,31678.0,31555.6,615.0945455781574
tsan-dom_peeling-ea-lo-st-swmr,walthread1,5,2799.0,2802.2,15.865055940651454
tsan-dom_peeling-ea-lo-st-swmr,walthread2,5,6853.0,6837.4,38.18769435302425
tsan-dom_peeling-ea-lo-st-swmr,dynamic_triggers,5,126000.0,125880.0,15960.325811210747
tsan-dom_peeling-ea-lo-st-swmr,checkpoint_starvation_1,5,184649,184425.8,2644.4777745331876
tsan-dom_peeling-ea-lo-st-swmr,checkpoint_starvation_2,5,766,766,0.0
tsan-dom_peeling-ea-lo-st-swmr,stress1,5,123820.0,124675.2,26212.28823853423
tsan-dom_peeling-ea-lo-st-swmr,stress2,5,31466.0,31849.0,1167.8961854548545
tsan-dom_peeling-ea-lo-st-swmr-wp,walthread1,5,2830.0,2809.4,70.52871755533344
tsan-dom_peeling-ea-lo-st-swmr-wp,walthread2,5,6884.0,6836.4,102.57338836169936
tsan-dom_peeling-ea-lo-st-swmr-wp,dynamic_triggers,5,135800.0,133080.0,12698.503848879205
tsan-dom_peeling-ea-lo-st-swmr-wp,checkpoint_starvation_1,5,181603,178989.4,7474.039222535563
tsan-dom_peeling-ea-lo-st-swmr-wp,checkpoint_starvation_2,5,766,766,0.0
tsan-dom_peeling-ea-lo-st-swmr-wp,stress1,5,110944.0,112833.0,18793.364507187103
tsan-dom_peeling-ea-lo-st-swmr-wp,stress2,5,31274.0,31419.8,1069.2804590003504
tsan-ea,walthread1,5,2790.0,2796.4,18.836135484753765
tsan-ea,walthread2,5,6898.0,6872.4,60.11489000239458
tsan-ea,dynamic_triggers,5,143600.0,144120.0,6194.513701655684
tsan-ea,checkpoint_starvation_1,5,184084,182973.6,1609.0871014336049
tsan-ea,checkpoint_starvation_2,5,766,766,0.0
tsan-ea,stress1,5,104465.0,114808.0,27462.41259430788
tsan-ea,stress2,5,32109.0,31910.8,1636.4277252601166
tsan-lo,walthread1,5,2791.0,2787.4,15.709869509324385
tsan-lo,walthread2,5,6862.0,6863.2,76.09664907208465
tsan-lo,dynamic_triggers,5,126000.0,131640.0,18627.613910536154
tsan-lo,checkpoint_starvation_1,5,179633,180668.4,1744.5250929694305
tsan-lo,checkpoint_starvation_2,5,766,766,0.0
tsan-lo,stress1,5,102918.0,109718.8,26465.82487284309
tsan-lo,stress2,5,30245.0,30202.4,2287.7403261734057
tsan-sound,walthread1,5,2812.0,2820.0,18.506755523321747
tsan-sound,walthread2,5,6824.0,6856.0,58.63019699779287
tsan-sound,dynamic_triggers,5,125200.0,122240.0,10374.391548423455
tsan-sound,checkpoint_starvation_1,5,184948,183849.6,1606.2603462701804
tsan-sound,checkpoint_starvation_2,5,766,766,0.0
tsan-sound,stress1,5,115585.0,115575.8,15254.264377543743
tsan-sound,stress2,5,32024.0,31346.8,2586.503373282161
tsan-sound-wp,walthread1,5,2802.0,2793.0,25.826343140289914
tsan-sound-wp,walthread2,5,6839.0,6776.2,135.1839487513218
tsan-sound-wp,dynamic_triggers,5,167400.0,164040.0,34712.937069628664
tsan-sound-wp,checkpoint_starvation_1,5,180996,181212.2,2248.1440567721634
tsan-sound-wp,checkpoint_starvation_2,5,766,766,0.0
tsan-sound-wp,stress1,5,107239.0,110711.6,18513.897018186097
tsan-sound-wp,stress2,5,33164.0,32865.8,893.646014929849
tsan-st,walthread1,5,2802.0,2801.8,47.14021637625351
tsan-st,walthread2,5,6920.0,6889.6,52.37174810907117
tsan-st,dynamic_triggers,5,134200.0,142280.0,25300.830025910218
tsan-st,checkpoint_starvation_1,5,180437,180112.4,1705.7842184754788
tsan-st,checkpoint_starvation_2,5,766,766,0.0
tsan-st,stress1,5,117691.0,112152.2,16923.003507061032
tsan-st,stress2,5,31725.0,31845.2,940.0990373359607
