config,test,n,median,mean,sd
orig,ops_sec,5,5300670.77,5310652.838,136190.59471448517
orig,_latency_ms,5,1.53939,1.544604,0.030455174929722502
tsan,ops_sec,5,1013231.54,1000556.456,35126.004806167904
tsan,_latency_ms,5,8.2725,8.415776000000001,0.2773927368010923
tsan-dom_peeling-ea-lo-st-swmr,ops_sec,5,1007915.09,1004189.662,21952.818684774167
tsan-dom_peeling-ea-lo-st-swmr,_latency_ms,5,8.22938,8.281736,0.20121511382100488
tsan-dom_peeling-ea-lo-st-swmr-stmt,ops_sec,5,1040689.46,1034328.5800000001,25867.4785376049
tsan-dom_peeling-ea-lo-st-swmr-stmt,_latency_ms,5,8.05908,8.133068,0.2080587453581317
tsan-stmt,ops_sec,5,1018325.63,1008623.62,27102.62541957699
tsan-stmt,_latency_ms,5,8.22381,8.332456,0.2280834686688183
