config,test,n,median,mean,sd
orig,PING_INLINE,5,4486314.0,4491985.2,96103.74477979513
orig,PING_MBULK,5,6805768.5,6807672.1,127738.6648569062
orig,SET,5,4034064.5,4018038.45,128736.27809515758
orig,GET,5,4652186.0,4534626.45,424250.655616111
orig,INCR,5,4856543.5,4685290.7,322475.1964610224
orig,RPUSH,5,3535152.0,3635158.5,218710.51112879498
orig,LPOP,5,2416541.0,2394403.55,114494.85972323714
orig,RPOP,5,5407827.0,5314104.1,248585.10646491876
orig,SADD,5,3907999.75,3832079.9,506979.52537875605
orig,HSET,5,3280157.25,3000853.2,480886.37219372054
orig,SPOP,5,5716846.0,5679324.6,99933.1701509814
orig,ZADD,5,3013397.75,2843831.9,255824.13108902815
orig,ZPOPMIN,5,5716846.0,5663263.8,177254.22120171072
orig,LPUSH,5,3426191.75,3403026.15,143983.6829383368
orig,LRANGE_100,5,181140.78,176395.466,10013.939902592285
orig,LRANGE_300,5,46652.78,46823.118,537.4121150197493
orig,LRANGE_500,5,28078.21,28124.2,69.97314449129766
orig,LRANGE_600,5,23083.97,23157.2,272.2514053223598
orig,MSET,5,635139.19,652727.514,46084.89673004954
tsan,PING_INLINE,5,498727.81,495541.206,6730.821691846401
tsan,PING_MBULK,5,760796.94,754071.2000000001,21592.92540746157
tsan,SET,5,362087.59,363854.48600000003,9274.834092566292
tsan,GET,5,461035.94,466172.382,12529.746998362343
tsan,INCR,5,455784.97,451520.4,7292.069782829152
tsan,RPUSH,5,286907.94,285848.03,4010.16850132883
tsan,LPOP,5,259183.42,255592.336,14052.212228673472
tsan,RPOP,5,519443.41,520064.214,9403.939354753422
tsan,SADD,5,410861.62,413064.942,7277.522864630532
tsan,HSET,5,310794.66,313575.02,8776.411590442325
tsan,SPOP,5,560475.06,561761.188,4394.864524745933
tsan,ZADD,5,319020.41,319027.462,7763.986074972703
tsan,ZPOPMIN,5,547291.06,548232.0,13877.983250551928
tsan,LPUSH,5,255411.8,255538.15,1689.6828315396858
tsan,LRANGE_100,5,29292.87,28563.45,2486.5672881705814
tsan,LRANGE_300,5,10115.48,10135.596,66.56055385887343
tsan,LRANGE_500,5,6184.85,6184.676,50.73372724332407
tsan,LRANGE_600,5,5129.16,5134.102,31.1804813946162
tsan,MSET,5,71978.02,67814.914,12602.422555024094
tsan-dom_peeling-ea-lo-st-swmr,PING_INLINE,5,488499.97,489534.432,6952.809522877775
tsan-dom_peeling-ea-lo-st-swmr,PING_MBULK,5,733466.31,712537.548,58172.36267642367
tsan-dom_peeling-ea-lo-st-swmr,SET,5,361694.88,346698.102,33697.139181272054
tsan-dom_peeling-ea-lo-st-swmr,GET,5,467062.56,463949.818,13606.348023166265
tsan-dom_peeling-ea-lo-st-swmr,INCR,5,458921.09,460064.562,7183.86323766467
tsan-dom_peeling-ea-lo-st-swmr,RPUSH,5,292495.31,290623.544,4310.683569983987
tsan-dom_peeling-ea-lo-st-swmr,LPOP,5,263414.44,263363.21,2444.0277134885414
tsan-dom_peeling-ea-lo-st-swmr,RPOP,5,527106.44,533835.724,19302.81422274175
tsan-dom_peeling-ea-lo-st-swmr,SADD,5,417898.06,397612.0,47038.600652400906
tsan-dom_peeling-ea-lo-st-swmr,HSET,5,322205.47,306305.828,38827.890729842904
tsan-dom_peeling-ea-lo-st-swmr,SPOP,5,558285.69,545594.04,32703.050681710858
tsan-dom_peeling-ea-lo-st-swmr,ZADD,5,328338.69,311332.694,39504.62371985247
tsan-dom_peeling-ea-lo-st-swmr,ZPOPMIN,5,554572.06,540311.7100000001,38349.856118781616
tsan-dom_peeling-ea-lo-st-swmr,LPUSH,5,262309.41,240468.96399999998,35101.840215122334
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_100,5,29684.06,27791.0,5799.5898622962995
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_300,5,10314.64,9793.975999999999,1317.9623942396836
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_500,5,6227.1,6067.008,468.17083929907443
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_600,5,5224.35,5212.296,57.31687255948281
tsan-dom_peeling-ea-lo-st-swmr,MSET,5,77784.07,73060.03600000001,11553.875425550079
tsan-dom_peeling-ea-lo-st-swmr-stmt,PING_INLINE,5,472355.03,469125.168,16028.471404060032
tsan-dom_peeling-ea-lo-st-swmr-stmt,PING_MBULK,5,755625.38,726109.252,53608.80456791328
tsan-dom_peeling-ea-lo-st-swmr-stmt,SET,5,356284.88,354695.68,10857.972635690337
tsan-dom_peeling-ea-lo-st-swmr-stmt,GET,5,437067.72,424926.65,33194.38262390564
tsan-dom_peeling-ea-lo-st-swmr-stmt,INCR,5,438408.41,433229.87,12963.257637586703
tsan-dom_peeling-ea-lo-st-swmr-stmt,RPUSH,5,283895.59,283692.294,3021.008486206223
tsan-dom_peeling-ea-lo-st-swmr-stmt,LPOP,5,253663.28,254545.24599999998,2346.4745162114955
tsan-dom_peeling-ea-lo-st-swmr-stmt,RPOP,5,506299.59,504169.13,5700.349431846269
tsan-dom_peeling-ea-lo-st-swmr-stmt,SADD,5,403732.06,403623.306,3300.3347460340997
tsan-dom_peeling-ea-lo-st-swmr-stmt,HSET,5,326410.44,319309.594,13335.223844477827
tsan-dom_peeling-ea-lo-st-swmr-stmt,SPOP,5,542542.31,540385.474,9294.078344781175
tsan-dom_peeling-ea-lo-st-swmr-stmt,ZADD,5,323455.56,323133.85,2251.930077089418
tsan-dom_peeling-ea-lo-st-swmr-stmt,ZPOPMIN,5,529337.56,529605.262,19856.84163109835
tsan-dom_peeling-ea-lo-st-swmr-stmt,LPUSH,5,251748.36,242718.382,21449.589552653917
tsan-dom_peeling-ea-lo-st-swmr-stmt,LRANGE_100,5,27679.54,27786.808,405.8733865628544
tsan-dom_peeling-ea-lo-st-swmr-stmt,LRANGE_300,5,9773.32,9795.998,70.28220379299405
tsan-dom_peeling-ea-lo-st-swmr-stmt,LRANGE_500,5,6043.51,6033.902,50.63717280812574
tsan-dom_peeling-ea-lo-st-swmr-stmt,LRANGE_600,5,4952.96,4952.024,41.76079417348297
tsan-dom_peeling-ea-lo-st-swmr-stmt,MSET,5,74640.71,70056.61,11052.963166379866
tsan-stmt,PING_INLINE,5,475950.53,468140.48000000004,25370.231027808946
tsan-stmt,PING_MBULK,5,735083.06,710651.3740000001,61014.43483187056
tsan-stmt,SET,5,350419.62,343619.91000000003,22195.460162093965
tsan-stmt,GET,5,454129.81,453216.786,4355.386323367886
tsan-stmt,INCR,5,445633.88,446553.396,6883.274074561453
tsan-stmt,RPUSH,5,286415.12,286373.824,1265.599480771868
tsan-stmt,LPOP,5,259519.58,258558.482,1930.063666338497
tsan-stmt,RPOP,5,508874.88,515993.232,18200.05398882434
tsan-stmt,SADD,5,407680.53,383731.618,45021.379545553915
tsan-stmt,HSET,5,309928.12,315137.882,10080.475429726512
tsan-stmt,SPOP,5,544609.69,533903.2,29020.583650129258
tsan-stmt,ZADD,5,315101.75,301744.734,41016.273369699025
