config,test,n,median,mean,sd
orig,ops_sec,5,5896977.58,5926153.594,60144.237754839574
orig,_latency_ms,5,1.45885,1.4590079999999999,0.011587312889535748
tsan,ops_sec,5,1250004.26,1251640.096,22434.141040042803
tsan,_latency_ms,5,6.65696,6.575634,0.15296111100537937
tsan-dom_peeling-ea-lo-st-swmr,ops_sec,5,1259485.27,1248198.962,42369.58852542552
tsan-dom_peeling-ea-lo-st-swmr,_latency_ms,5,6.52529,6.551486,0.22652992126869262
tsan-dom_peeling-ea-lo-st-swmr-stmt,ops_sec,5,1224369.99,1233508.75,25530.438553024356
tsan-dom_peeling-ea-lo-st-swmr-stmt,_latency_ms,5,6.65072,6.614548,0.1593519724383731
tsan-stmt,ops_sec,5,1259724.66,1265652.542,44243.54880845881
tsan-stmt,_latency_ms,5,6.49173,6.482152,0.19708371538511266
