config,test,n,median,mean,sd
orig,PING_INLINE,5,4466285.5,4495588.9,273789.46282394615
orig,PING_MBULK,5,5850573.0,6041991.1,417885.258821336
orig,SET,5,2703913.5,3060209.25,627741.9253599314
orig,GET,5,4446435.5,4343936.25,605630.3762014213
orig,INCR,5,3818504.0,3890221.35,770535.8535251134
orig,RPUSH,5,2618973.75,3020643.15,620967.1836524103
orig,LPOP,5,2382019.0,2162509.976,374551.85845314915
orig,RPOP,5,4653246.5,4682101.35,589783.222755181
orig,SADD,5,2718608.75,3284412.7,875613.6467150374
orig,HSET,5,3280157.25,2825844.876,672237.9069916678
orig,SPOP,5,5620494.5,5204005.4,622688.6810957784
orig,ZADD,5,2985188.0,2734924.1,454605.23910512874
orig,ZPOPMIN,5,4653246.5,4597552.65,770205.5815534253
orig,LPUSH,5,2857771.5,2811448.5,298277.1546208639
orig,LRANGE_100,5,160076.69,154370.624,26567.682545514388
orig,LRANGE_300,5,47028.04,47003.544,285.5734242362209
orig,LRANGE_500,5,28316.38,28382.942,134.10521287407067
orig,LRANGE_600,5,23053.03,22111.11,2124.6350144554235
orig,MSET,5,676463.62,591516.206,141336.81918253162
tsan,PING_INLINE,5,493074.41,447077.93799999997,75333.14190161107
tsan,PING_MBULK,5,761375.94,738986.262,36603.98159231547
tsan,SET,5,318728.31,308492.156,61564.395191890166
tsan,GET,5,372188.62,404526.892,65350.687150947946
tsan,INCR,5,396295.72,407876.556,33729.31442611351
tsan,RPUSH,5,281180.5,254711.5,41961.75701780552
tsan,LPOP,5,255642.27,239476.574,30545.500843583006
tsan,RPOP,5,537586.25,515846.31399999995,51049.53031602082
tsan,SADD,5,331269.25,361678.168,60993.91108723698
tsan,HSET,5,232202.78,267664.612,50576.45090149635
tsan,SPOP,5,564586.94,549936.0079999999,28753.60308551556
tsan,ZADD,5,321516.12,322540.298,4562.823725142142
tsan,ZPOPMIN,5,510432.66,515751.432,17872.458672339144
tsan,LPUSH,5,254823.52,250047.08599999998,9517.933130245769
tsan,LRANGE_100,5,26276.59,25890.524,842.303203264715
tsan,LRANGE_300,5,9865.06,8965.712,1643.8557955520307
tsan,LRANGE_500,5,4433.3,5086.874000000001,965.7203796544836
tsan,LRANGE_600,5,5198.6,4894.654,712.8260209756656
tsan,MSET,5,75853.98,76205.016,1130.5822088331308
tsan-dom_peeling-ea-lo-st-swmr,PING_INLINE,5,480089.28,463910.844,55172.79576213153
tsan-dom_peeling-ea-lo-st-swmr,PING_MBULK,5,755625.38,742157.162,40061.45341672428
tsan-dom_peeling-ea-lo-st-swmr,SET,5,365271.28,350306.756,48088.1333618371
tsan-dom_peeling-ea-lo-st-swmr,GET,5,474313.09,447587.162,57340.536115074116
tsan-dom_peeling-ea-lo-st-swmr,INCR,5,465796.0,451107.706,39212.0101002369
tsan-dom_peeling-ea-lo-st-swmr,RPUSH,5,288908.56,275027.702,35341.50452905508
tsan-dom_peeling-ea-lo-st-swmr,LPOP,5,270766.66,256313.954,28809.891517846438
tsan-dom_peeling-ea-lo-st-swmr,RPOP,5,540490.56,517760.08800000005,52553.873465870434
tsan-dom_peeling-ea-lo-st-swmr,SADD,5,428254.31,406658.394,45655.90601803814
tsan-dom_peeling-ea-lo-st-swmr,HSET,5,324550.28,298778.45,57026.04271245727
tsan-dom_peeling-ea-lo-st-swmr,SPOP,5,567791.19,543761.166,44378.64810305041
tsan-dom_peeling-ea-lo-st-swmr,ZADD,5,338024.06,300702.428,52448.767266593306
tsan-dom_peeling-ea-lo-st-swmr,ZPOPMIN,5,467936.38,462445.396,78401.41628475043
tsan-dom_peeling-ea-lo-st-swmr,LPUSH,5,185632.86,214684.662,40137.636596496566
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_100,5,16401.47,19837.99,4948.631540764577
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_300,5,10274.46,9072.76,1774.5949599838268
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_500,5,6249.14,5791.124,863.658515259359
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_600,5,5316.63,5282.244,83.80455405286754
tsan-dom_peeling-ea-lo-st-swmr,MSET,5,75245.95,76816.926,4121.983624849815
tsan-dom_peeling-ea-lo-st-swmr-stmt,PING_INLINE,5,441673.97,392830.938,94758.07265463333
tsan-dom_peeling-ea-lo-st-swmr-stmt,PING_MBULK,5,729189.5,665326.0380000001,112046.72294303533
tsan-dom_peeling-ea-lo-st-swmr-stmt,SET,5,335909.72,324527.694,45725.3947607375
tsan-dom_peeling-ea-lo-st-swmr-stmt,GET,5,469918.03,441935.382,59622.018568900115
tsan-dom_peeling-ea-lo-st-swmr-stmt,INCR,5,445051.75,431898.682,35289.662045897676
tsan-dom_peeling-ea-lo-st-swmr-stmt,RPUSH,5,284105.66,264882.674,36566.18434109826
tsan-dom_peeling-ea-lo-st-swmr-stmt,LPOP,5,254871.98,246285.24,25225.069930623584
tsan-dom_peeling-ea-lo-st-swmr-stmt,RPOP,5,524618.81,525063.774,13573.976191747593
tsan-dom_peeling-ea-lo-st-swmr-stmt,SADD,5,415300.47,411597.282,10338.026860207423
tsan-dom_peeling-ea-lo-st-swmr-stmt,HSET,5,310952.91,309569.382,8488.350894857029
tsan-dom_peeling-ea-lo-st-swmr-stmt,SPOP,5,524343.81,495170.662,60986.61038834975
tsan-dom_peeling-ea-lo-st-swmr-stmt,ZADD,5,316714.38,305663.076,38439.749892337095
tsan-dom_peeling-ea-lo-st-swmr-stmt,ZPOPMIN,5,525721.5,491039.224,88919.8800317619
tsan-dom_peeling-ea-lo-st-swmr-stmt,LPUSH,5,250737.17,235847.196,30982.281049698882
tsan-dom_peeling-ea-lo-st-swmr-stmt,LRANGE_100,5,25838.41,23371.786,4914.94489887018
tsan-dom_peeling-ea-lo-st-swmr-stmt,LRANGE_300,5,9781.64,9828.504,168.02834293654192
tsan-dom_peeling-ea-lo-st-swmr-stmt,LRANGE_500,5,6001.88,5656.99,805.0980270128601
tsan-dom_peeling-ea-lo-st-swmr-stmt,LRANGE_600,5,3501.86,4109.548,872.0382399126773
tsan-dom_peeling-ea-lo-st-swmr-stmt,MSET,5,74120.41,69477.316,11674.283390933682
tsan-stmt,PING_INLINE,5,439604.75,450893.456,33063.97690997908
tsan-stmt,PING_MBULK,5,731321.62,718987.974,40209.072708036685
tsan-stmt,SET,5,339389.78,314984.722,49143.53230663136
tsan-stmt,GET,5,456389.09,407563.124,77040.6771307037
tsan-stmt,INCR,5,394015.34,397858.846,30073.724978703256
tsan-stmt,RPUSH,5,279261.66,266806.894,26715.281628846435
tsan-stmt,LPOP,5,257274.52,254221.484,6464.931638329973
tsan-stmt,RPOP,5,510172.38,509599.514,8968.212825684963
tsan-stmt,SADD,5,394432.16,378856.388,38425.79279001112
tsan-stmt,HSET,5,307939.44,292988.832,33993.55375303044
tsan-stmt,SPOP,5,543426.44,532325.302,18333.918779703625
tsan-stmt,ZADD,5,315660.56,316083.582,3762.05223532581
tsan-stmt,ZPOPMIN,5,514079.19,522793.3,15660.410548931988
tsan-stmt,LPUSH,5,247858.45,249747.81,3108.410577843604
tsan-stmt,LRANGE_100,5,24144.54,25046.68,1707.5889221794575
