config,test,n,median,mean,sd
orig,h264_libx264,5,36.97,37.07,0.18493242008906832
orig,copy_passthrough,5,0.13,0.134,0.005477225575051666
orig,mjpeg,5,3.85,3.8320000000000003,0.05585696017507572
orig,h265_libx265,5,40.9,40.836,0.1320227253165147
tsan,h264_libx264,5,45.42,45.464,0.2140794245134256
tsan,copy_passthrough,5,0.74,0.744,0.01140175425099139
tsan,mjpeg,5,25.56,25.594,0.0763544366752836
tsan,h265_libx265,5,54.45,54.438,0.08642916174532816
tsan-dom_peeling-ea-lo-st-swmr,h264_libx264,5,45.43,45.528,0.1974082065163456
tsan-dom_peeling-ea-lo-st-swmr,copy_passthrough,5,0.74,0.742,0.008366600265340763
tsan-dom_peeling-ea-lo-st-swmr,mjpeg,5,25.5,25.51,0.12227019260637441
tsan-dom_peeling-ea-lo-st-swmr,h265_libx265,5,54.46,54.416,0.1167475909815713
tsan-dom_peeling-ea-lo-st-swmr-yoff,h264_libx264,5,45.43,45.408,0.1498999666444273
tsan-dom_peeling-ea-lo-st-swmr-yoff,copy_passthrough,5,0.74,0.746,0.015165750888103114
tsan-dom_peeling-ea-lo-st-swmr-yoff,mjpeg,5,25.22,25.238,0.08671793355471487
tsan-dom_peeling-ea-lo-st-swmr-yoff,h265_libx265,5,54.48,54.449999999999996,0.14594519519326296
tsan-sound,h264_libx264,5,45.6,45.54,0.22124646889837551
tsan-sound,copy_passthrough,5,0.75,0.746,0.01140175425099139
tsan-sound,mjpeg,5,25.46,25.468,0.08757853618324553
tsan-sound,h265_libx265,5,54.64,54.622,0.09066421565314618
tsan-sound-yoff,h264_libx264,5,45.49,45.518,0.2051097267318165
tsan-sound-yoff,copy_passthrough,5,0.75,0.746,0.005477225575051666
tsan-sound-yoff,mjpeg,5,25.53,25.52,0.02915475947422649
tsan-sound-yoff,h265_libx265,5,54.54,54.49,0.15264337522473748
tsan-stmt,h264_libx264,5,45.42,45.596000000000004,0.33723878780472427
tsan-stmt,copy_passthrough,5,0.47,0.47,0.0
tsan-stmt,mjpeg,5,26.13,26.278,0.31712773451718146
tsan-stmt,h265_libx265,5,54.49,54.528,0.06685805860178731
tsan-stmt-yoff,h264_libx264,5,45.82,45.774,0.3073759912550084
tsan-stmt-yoff,copy_passthrough,5,0.48,0.478,0.004472135954999583
tsan-stmt-yoff,mjpeg,5,26.18,26.21,0.09565563234854607
tsan-stmt-yoff,h265_libx265,5,54.58,54.548,0.164984847789123
tsan-yoff,h264_libx264,5,45.6,45.638,0.184038039546176
tsan-yoff,copy_passthrough,5,0.76,0.76,0.012247448713915901
tsan-yoff,mjpeg,5,25.68,25.698,0.10134100848126631
tsan-yoff,h265_libx265,5,54.52,54.506,0.05029910535983662
