config,test,n,median,mean,sd
orig,ops_sec,5,5419648.89,5476491.908,194176.84673463684
orig,_latency_ms,5,1.55626,1.5637400000000001,0.032533695609321754
tsan,ops_sec,5,1604468.68,1603471.928,8521.566512796766
tsan,_latency_ms,5,5.05174,5.0595,0.04182539539562042
tsan-dom_peeling-ea-lo-st-swmr,ops_sec,5,1623435.8,1611795.988,58781.60255774646
tsan-dom_peeling-ea-lo-st-swmr,_latency_ms,5,5.00612,5.045732,0.18944239842231708
tsan-dom_peeling-ea-lo-st-swmr-yoff,ops_sec,5,1629514.12,1615224.51,28829.334625662155
tsan-dom_peeling-ea-lo-st-swmr-yoff,_latency_ms,5,4.99622,5.0362219999999995,0.07154892955174087
tsan-sound,ops_sec,5,1612789.97,1591665.014,46267.604511265534
tsan-sound,_latency_ms,5,5.02708,5.09304,0.15128826573796153
tsan-sound-yoff,ops_sec,5,1613379.35,1613383.494,28392.621042237923
tsan-sound-yoff,_latency_ms,5,5.00882,5.033758,0.08966693186453956
tsan-stmt,ops_sec,5,1600760.45,1586883.92,26264.36019220723
tsan-stmt,_latency_ms,5,5.1059,5.094996,0.10030013474567238
tsan-stmt-yoff,ops_sec,5,1608749.99,1590943.252,49909.096189345306
tsan-stmt-yoff,_latency_ms,5,5.0438,5.106314,0.17156709658323174
tsan-yoff,ops_sec,5,1635677.74,1621320.334,28409.255704541625
tsan-yoff,_latency_ms,5,4.99202,4.994104,0.040262373005077644
