config,test,n,median,mean,sd
orig,PING_INLINE,5,4117070.0,4140556.65,230057.27216483507
orig,PING_MBULK,5,6496415.5,6379757.0,242895.60561381097
orig,SET,5,3106981.5,3083709.7,78159.79783138995
orig,GET,5,3691690.0,3703567.55,77077.83767225992
orig,INCR,5,3761082.75,3817219.75,228190.86885783522
orig,RPUSH,5,2968688.25,2896445.6,110529.28495222432
orig,LPOP,5,2817053.5,2784518.1,139630.4487276817
orig,RPOP,5,4368768.5,4350945.7,90791.47821009965
orig,SADD,5,3413150.0,3398125.75,68586.67434508506
orig,HSET,5,2605333.25,2610488.9,131721.6658522574
orig,SPOP,5,5078416.5,5118339.6,151504.22491980216
orig,ZADD,5,2399156.0,2389238.75,41977.302089194585
orig,ZPOPMIN,5,4952712.5,4954055.7,90644.62500929109
orig,LPUSH,5,2660766.0,2651488.4,46043.44151878473
orig,LRANGE_100,5,138225.89,136962.14,5388.105530791881
orig,LRANGE_300,5,39168.58,38637.832,1571.6896666708728
orig,LRANGE_500,5,23393.52,23438.248,345.2667207681617
orig,LRANGE_600,5,19113.21,19142.278,346.40910506220894
orig,MSET,5,542194.56,532031.274,33245.275644523994
tsan,PING_INLINE,5,537586.25,537775.588,11264.430949334293
tsan,PING_MBULK,5,715116.5,764290.848,85039.88284856977
tsan,SET,5,334499.0,338272.176,12875.75418789633
tsan,GET,5,441453.66,439922.07,9336.465571810375
tsan,INCR,5,435068.72,432211.23,7628.626383196401
tsan,RPUSH,5,266005.84,267698.13,4557.2737428587725
tsan,LPOP,5,240203.61,240300.77,6394.8344076567055
tsan,RPOP,5,486362.69,490339.656,19841.35089273359
tsan,SADD,5,365794.53,376651.106,18189.47746612253
tsan,HSET,5,281419.97,281867.296,7538.410763717376
tsan,SPOP,5,524069.12,538012.5,31072.198325181307
tsan,ZADD,5,296780.78,300667.318,12505.379754634405
tsan,ZPOPMIN,5,552428.5,558546.914,11856.987856752616
tsan,LPUSH,5,232014.86,230745.902,4042.6772592516004
tsan,LRANGE_100,5,24837.56,24906.824,195.57608220332042
tsan,LRANGE_300,5,8960.98,8966.578,34.69602311504912
tsan,LRANGE_500,5,5482.3,5397.086,222.3624251756577
tsan,LRANGE_600,5,4539.85,4540.1140000000005,7.815121880047669
tsan,MSET,5,63952.93,63942.864,2671.2052051330675
tsan-dom_peeling-ea-lo-st-swmr,PING_INLINE,5,497240.53,477257.724,45431.52920937431
tsan-dom_peeling-ea-lo-st-swmr,PING_MBULK,5,716140.31,733201.36,62568.98370659019
tsan-dom_peeling-ea-lo-st-swmr,SET,5,335270.78,336211.55,10639.720505661775
tsan-dom_peeling-ea-lo-st-swmr,GET,5,432906.94,428962.474,23084.986370894396
tsan-dom_peeling-ea-lo-st-swmr,INCR,5,434599.47,424834.0,30447.414446867257
tsan-dom_peeling-ea-lo-st-swmr,RPUSH,5,261213.58,261557.95799999998,12060.781909740339
tsan-dom_peeling-ea-lo-st-swmr,LPOP,5,245388.27,243948.528,14392.521321615966
tsan-dom_peeling-ea-lo-st-swmr,RPOP,5,505532.09,494476.384,29092.68488347768
tsan-dom_peeling-ea-lo-st-swmr,SADD,5,393412.5,378508.282,30369.775797188086
tsan-dom_peeling-ea-lo-st-swmr,HSET,5,292272.28,289331.96,16705.28180902526
tsan-dom_peeling-ea-lo-st-swmr,SPOP,5,526551.56,515311.14400000003,47532.80624442058
tsan-dom_peeling-ea-lo-st-swmr,ZADD,5,290574.5,284780.918,21416.727585508248
tsan-dom_peeling-ea-lo-st-swmr,ZPOPMIN,5,516493.53,516823.738,30693.130672937576
tsan-dom_peeling-ea-lo-st-swmr,LPUSH,5,232446.11,227705.72400000002,11372.433254817543
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_100,5,25032.94,25463.576,763.8790759537804
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_300,5,9107.97,9094.496,55.42390440955987
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_500,5,5547.21,5530.398,52.35174084975573
tsan-dom_peeling-ea-lo-st-swmr,LRANGE_600,5,4592.34,4581.678,29.466087626286573
tsan-dom_peeling-ea-lo-st-swmr,MSET,5,63750.32,63828.648,2332.2834670597
tsan-dom_peeling-ea-lo-st-swmr-yoff,PING_INLINE,5,491379.16,497274.518,32693.259890899866
tsan-dom_peeling-ea-lo-st-swmr-yoff,PING_MBULK,5,782823.19,754500.15,45795.27753988233
tsan-dom_peeling-ea-lo-st-swmr-yoff,SET,5,337419.22,335792.344,12823.296665625046
tsan-dom_peeling-ea-lo-st-swmr-yoff,GET,5,445384.69,444890.058,13872.734549281198
tsan-dom_peeling-ea-lo-st-swmr-yoff,INCR,5,426266.75,427318.212,7494.328341570713
tsan-dom_peeling-ea-lo-st-swmr-yoff,RPUSH,5,271860.88,270743.756,3959.8396456271007
tsan-dom_peeling-ea-lo-st-swmr-yoff,LPOP,5,241071.8,240748.714,3320.51311828157
tsan-dom_peeling-ea-lo-st-swmr-yoff,RPOP,5,489935.34,493553.162,10798.230277152843
tsan-dom_peeling-ea-lo-st-swmr-yoff,SADD,5,366733.16,368549.194,9471.465152107152
tsan-dom_peeling-ea-lo-st-swmr-yoff,HSET,5,290827.91,295944.926,12111.35806147396
tsan-dom_peeling-ea-lo-st-swmr-yoff,SPOP,5,535285.19,541155.788,15938.27238968419
tsan-dom_peeling-ea-lo-st-swmr-yoff,ZADD,5,301612.31,299873.188,12483.543517305876
tsan-dom_peeling-ea-lo-st-swmr-yoff,ZPOPMIN,5,557974.38,553704.9940000001,23740.40909007214
tsan-dom_peeling-ea-lo-st-swmr-yoff,LPUSH,5,230411.8,231004.60199999998,4191.545019198766
tsan-dom_peeling-ea-lo-st-swmr-yoff,LRANGE_100,5,25294.15,25813.778,906.3541474887165
tsan-dom_peeling-ea-lo-st-swmr-yoff,LRANGE_300,5,9124.38,9124.668,33.273742951463014
tsan-dom_peeling-ea-lo-st-swmr-yoff,LRANGE_500,5,5548.41,5557.38,29.507138119444782
tsan-dom_peeling-ea-lo-st-swmr-yoff,LRANGE_600,5,4611.68,4611.902,21.000329045041266
tsan-dom_peeling-ea-lo-st-swmr-yoff,MSET,5,65843.03,64799.44,2295.4982704415174
tsan-sound,PING_INLINE,5,491137.97,485863.434,19166.934799039467
tsan-sound,PING_MBULK,5,779165.06,770737.072,35774.88294063687
tsan-sound,SET,5,331713.53,338246.67,11333.735237773566
tsan-sound,GET,5,436495.62,440021.338,17823.324497258363
tsan-sound,INCR,5,434977.41,435713.056,7831.997962782557
tsan-sound,RPUSH,5,270579.94,267127.418,7167.8177512803795
tsan-sound,LPOP,5,244728.0,243246.06399999998,5137.795139398802
tsan-sound,RPOP,5,488738.66,493294.99,11821.040951388348
tsan-sound,SADD,5,371913.75,368705.258,12713.452425542004
tsan-sound,HSET,5,285434.5,289506.338,15821.484710041286
tsan-sound,SPOP,5,536433.25,529315.902,32912.945845161295
tsan-sound,ZADD,5,293128.62,297602.24,20540.518822268106
tsan-sound,ZPOPMIN,5,522973.34,529947.3319999999,27093.240051796507
tsan-sound,LPUSH,5,228778.41,230281.34600000002,3797.3193282406473
tsan-sound,LRANGE_100,5,24585.71,25068.846,974.980695131961
tsan-sound,LRANGE_300,5,8831.26,8835.67,29.88202135063783
tsan-sound,LRANGE_500,5,5403.85,5400.502,29.401232457160997
tsan-sound,LRANGE_600,5,4471.67,4463.558,21.49096949883849
tsan-sound,MSET,5,62575.0,63039.042,2955.151861803384
tsan-sound-yoff,PING_INLINE,5,491379.16,495569.988,13633.412998239664
tsan-sound-yoff,PING_MBULK,5,742723.06,747450.1240000001,46714.335123049
tsan-sound-yoff,SET,5,333482.66,336970.682,9946.08042005091
tsan-sound-yoff,GET,5,438600.62,436741.244,3832.215337305568
tsan-sound-yoff,INCR,5,434501.72,432168.176,6761.2935923630685
tsan-sound-yoff,RPUSH,5,268001.06,265441.442,8135.773565947483
tsan-sound-yoff,LPOP,5,240607.98,242087.902,3935.734909514353
tsan-sound-yoff,RPOP,5,492831.53,492984.63,21025.995956281116
tsan-sound-yoff,SADD,5,370673.59,377296.43,17093.384143599247
tsan-sound-yoff,HSET,5,296780.78,297419.814,10696.062973331818
tsan-sound-yoff,SPOP,5,556422.69,538049.132,35103.82520530305
tsan-sound-yoff,ZADD,5,288396.66,291752.06799999997,15835.200291863077
tsan-sound-yoff,ZPOPMIN,5,549394.88,545129.276,24212.41317672157
tsan-sound-yoff,LPUSH,5,226807.53,229648.976,5495.382636189217
tsan-sound-yoff,LRANGE_100,5,24789.19,24840.86,240.44457812560512
tsan-sound-yoff,LRANGE_300,5,8931.39,8945.252,36.921644329579706
tsan-sound-yoff,LRANGE_500,5,5440.74,5434.378,24.110681657721894
tsan-sound-yoff,LRANGE_600,5,4517.62,4524.1939999999995,25.31818674391987
tsan-sound-yoff,MSET,5,60715.15,60824.432,2565.8547672013706
tsan-stmt,PING_INLINE,5,473248.81,470524.0,15693.517795785947
tsan-stmt,PING_MBULK,5,744380.94,737190.238,26804.868383770692
tsan-stmt,SET,5,336511.25,335268.924,11011.72003527967
tsan-stmt,GET,5,420533.0,421034.036,13613.102226587824
tsan-stmt,INCR,5,412633.25,412260.398,18295.94005588316
tsan-stmt,RPUSH,5,259385.0,258983.418,3253.377923976854
tsan-stmt,LPOP,5,238827.39,238326.136,6776.265072521884
