config,test,n,median,mean,sd
orig,walthread1,5,5052.0,5025.6,117.99279639028816
orig,walthread2,5,15541.0,15812.0,631.9347276420248
orig,dynamic_triggers,5,525400.0,537440.0,98242.5976855254
orig,checkpoint_starvation_1,5,792954,813213.6,96483.71282656986
orig,checkpoint_starvation_2,5,782,782,0.0
orig,stress1,5,274480.0,279081.0,39636.70981552329
orig,stress2,5,158933.0,158385.8,6114.37463687007
tsan,walthread1,5,2761.0,2759.8,21.51046257057249
tsan,walthread2,5,6321.0,6401.6,168.381412275821
tsan,dynamic_triggers,5,117000.0,122680.0,25300.830025910218
tsan,checkpoint_starvation_1,5,145129,148206.4,9753.247038807127
tsan,checkpoint_starvation_2,5,766,766,0.0
tsan,stress1,5,132671.0,126522.2,15938.513315237404
tsan,stress2,5,29493.0,29352.0,1073.5052398567973
tsan-dom_peeling-ea-lo-st-swmr,walthread1,5,2738.0,2735.2,12.194260945215172
tsan-dom_peeling-ea-lo-st-swmr,walthread2,5,6222.0,6264.4,109.88539484390088
tsan-dom_peeling-ea-lo-st-swmr,dynamic_triggers,5,109200.0,124720.0,31400.828014560382
tsan-dom_peeling-ea-lo-st-swmr,checkpoint_starvation_1,5,145814,144729.4,6241.717776381755
tsan-dom_peeling-ea-lo-st-swmr,checkpoint_starvation_2,5,782,775.6,8.763560920082657
tsan-dom_peeling-ea-lo-st-swmr,stress1,5,130433.0,127746.8,11566.020456492372
tsan-dom_peeling-ea-lo-st-swmr,stress2,5,29775.0,29700.8,523.3437684734577
tsan-dom_peeling-ea-lo-st-swmr-yoff,walthread1,5,2729.0,2731.0,22.01136070305514
tsan-dom_peeling-ea-lo-st-swmr-yoff,walthread2,5,6191.0,6210.0,75.93088962997865
tsan-dom_peeling-ea-lo-st-swmr-yoff,dynamic_triggers,5,126200.0,118480.0,17791.908273144847
tsan-dom_peeling-ea-lo-st-swmr-yoff,checkpoint_starvation_1,5,145367,145264.6,8847.441681073688
tsan-dom_peeling-ea-lo-st-swmr-yoff,checkpoint_starvation_2,5,766,766,0.0
tsan-dom_peeling-ea-lo-st-swmr-yoff,stress1,5,121761.0,123361.6,4138.230757219805
tsan-dom_peeling-ea-lo-st-swmr-yoff,stress2,5,28775.0,28926.4,758.2551021918679
tsan-sound,walthread1,5,2689.0,2712.4,54.04905179556807
tsan-sound,walthread2,5,6201.0,6272.6,218.62822324667965
tsan-sound,dynamic_triggers,5,105000.0,111400.0,11829.623831720093
tsan-sound,checkpoint_starvation_1,5,145251,147466.8,11426.326890125278
tsan-sound,checkpoint_starvation_2,5,766,766,0.0
tsan-sound,stress1,5,119792.0,119011.2,6374.088224993438
tsan-sound,stress2,5,28810.0,28865.0,926.3789721274982
tsan-sound-yoff,walthread1,5,2751.0,2748.0,48.8978527135906
tsan-sound-yoff,walthread2,5,6265.0,6256.0,245.09895960611502
tsan-sound-yoff,dynamic_triggers,5,135200.0,124440.0,27891.36066956935
tsan-sound-yoff,checkpoint_starvation_1,5,141216,140847.6,6588.397134356732
tsan-sound-yoff,checkpoint_starvation_2,5,766,769.4,7.05691150575094
tsan-sound-yoff,stress1,5,126433.0,129741.2,10887.03073385944
tsan-sound-yoff,stress2,5,29410.0,29061.6,801.914147524534
tsan-stmt,walthread1,5,2683.0,2687.8,23.931151246858143
tsan-stmt,walthread2,5,6201.0,6203.8,251.48697779407982
tsan-stmt,dynamic_triggers,5,132200.0,130840.0,14539.876203049324
tsan-stmt,checkpoint_starvation_1,5,142062,144617.2,12764.930481596835
tsan-stmt,checkpoint_starvation_2,5,766,766,0.0
tsan-stmt,stress1,5,141703.0,132816.4,17829.038933717096
tsan-stmt,stress2,5,28490.0,28725.6,821.8675684074655
tsan-stmt-yoff,walthread1,5,2695.0,2694.2,39.52467583674786
tsan-stmt-yoff,walthread2,5,6174.0,6222.2,206.5882378065121
tsan-stmt-yoff,dynamic_triggers,5,145000.0,136360.0,22184.859702058067
tsan-stmt-yoff,checkpoint_starvation_1,5,144021,147935.6,10961.420952595516
tsan-stmt-yoff,checkpoint_starvation_2,5,766,766,0.0
tsan-stmt-yoff,stress1,5,124309.0,122063.0,14307.481731597632
tsan-stmt-yoff,stress2,5,27642.0,27856.4,871.1657706774297
tsan-yoff,walthread1,5,2745.0,2757.4,36.44585024388922
tsan-yoff,walthread2,5,6348.0,6450.2,162.8210674329339
tsan-yoff,dynamic_triggers,5,133600.0,127360.0,19759.2509979503
tsan-yoff,checkpoint_starvation_1,5,146598,148209.2,9568.715702747157
tsan-yoff,checkpoint_starvation_2,5,766,769.2,7.155417527999327
tsan-yoff,stress1,5,125895.0,129722.8,12160.999617630123
tsan-yoff,stress2,5,29959.0,29581.8,846.7663195947274
