app,config,hash,memory_access_sites,tsan_calls_total,sha256,build_seconds
sqlite,orig,d98873cda906,0,0,35b84529c95d9ecb9fe385cdfd1e9680b34ad030401a3e231b5a00e7b3acf17c,28
sqlite,tsan,d98873cda906,57996,62654,4cbb2b863b49d96a7011300e59e382ac568d621407d898c69862308752e39863,27
sqlite,tsan-yoff,d98873cda906,57996,62654,4cbb2b863b49d96a7011300e59e382ac568d621407d898c69862308752e39863,28
sqlite,tsan-stmt,d98873cda906,57961,62623,ec0d5240e1b730fdcc4879e3d129150a66889307699a1f00b48a88969dcc0777,40
sqlite,tsan-stmt-yoff,d98873cda906,57957,62618,35929bd6b6e235ac4f8cb598bffe6085511881bcf44d7cd9b24e26357d55deda,40
sqlite,tsan-sound,d98873cda906,57006,61595,b5ffa6352c0ba9aedbfd452791eb3e694039ca77ee03ec8ce59a63f455fea232,29
sqlite,tsan-sound-yoff,d98873cda906,57025,61619,ad6e2ba8406866897595b3397ca4063ce02d26eaf5aa02d6852a579dbda2ca67,30
sqlite,tsan-dom_peeling-ea-lo-st-swmr,d98873cda906,61872,66598,c888970018ae4c021866798a22e8f988a8944cff131e3ab792e8aebe7d8f4fb8,32
sqlite,tsan-dom_peeling-ea-lo-st-swmr-yoff,d98873cda906,61931,66659,ea2ed892cb018b77973e9ffeb54456ab6737c593df95bf1a9b2c109a4a358e79,32
memcached,orig,d98873cda906,0,0,256554ccb1a29ee03bd70e9d7bc598e57224038f7237d3c5de1843c23124941e,9
memcached,tsan,d98873cda906,6748,7722,8961a88474bd494b9f94a124f56b286cf0111e05d2a6508660468897873171aa,10
memcached,tsan-yoff,d98873cda906,6748,7722,755417a54a6f285ce8bc4fa5137d5b1570a9e2c5ef7e40709c99e6c9974d2df4,10
memcached,tsan-stmt,d98873cda906,6810,7784,61a12d085dfac52db9e8ed723b8c2224650804cc9255f7860601ce1f1b2451fc,11
memcached,tsan-stmt-yoff,d98873cda906,6810,7784,1f1df910020fda2f3425e7460f9f4898d10ca43366dedfc7779ed5acd3bfe27b,10
memcached,tsan-sound,d98873cda906,6640,7588,3e5ab209539f8de4a2186fb8bf3ff08a5f2731bc54a018d4302204f475a6401a,10
memcached,tsan-sound-yoff,d98873cda906,6643,7594,3fd5e6e708c6297aedba699bb355c30a09f4e9774a951301492dfb15ad0656bf,10
memcached,tsan-dom_peeling-ea-lo-st-swmr,d98873cda906,7127,8097,f299df1f734c6fc307100cd35d091b7cf78aa748b99c8d1f14c9da4e22d426ae,10
memcached,tsan-dom_peeling-ea-lo-st-swmr-yoff,d98873cda906,7130,8103,e3d873e6d03f6031d70bfbf77f943c16ab48c1daea39f5f9d2100d60510e39d1,10
redis,orig,d98873cda906,0,0,71ed6f13aac2e04adce221f05affa871b4694b135efbc801dfdfda9440ddecb1,9
redis,tsan,d98873cda906,37941,45207,10b1b9fc8cb7272d2a89985fa0c0b25073de13649bc14e6622a38ca8d4cb7227,9
redis,tsan-yoff,d98873cda906,37941,45207,5f8afddd2f6492d4859451e0b1ccb5ba29a46d3764506c6e02e3d6a5c7152433,8
redis,tsan-stmt,d98873cda906,37878,45144,c84ab55516c38389fb1e873b8703a149fb8849f5c8623bcae5f392483f9775eb,9
redis,tsan-stmt-yoff,d98873cda906,37882,45147,a0f4145adbf39e13f9eac07ef717ff25b7fa09014f9d4421c5c320a152297efd,10
redis,tsan-sound,d98873cda906,37604,44832,619628eb36c3b94a24816789e623df778e004eed5e7e1a223603f6327ea50ef9,9
redis,tsan-sound-yoff,d98873cda906,37607,44835,cd299177e73cdc321e99bb0f4b94358c1786dc581da979843eef017ccd7d6a9a,8
redis,tsan-dom_peeling-ea-lo-st-swmr,d98873cda906,43242,50561,40a05a543da79093197a920a858783b2a913d8035d19c4d617e00943fa01cadc,11
redis,tsan-dom_peeling-ea-lo-st-swmr-yoff,d98873cda906,43291,50612,82e791d1da994733798f000d2ed7161be2d0b51c575cd3628784a40d8a8d2d1a,10
ffmpeg,orig,d98873cda906,0,0,1952ad686abde811b208340ff1d676789cfa05e26768eb548705c392f407c53a,45
ffmpeg,tsan,d98873cda906,514609,562288,9abfccd2fecdcc4b4b41fbb71c739cc8bab3d6ec1040f492a118c425777054c6,52
ffmpeg,tsan-yoff,d98873cda906,514609,562288,e4cf1a2c68950c086439b569bb1317e9e106203393810db159866a1dc4f9051d,52
ffmpeg,tsan-stmt,d98873cda906,514540,562214,ae26cea0713a2c3fc6469ea8e837c7508112714451ef9eacbab7d4423101bfd8,56
ffmpeg,tsan-stmt-yoff,d98873cda906,514493,562160,a43337b7dba5cfbba75a34bab1b567ca68b36dccd807cc5dafad2d30afdb7dd0,57
ffmpeg,tsan-sound,d98873cda906,497309,544428,623f2cf859065bc843c46c22a19f3b8b631e0a111af6b9d615cb1e8336b28be9,53
ffmpeg,tsan-sound-yoff,d98873cda906,497409,544528,3e948a587611d212088edf75df50a5ce9f9f20779dde43410c11effa5f88c59a,52
ffmpeg,tsan-dom_peeling-ea-lo-st-swmr,d98873cda906,541449,589826,51ed16e5c63967ac1645a4fc2166d8d4a4145a726b9f56d274934b768560bd95,56
ffmpeg,tsan-dom_peeling-ea-lo-st-swmr-yoff,d98873cda906,542683,591069,fd69166807eed31dbe900535e3835e99cd56ea1f8c616785568c7235f1a3e5f7,57
