app,key_level,key,tsan_runs_hit,tsan-all_runs_hit,tsan-sound_runs_hit,tsan_runs,tsan-all_runs,tsan-sound_runs
memcached,1,data race | read:clock_handler@memcached.c:4009 | write:do_item_link@items.c:499 | global:stats_state,10,10,10,10,10,10
memcached,1,data race | read:clock_handler@memcached.c:4009 | write:do_item_unlink@items.c:519 | global:stats_state,10,10,10,10,10,10
memcached,1,data race | read:conn_new@memcached.c:753 | write:rbuf_release@memcached.c:417 | heap:conn_new@memcached.c:656,1,1,1,10,10,10
memcached,1,data race | read:conn_new@memcached.c:761 | write:clock_handler@memcached.c | global:current_time,0,10,10,10,10,10
memcached,1,data race | read:conn_release_items@memcached.c:840 | write:conn_new@memcached.c:766 | heap:conn_new@memcached.c:656,1,1,1,10,10,10
memcached,1,data race | read:do_item_link@items.c:495 | write:clock_handler@memcached.c | global:current_time,10,0,0,10,10,10
memcached,1,data race | read:drive_machine@memcached.c:3162 | write:conn_new@memcached.c:694 | heap:conn_new@memcached.c:656,1,1,1,10,10,10
memcached,1,data race | read:item_crawler_thread@crawler.c:570 | write:do_item_unlink@items.c:516 | heap:memory_allocate@slabs.c:615,9,4,5,10,10,10
memcached,1,data race | read:item_remove@thread.c:921 | write:do_item_unlink@items.c:516 | heap:memory_allocate@slabs.c:615,10,10,10,10,10,10
memcached,1,data race | read:lru_maintainer_juggle@items.c:1426 | write:clock_handler@memcached.c | global:current_time,1,0,0,10,10,10
memcached,1,data race | read:lru_maintainer_thread@items.c:1671 | write:clock_handler@memcached.c | global:current_time,10,0,0,10,10,10
memcached,1,data race | read:lru_pull_tail@items.c:1137 | write:do_item_unlink@items.c:516 | heap:memory_allocate@slabs.c:615,10,10,10,10,10,10
memcached,1,data race | read:try_read_command_ascii@proto_text.c:493 | write:clock_handler@memcached.c | global:current_time,10,0,0,10,10,10
memcached,1,data race | read:try_read_network@memcached.c:2530 | write:conn_new@memcached.c:784 | heap:conn_new@memcached.c:656,1,1,1,10,10,10
memcached,1,data race | write:conn_close@memcached.c:933 | write:conn_new@memcached.c:752 | heap:conn_new@memcached.c:656,1,1,1,10,10,10
memcached,1,data race | write:conn_new@memcached.c:749 | write:conn_set_state@memcached.c:1011 | heap:conn_new@memcached.c:656,1,1,1,10,10,10
memcached,1,data race | write:conn_new@memcached.c:753 | write:rbuf_release@memcached.c:417 | heap:conn_new@memcached.c:656,1,1,1,10,10,10
memcached,2,data race | read:clock_handler | write:do_item_link | global:stats_state,10,10,10,10,10,10
memcached,2,data race | read:clock_handler | write:do_item_unlink | global:stats_state,10,10,10,10,10,10
memcached,2,data race | read:conn_new | write:clock_handler | global:current_time,0,10,10,10,10,10
memcached,2,data race | read:conn_new | write:rbuf_release | heap:conn_new,1,1,1,10,10,10
memcached,2,data race | read:conn_release_items | write:conn_new | heap:conn_new,1,1,1,10,10,10
memcached,2,data race | read:do_item_link | write:clock_handler | global:current_time,10,0,0,10,10,10
memcached,2,data race | read:drive_machine | write:conn_new | heap:conn_new,1,1,1,10,10,10
memcached,2,data race | read:item_crawler_thread | write:do_item_unlink | heap:memory_allocate,9,4,5,10,10,10
memcached,2,data race | read:item_remove | write:do_item_unlink | heap:memory_allocate,10,10,10,10,10,10
memcached,2,data race | read:lru_maintainer_juggle | write:clock_handler | global:current_time,1,0,0,10,10,10
memcached,2,data race | read:lru_maintainer_thread | write:clock_handler | global:current_time,10,0,0,10,10,10
memcached,2,data race | read:lru_pull_tail | write:do_item_unlink | heap:memory_allocate,10,10,10,10,10,10
memcached,2,data race | read:try_read_command_ascii | write:clock_handler | global:current_time,10,0,0,10,10,10
memcached,2,data race | read:try_read_network | write:conn_new | heap:conn_new,1,1,1,10,10,10
memcached,2,data race | write:conn_close | write:conn_new | heap:conn_new,1,1,1,10,10,10
memcached,2,data race | write:conn_new | write:conn_set_state | heap:conn_new,1,1,1,10,10,10
memcached,2,data race | write:conn_new | write:rbuf_release | heap:conn_new,1,1,1,10,10,10
