llvm-lit: /opt/tsan-llvm/lib/python-lit/lit/main.py:72: note: The test suite configuration requested an individual test timeout of 0 seconds but a timeout of 120 seconds was requested on the command line. Forcing timeout to be 120 seconds.
-- Testing: 383 tests, 64 workers --
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/deadlock.mm (1 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/debug_external.cpp (2 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/external-dups.cpp (3 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/dlopen.cpp (4 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/dyld-insert-libraries.c (5 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/external-lib.cpp (6 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/external-noninstrumented-module.cpp (7 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/external-swift.cpp (8 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/external-swift-debugging.cpp (9 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/dyld-library-path.c (10 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/libcxx-future.mm (11 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/ignore-noninstrumented.mm (12 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/gcd-sync-block-copy.mm (13 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/external-ignore-noninstrumented.cpp (14 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/libcxx-shared-ptr-stress.mm (15 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/libcxx-shared-ptr.mm (16 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/libcxx-call-once.mm (17 of 383)
