-- Testing: 383 tests, 48 workers --
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/deadlock.mm (1 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/debug_external.cpp (2 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/external-noninstrumented-module.cpp (3 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/dlopen.cpp (4 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/dyld-insert-libraries.c (5 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/dyld-library-path.c (6 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/gcd-sync-block-copy.mm (7 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/external-dups.cpp (8 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/external-ignore-noninstrumented.cpp (9 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/external-lib.cpp (10 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/external-swift-debugging.cpp (11 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/external-swift.cpp (12 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/libcxx-shared-ptr-recursive.mm (13 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/external.cpp (14 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/libcxx-shared-ptr-stress.mm (15 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/ignore-noninstrumented.mm (16 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/libcxx-call-once.mm (17 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/libcxx-shared-ptr.mm (18 of 383)
UNSUPPORTED: ThreadSanitizer-x86_64-linux :: Darwin/xpc-cancel.mm (19 of 383)
